,Date,Day,Territory,Menu Item,Price (PHP),Price (USD),Category,Menu
1,2022/06/03,Fri,Philippines,BFF Fries,135.00,2.56,Featured,Regular
2,2022/06/03,Fri,Philippines,6-pc. Chicken McShare Box,330.00,6.25,Featured,Regular
3,2022/06/03,Fri,Philippines,Breakfast Sandwich Duo,249.00,4.72,Featured,Breakfast
4,2022/06/03,Fri,Philippines,Breakfast Rice Bowl Duo,289.00,5.48,Featured,Breakfast
5,2022/06/03,Fri,Philippines,McCafé Caramel Popcorn Iced Coffee,57.00,1.08,Featured,Regular
6,2022/06/03,Fri,Philippines,McCafe Caramel Popcorn Coffee Float,78.00,1.48,Featured,Regular
7,2022/06/03,Fri,Philippines,Caramel Popcorn Coke McFloat,47.00,0.89,Featured,Regular
8,2022/06/03,Fri,Philippines,6-pc. Chicken McShare Box,330.00,6.25,Group Meals,Regular
9,2022/06/03,Fri,Philippines,8-pc. Chicken McShare Box,440.00,8.34,Group Meals,Regular
10,2022/06/03,Fri,Philippines,BFF Fries N' McFloat Combo,222.00,4.21,Group Meals,Regular
11,2022/06/03,Fri,Philippines,BFF Shake Shake Fries BBQ N' McFloat Combo,237.00,4.49,Group Meals,Regular
12,2022/06/03,Fri,Philippines,BFF Shake Shake Fries Cheese N' McFloat Combo,237.00,4.49,Group Meals,Regular
13,2022/06/03,Fri,Philippines,McCrispy Chicken Fillet w/ Coke McFloat McShare,249.00,4.72,Group Meals,Regular
14,2022/06/03,Fri,Philippines,McCrispy Chicken Fillet Ala King w/ Coke McFloat McShare,249.00,4.72,Group Meals,Regular
15,2022/06/03,Fri,Philippines,McCrispy Chicken Fillet w/ Apple Pie McShare,249.00,4.72,Group Meals,Regular
16,2022/06/03,Fri,Philippines,McCrispy Chicken Fillet Ala King w/ Apple Pie McShare,249.00,4.72,Group Meals,Regular
17,2022/06/03,Fri,Philippines,McShare Bundle for 3,500.00,9.47,Group Meals,Regular
18,2022/06/03,Fri,Philippines,McShare Bundle for 4,725.00,13.74,Group Meals,Regular
19,2022/06/03,Fri,Philippines,10-pc. Chicken McShare Box,550.00,10.42,Group Meals,Regular
20,2022/06/03,Fri,Philippines,15-pc. Chicken McShare Box,825.00,15.63,Group Meals,Regular
21,2022/06/03,Fri,Philippines,20-pc. Chicken McShare Box,1100.00,20.84,Group Meals,Regular
22,2022/06/03,Fri,Philippines,BFF Fries Good for 10,655.00,12.41,Group Meals,Regular
23,2022/06/03,Fri,Philippines,BFF Fries Good for 15,1025.00,19.42,Group Meals,Regular
24,2022/06/03,Fri,Philippines,BFF Fries Good for 20,1280.00,24.25,Group Meals,Regular
25,2022/06/03,Fri,Philippines,Plain Rice Good for 10,245.00,4.64,Group Meals,Regular
26,2022/06/03,Fri,Philippines,Plain Rice Good for 15,360.00,6.82,Group Meals,Regular
27,2022/06/03,Fri,Philippines,Plain Rice Good for 20,475.00,9.00,Group Meals,Regular
28,2022/06/03,Fri,Philippines,Breakfast Sandwich Duo,249.00,4.72,Breakfast,Breakfast
29,2022/06/03,Fri,Philippines,Breakfast Rice Bowl Duo,289.00,5.48,Breakfast,Breakfast
30,2022/06/03,Fri,Philippines,2-pc. Hotcakes & Sausage Meal,143.00,2.71,Breakfast,Breakfast
31,2022/06/03,Fri,Philippines,Sausage McMuffin w/ Egg Meal,145.00,2.75,Breakfast,Breakfast
32,2022/06/03,Fri,Philippines,Sausage McMuffin Meal,125.00,2.37,Breakfast,Breakfast
33,2022/06/03,Fri,Philippines,Egg McMuffin Meal,137.00,2.60,Breakfast,Breakfast
34,2022/06/03,Fri,Philippines,Cheesy Eggdesal w/ Sausage Meal,132.00,2.50,Breakfast,Breakfast
35,2022/06/03,Fri,Philippines,Cheesy Eggdesal w/ Ham Meal,121.00,2.29,Breakfast,Breakfast
36,2022/06/03,Fri,Philippines,Cheesy Eggdesal Meal,97.00,1.84,Breakfast,Breakfast
37,2022/06/03,Fri,Philippines,Big Breakfast Meal,158.00,2.99,Breakfast,Breakfast
38,2022/06/03,Fri,Philippines,2-pc. Hotcakes Meal,73.00,1.38,Breakfast,Breakfast
39,2022/06/03,Fri,Philippines,2-pc. Mushroom Pepper Steak w/ Egg Meal,170.00,3.22,Breakfast,Breakfast
40,2022/06/03,Fri,Philippines,1-pc. Mushroom Pepper Steak w/ Egg Meal,139.00,2.63,Breakfast,Breakfast
41,2022/06/03,Fri,Philippines,Sausage w/ Egg Meal,156.00,2.96,Breakfast,Breakfast
42,2022/06/03,Fri,Philippines,Longganisa w/ Egg Meal,156.00,2.96,Breakfast,Breakfast
43,2022/06/03,Fri,Philippines,McCrispy Chicken Fillet w/ Egg Meal,154.00,2.92,Breakfast,Breakfast
44,2022/06/03,Fri,Philippines,McCrispy Chicken Fillet Ala King w/ Egg Meal,156.00,2.96,Breakfast,Breakfast
45,2022/06/03,Fri,Philippines,1-pc. Chicken McDo w/ Egg Meal,163.00,3.09,Breakfast,Breakfast
46,2022/06/03,Fri,Philippines,1-pc. Spicy Chicken McDo & Egg Meal,166.00,3.15,Breakfast,Breakfast
47,2022/06/03,Fri,Philippines,2-pc. Chicken McDo w/ Egg Meal,229.00,4.34,Breakfast,Breakfast
48,2022/06/03,Fri,Philippines,2-pc. Spicy Chicken McDo & Egg Meal,232.00,4.40,Breakfast,Breakfast
49,2022/06/03,Fri,Philippines,Chicken McDo & Hotcakes Meal,176.00,3.33,Breakfast,Breakfast
50,2022/06/03,Fri,Philippines,Spicy Chicken McDo & Hotcakes Meal,179.00,3.39,Breakfast,Breakfast
51,2022/06/03,Fri,Philippines,1-pc. Chicken McDo & Fries Meal,110.00,2.08,Chicken,Regular
52,2022/06/03,Fri,Philippines,1-pc. Spicy Chicken McDo & Fries Meal,113.00,2.14,Chicken,Regular
53,2022/06/03,Fri,Philippines,2-pc. Chicken McDo Meal,189.00,3.58,Chicken,Regular
54,2022/06/03,Fri,Philippines,2-pc. Spicy Chicken McDo Meal,192.00,3.64,Chicken,Regular
55,2022/06/03,Fri,Philippines,1-pc. Spicy Chicken McDo Meal,116.00,2.20,Chicken,Regular
56,2022/06/03,Fri,Philippines,1-pc. Chicken McDo Meal,113.00,2.14,Chicken,Regular
57,2022/06/03,Fri,Philippines,Mega Meal - Chicken McDo w/ Fries & McFlurry,158.00,2.99,Chicken,Regular
58,2022/06/03,Fri,Philippines,Mega Meal - Chicken McDo w/ Fries & Burger McDo,145.00,2.75,Chicken,Regular
59,2022/06/03,Fri,Philippines,Mega Meal - Spicy Chicken McDo w/ Fries & Burger McDo,148.00,2.80,Chicken,Regular
60,2022/06/03,Fri,Philippines,McCrispy Chicken Fillet Meal,82.00,1.55,Chicken,Regular
61,2022/06/03,Fri,Philippines,McCrispy Chicken Fillet w/ Fries Meal,95.00,1.80,Chicken,Regular
62,2022/06/03,Fri,Philippines,McCrispy Chicken Fillet Ala King Meal,84.00,1.59,Chicken,Regular
63,2022/06/03,Fri,Philippines,McCrispy Chicken Fillet Ala King w/ Fries Meal,97.00,1.84,Chicken,Regular
64,2022/06/03,Fri,Philippines,McCrispy Chicken Sandwich Meal,100.00,1.89,Burgers,Regular
65,2022/06/03,Fri,Philippines,Cheesy Burger McDo Meal,104.00,1.97,Burgers,Regular
66,2022/06/03,Fri,Philippines,Burger McDo Meal,91.00,1.72,Burgers,Regular
67,2022/06/03,Fri,Philippines,2-pc. Mushroom Pepper Steak w/ Egg Meal,129.00,2.44,Rice Bowls,Breakfast
68,2022/06/03,Fri,Philippines,2-pc. Mushroom Pepper Steak Meal,107.00,2.03,Rice Bowls,Regular
69,2022/06/03,Fri,Philippines,1-pc. Mushroom Pepper Steak w/ Egg Meal,107.00,2.03,Rice Bowls,Breakfast
70,2022/06/03,Fri,Philippines,1-pc. Mushroom Pepper Steak Meal,86.00,1.63,Rice Bowls,Regular
71,2022/06/03,Fri,Philippines,McFlurry® with Oreo®,53.00,1.00,Desserts & Drinks,Regular
72,2022/06/03,Fri,Philippines,Hot Fudge Sundae,32.00,0.61,Desserts & Drinks,Regular
73,2022/06/03,Fri,Philippines,Hot Caramel Sundae,32.00,0.61,Desserts & Drinks,Regular
74,2022/06/03,Fri,Philippines,Apple Pie,37.00,0.70,Desserts & Drinks,Regular
75,2022/06/03,Fri,Philippines,Caramel Popcorn Coke McFloat,47.00,0.89,Desserts & Drinks,Regular
76,2022/06/03,Fri,Philippines,Coke McFloat,32.00,0.61,Desserts & Drinks,Regular
77,2022/06/03,Fri,Philippines,Chocolate Shake,94.00,1.78,Desserts & Drinks,Regular
78,2022/06/03,Fri,Philippines,Strawberry Shake,94.00,1.78,Desserts & Drinks,Regular
