,Date,Day,Territory,Menu Item,Price (LKR),Price (USD),Category,Menu
1,2024/02/04,Sun,Sri Lanka,Crispy Chicken 02 PC,1280.00,4.11,Ala Carte & Value Meals,Regular
2,2024/02/04,Sun,Sri Lanka,Crispy Chicken 05 PC,3230.00,10.36,Ala Carte & Value Meals,Regular
3,2024/02/04,Sun,Sri Lanka,Spicy chicken footlong,930.00,2.98,Ala Carte & Value Meals,Regular
4,2024/02/04,Sun,Sri Lanka,Crispy Chicken Wrap,880.00,2.82,Ala Carte & Value Meals,Regular
5,2024/02/04,Sun,Sri Lanka,McSpicy Chicken Wrap,1790.00,5.74,Ala Carte & Value Meals,Regular
6,2024/02/04,Sun,Sri Lanka,Crispy Chicken Burger,580.00,1.86,Ala Carte & Value Meals,Regular
7,2024/02/04,Sun,Sri Lanka,Chicken Junior,820.00,2.63,Ala Carte & Value Meals,Regular
8,2024/02/04,Sun,Sri Lanka,Beefburger,1100.00,3.53,Ala Carte & Value Meals,Regular
9,2024/02/04,Sun,Sri Lanka,Cheeseburger,1260.00,4.04,Ala Carte & Value Meals,Regular
10,2024/02/04,Sun,Sri Lanka,Double Cheeseburger,1980.00,6.35,Ala Carte & Value Meals,Regular
11,2024/02/04,Sun,Sri Lanka,Big Mac,1910.00,6.13,Ala Carte & Value Meals,Regular
12,2024/02/04,Sun,Sri Lanka,McChicken Burger,1790.00,5.74,Ala Carte & Value Meals,Regular
13,2024/02/04,Sun,Sri Lanka,McSpicy Chicken Burger,1160.00,3.72,Ala Carte & Value Meals,Regular
14,2024/02/04,Sun,Sri Lanka,Chicken Big Mac,1790.00,5.74,Ala Carte & Value Meals,Regular
15,2024/02/04,Sun,Sri Lanka,Chicken McNuggets 6 PC,1580.00,5.07,Ala Carte & Value Meals,Regular
16,2024/02/04,Sun,Sri Lanka,Chicken McNuggets 9 PC,2200.00,7.06,Ala Carte & Value Meals,Regular
17,2024/02/04,Sun,Sri Lanka,McSpicy Wings 3 PC,600.00,1.93,Ala Carte & Value Meals,Regular
18,2024/02/04,Sun,Sri Lanka,McSpicy Wings 6 PC,1120.00,3.59,Ala Carte & Value Meals,Regular
19,2024/02/04,Sun,Sri Lanka,Filet-O-Fish,1450.00,4.65,Ala Carte & Value Meals,Regular
20,2024/02/04,Sun,Sri Lanka,Veggie Burger,1160.00,3.72,Ala Carte & Value Meals,Regular
21,2024/02/04,Sun,Sri Lanka,Sausage & Egg Burger,610.00,1.96,Breakfast & Value Meals,Breakfast
22,2024/02/04,Sun,Sri Lanka,Egg Burger,460.00,1.48,Breakfast & Value Meals,Breakfast
23,2024/02/04,Sun,Sri Lanka,Hash Brown,360.00,1.16,Breakfast & Value Meals,Breakfast
24,2024/02/04,Sun,Sri Lanka,Crispy Chicken Wrap,880.00,2.82,Breakfast & Value Meals,Breakfast
25,2024/02/04,Sun,Sri Lanka,Crispy Chicken Burger,580.00,1.86,Breakfast & Value Meals,Breakfast
26,2024/02/04,Sun,Sri Lanka,Chicken Junior,820.00,2.63,Breakfast & Value Meals,Breakfast
27,2024/02/04,Sun,Sri Lanka,McSpicy Chicken Burger,1160.00,3.72,Breakfast & Value Meals,Breakfast
28,2024/02/04,Sun,Sri Lanka,Double Chicken Rice meal,1310.00,4.20,Rice,Regular
29,2024/02/04,Sun,Sri Lanka,Curry N Rice,590.00,1.89,Rice,Regular
30,2024/02/04,Sun,Sri Lanka,McRice Chicken,1020.00,3.27,Rice,Regular
31,2024/02/04,Sun,Sri Lanka,McRice - Fish,1020.00,3.27,Rice,Regular
32,2024/02/04,Sun,Sri Lanka,McRice - Vegetable,1020.00,3.27,Rice,Regular
33,2024/02/04,Sun,Sri Lanka,Fries,600.00,1.93,Salads/Sides,Regular
34,2024/02/04,Sun,Sri Lanka,Choco Chip McFlurry,1090.00,3.50,Desserts,Regular
35,2024/02/04,Sun,Sri Lanka,OREO McFLURRY,1090.00,3.50,Desserts,Regular
36,2024/02/04,Sun,Sri Lanka,Chocolate Sundae,770.00,2.47,Desserts,Regular
37,2024/02/04,Sun,Sri Lanka,Strawberry Sundae,770.00,2.47,Desserts,Regular
38,2024/02/04,Sun,Sri Lanka,Plain Sundae,670.00,2.15,Desserts,Regular
39,2024/02/04,Sun,Sri Lanka,Chocolate flavoured milk,430.00,1.38,Beverages,Regular
40,2024/02/04,Sun,Sri Lanka,Coke zero,330.00,1.06,Beverages,Regular
41,2024/02/04,Sun,Sri Lanka,Coke,390.00,1.25,Beverages,Regular
42,2024/02/04,Sun,Sri Lanka,Fanta,390.00,1.25,Beverages,Regular
43,2024/02/04,Sun,Sri Lanka,Sprite,390.00,1.25,Beverages,Regular
