,Date,Day,Territory,Menu Item,Price (INR),Price (USD),Category,Menu
1,2023/05/15,Mon,India,Chicken Big Mac,235.00,2.86,New Launches,Regular
2,2023/05/15,Mon,India,McSaver Chicken Big Mac Meal,385.00,4.68,New Launches,Regular
3,2023/05/15,Mon,India,McCheese Burger Veg,249.00,3.03,New Launches,Regular
4,2023/05/15,Mon,India,McCheese Burger Chicken,260.00,3.16,New Launches,Regular
5,2023/05/15,Mon,India,McSaver McCheese Burger Veg Meal,385.00,4.68,New Launches,Regular
6,2023/05/15,Mon,India,McSaver McCheese Burger Chicken Meal,385.00,4.68,New Launches,Regular
7,2023/05/15,Mon,India,2 Fries (R) + Cheesy Dip,110.00,1.34,New Launches,Regular
8,2023/05/15,Mon,India,Triple Cheese  Veg Burger,215.00,2.61,New Launches,Regular
9,2023/05/15,Mon,India,Triple Cheese Chicken Burger,229.00,2.78,New Launches,Regular
10,2023/05/15,Mon,India,McSpicy Premium Veg Burger,249.00,3.03,New Launches,Regular
11,2023/05/15,Mon,India,McSpicy Premium Chicken Burger,260.00,3.16,New Launches,Regular
12,2023/05/15,Mon,India,McSpicy Chicken Burger,185.00,2.25,Trending,Regular
13,2023/05/15,Mon,India,McChicken Burger,131.00,1.59,Trending,Regular
14,2023/05/15,Mon,India,Filet-O-Fish Burger,175.00,2.13,Trending,Regular
15,2023/05/15,Mon,India,McFlurry Oreo Medium,129.00,1.57,Trending,Regular
16,2023/05/15,Mon,India,Mcflurry Oreo Small,91.00,1.11,Trending,Regular
17,2023/05/15,Mon,India,Soft Serve Hot Fudge (M),101.00,1.23,Trending,Regular
18,2023/05/15,Mon,India,Brownie Hot Fudge (M),138.00,1.68,Trending,Regular
19,2023/05/15,Mon,India,Sausage & Egg McMuffin,145.00,1.76,Trending,Regular
20,2023/05/15,Mon,India,Sausage McMuffin,125.00,1.52,Trending,Regular
21,2023/05/15,Mon,India,Egg & Cheese McMuffin,95.00,1.15,Trending,Regular
22,2023/05/15,Mon,India,Chicken Big Mac,235.00,2.86,Deals,Regular
23,2023/05/15,Mon,India,McSaver Chicken Big Mac Meal,385.00,4.68,Deals,Regular
24,2023/05/15,Mon,India,McVeggie Burger + McAloo Tikki Burger,139.00,1.69,Deals,Regular
25,2023/05/15,Mon,India,Veg Pizza McPuff + McSpicy Chicken Burger,179.00,2.18,Deals,Regular
26,2023/05/15,Mon,India,2 McAloo Tikki Burger + 2 Fries (L),301.00,3.66,Deals,Regular
27,2023/05/15,Mon,India,Black Forest Mcflurry (M) BOGO,115.00,1.40,Deals,Regular
28,2023/05/15,Mon,India,2 Iced Coffee,195.00,2.37,Deals,Regular
29,2023/05/15,Mon,India,McAloo Tikki Burger + Veg Pizza McPuff + Coke,141.00,1.71,Deals,Regular
30,2023/05/15,Mon,India,McChicken Burger + McSpicy Chicken Burger,275.00,3.34,Deals,Regular
31,2023/05/15,Mon,India,2 Cappuccino,195.00,2.37,Deals,Regular
32,2023/05/15,Mon,India,2 McVeggie Burger + 2 Corn & Cheese Burger + 2 Fries (L),665.00,8.08,Deals,Regular
33,2023/05/15,Mon,India,4 McAloo Tikki Burger + 2 Fries (M) + 2 Coke,535.00,6.50,Deals,Regular
34,2023/05/15,Mon,India,McChicken + Fries (M),180.00,2.19,Deals,Regular
35,2023/05/15,Mon,India,McAloo Tikki + Fries (M),108.00,1.31,Deals,Regular
36,2023/05/15,Mon,India,McVeggie + Fries (M),159.00,1.93,Deals,Regular
37,2023/05/15,Mon,India,6 Pc Nuggets + McChicken + Coke,311.00,3.78,Deals,Regular
38,2023/05/15,Mon,India,McChicken Burger + Chocolate Shake,255.00,3.10,Deals,Regular
39,2023/05/15,Mon,India,McVeggie Burger + Chocolate Shake,250.00,3.04,Deals,Regular
40,2023/05/15,Mon,India,Corn & Cheese Burger + Coke,190.00,2.31,Deals,Regular
41,2023/05/15,Mon,India,Hashbrown,50.00,0.61,McBreakfast,Breakfast
42,2023/05/15,Mon,India,Egg & Cheese McMuffin,95.00,1.15,McBreakfast,Breakfast
43,2023/05/15,Mon,India,Double Cheese McMuffin,95.00,1.15,McBreakfast,Breakfast
44,2023/05/15,Mon,India,Spicy Egg McMuffin,101.00,1.23,McBreakfast,Breakfast
45,2023/05/15,Mon,India,Veg McMuffin,111.00,1.35,McBreakfast,Breakfast
