Date,Day,Territory,Menu Item,Price (INR),Price (USD),Category
2023/07/01,Sat,India,Sausage McMuffin 3 Pc Meal,265.71,3.23,McBreakfast
2023/07/01,Sat,India,Sausage with Egg McMuffin 3 Pc Meal,286.67,3.49,McBreakfast
2023/07/01,Sat,India,Spicy Egg McMuffin 3 PC Meal,71.19,0.87,McBreakfast
2023/07/01,Sat,India,McSaver Egg & Cheese McMuffin Meal,141.9,1.73,McBreakfast
2023/07/01,Sat,India,McSaver Spicy Egg McMuffin Meal,141.9,1.73,McBreakfast
2023/07/01,Sat,India,Spicy Egg McMuffin 3 Pc Meal with Cappuccino (S),245.71,2.99,McBreakfast
2023/07/01,Sat,India,Double Cheese McMuffin 3 Pc Meal with Cappuccino (S),235.24,2.86,McBreakfast
2023/07/01,Sat,India,Spicy Egg McMuffin,103.81,1.26,McBreakfast
2023/07/01,Sat,India,McSaver Double Cheese McMuffin Meal,141.9,1.73,McBreakfast
2023/07/01,Sat,India,Double Cheese McMuffin,98.1,1.19,McBreakfast
2023/07/01,Sat,India,Hot Cake 3 Pc Meal,272.38,3.31,McBreakfast
2023/07/01,Sat,India,Hot Cake 2 Pc Meal,256.19,3.12,McBreakfast
2023/07/01,Sat,India,Hot Cakes With Maple Syrup,142.86,1.74,McBreakfast
2023/07/01,Sat,India,Hashbrown,51.43,0.63,McBreakfast
2023/07/01,Sat,India,Veg McMuffin,114.29,1.39,McBreakfast
2023/07/01,Sat,India,Egg & Cheese McMuffin,98.1,1.19,McBreakfast
2023/07/01,Sat,India,Sausage McMuffin,128.57,1.56,McBreakfast
2023/07/01,Sat,India,Sausage & Egg McMuffin,149.52,1.82,McBreakfast
2023/07/01,Sat,India,Veg McMuffin 2 Pc Meal,235.24,2.86,McBreakfast
2023/07/01,Sat,India,Sausage McMuffin 2 pc Meal,245.71,2.99,McBreakfast
2023/07/01,Sat,India,Sausage & Egg McMuffin 2 pc Meal,261.9,3.19,McBreakfast
2023/07/01,Sat,India,Veg McMuffin 3 Pc Meal,257.14,3.13,McBreakfast
2023/07/01,Sat,India,Egg & Cheese McMuffin 3 Pc Meal,235.24,2.86,McBreakfast
2023/07/01,Sat,India,2 McSpicy Chicken Burger  + 2 Fries (M)  + Veg Pizza McPuff,449.06,5.46,Value Meals for 2 (Minimum 25% Off)
2023/07/01,Sat,India,2 McChicken Burger + 2 Fries (M) + Veg Pizza McPuff,349.28,4.25,Value Meals for 2 (Minimum 25% Off)
2023/07/01,Sat,India,McSpicy Paneer Burger + 2 Fries (M) + McAloo Tikki Burger + Veg Pizza McPuff,348.58,4.24,Value Meals for 2 (Minimum 25% Off)
2023/07/01,Sat,India,McVeggie Burger + 2 Fries (M) + McAloo Tikki Burger + Veg Pizza McPuff,299.06,3.64,Value Meals for 2 (Minimum 25% Off)
2023/07/01,Sat,India,2 McVeggie Burger + Fries (L) + 2 Coke,348.66,4.24,Value Meals for 2 (Minimum 25% Off)
2023/07/01,Sat,India,2 McChicken Burger + Fries (L) + 2 Coke,348.98,4.25,Value Meals for 2 (Minimum 25% Off)
2023/07/01,Sat,India,McSpicy Paneer Burger + Fries (L) + 2 Coke + McAloo Tikki Burger,349.41,4.25,Value Meals for 2 (Minimum 25% Off)
2023/07/01,Sat,India,McVeggie Burger + Fries (L) + 2 Coke + McAloo Tikki Burger,299.2,3.64,Value Meals for 2 (Minimum 25% Off)
2023/07/01,Sat,India,2 McSpicy Chicken Burger + Fries (L) + 2 Coke,448.85,5.46,Value Meals for 2 (Minimum 25% Off)
2023/07/01,Sat,India,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,349.25,4.25,Value Meals for 2 (Minimum 25% Off)
2023/07/01,Sat,India,Jain Meal - McCheese Burger Veg,389.53,4.74,Jain Friendly
2023/07/01,Sat,India,McCheese Burger Veg,248.57,3.02,Jain Friendly
2023/07/01,Sat,India,Classic Cheesy Dip,14.29,0.17,Jain Friendly
2023/07/01,Sat,India,Piri Piri Big Spicy Wrap Chicken + McVeggie Burger,322.86,3.93,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri McSpicy Chicken Burger,208.57,2.54,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri Big Spicy paneer wrap + Berry Lemonade,275.24,3.35,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri  McSpicy Paneer Burger + Berry Lemonade,275.24,3.35,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri Big Spicy Chicken Wrap + Berry Lemonade,275.24,3.35,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri McSpicy chicken Burger + Berry Lemonade,275.24,3.35,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri McSpicy  Combo for 2,537.16,6.54,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri Big Spicy Wrap Paneer + McSpicy Paneer Burger,372.38,4.53,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri Big Spicy Wrap Paneer + Fries ( R ),265.71,3.23,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri Big Spicy Wrap Paneer + Fries ( L ),310.48,3.78,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri Big Spicy Wrap Paneer + Veg Pizza McPuff,248.57,3.02,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri Big Spicy Wrap Paneer + McVeggie Burger,314.29,3.82,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri McSpicy Paneer Burger + Veg Pizza McPuff,234.29,2.85,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri McSpicy Paneer Burger + McVeggie Burger,300.95,3.66,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri McSpicy Paneer Burger + Fries ( R ),251.43,3.06,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri McSpicy Paneer Burger + Fries ( L ),296.19,3.6,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri Big Spicy Wrap Chicken + Veg Pizza McPuff,257.14,3.13,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri McSpicy Paneer Burger,208.57,2.54,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri Big Spicy Wrap Chicken + McSpicy Chicken Burger,378.1,4.6,Piri-Piri McSpicy Range
2023/07/01,Sat,India,Piri Piri Big Spicy Wrap Chicken + Big Spicy Chicken Wrap,409.52,4.98,Piri-Piri McSpicy Range
