,Date,Day,Territory,Menu Item,Price (INR),Price (USD),Category
1,2023/11/02,Thu,India,Chicken Nuggets Bucket – 27 Pc,570.48,1146546140.16,Match Time Sharers
2,2023/11/02,Thu,India,Fries Bucket,284.76,572308369.92,Match Time Sharers
3,2023/11/02,Thu,India,2 Cheesy Italian Chicken + Fries (L) + 2 Coke,529.04,1063260359.68,Match Time Sharers
4,2023/11/02,Thu,India,2 Cheesy Italian Veg + Fries (L) + 2 Coke,499.16,1003207774.72,Match Time Sharers
5,2023/11/02,Thu,India,2 McCheese Burger Veg + Fries (L) + 2 Coke,619.42,1244905360.64,Match Time Sharers
6,2023/11/02,Thu,India,2 McCheese Burger Chicken + Fries (L)  + 2 Coke,648.88,1304113832.96,Match Time Sharers
7,2023/11/02,Thu,India,2 Corn and Cheese Burger + Fries (L) + 2 Coke,419.25,842605296.00,Match Time Sharers
8,2023/11/02,Thu,India,2 Grilled Chicken and Cheese Burger + Fries (L) + 2 Coke,469.38,943356168.96,Match Time Sharers
9,2023/11/02,Thu,India,2 McSpicy Chicken Burger + Fries (L) + 2 Coke,490.48,985762780.16,Match Time Sharers
10,2023/11/02,Thu,India,2 McVeggie Burger + Fries (L) + 2 Coke,388.58,780964975.36,Match Time Sharers
11,2023/11/02,Thu,India,2 McChicken Burger + Fries (L) + 2 Coke,388.58,780964975.36,Match Time Sharers
12,2023/11/02,Thu,India,Corn & Cheese Burger +McVeggie Burger+Fries (M),329.52,662266659.84,Match Time Sharers
13,2023/11/02,Thu,India,McVeggie Burger + 2 Fries (M) + McAloo Tikki+ Veg Pizza McPuff,306.67,616342912.64,Match Time Sharers
14,2023/11/02,Thu,India,2 McSpicy Chicken Burger  + 2 Fries (M)  + Veg Pizza McPuff,491.43,987672082.56,Match Time Sharers
15,2023/11/02,Thu,India,2 McChicken Burger + 2 Fries (M) + Veg Pizza McPuff,388.57,780944877.44,Match Time Sharers
16,2023/11/02,Thu,India,McSpicy Paneer Burger + Fries (L) + 2 Coke + McAloo Tikki Burger,388.58,780964975.36,Match Time Sharers
17,2023/11/02,Thu,India,McVeggie Burger + Fries (L) + 2 Coke + McAloo Tikki Burger,337.15,677601372.80,Match Time Sharers
18,2023/11/02,Thu,India,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,388.57,780944877.44,Match Time Sharers
19,2023/11/02,Thu,India,2 Chicken Maharaja Mac + 2 Coke + Fries (L) + McFlurry Oreo (M),610.48,1226937820.16,Match Time Sharers
20,2023/11/02,Thu,India,2 McAloo Tikki + 2 Fries (L),317.14,637385434.88,Match Time Sharers
21,2023/11/02,Thu,India,McSpicy Paneer Burger + 2 Fries M + McAloo Tikki + Veg Pizza McPuff,387.62,779035575.04,Match Time Sharers
22,2023/11/02,Thu,India,McSpicy Chicken Burger + McChicken Burger + Fries (M),373.33,750315647.36,Match Time Sharers
23,2023/11/02,Thu,India,6 Pc Nuggets + McChicken + Coke,325.77,654729939.84,Match Time Sharers
24,2023/11/02,Thu,India,Corn and Cheese Burger + Coke + Fries (M) + Veg Pizza McPuff,354.29,712049207.68,Match Time Meals
25,2023/11/02,Thu,India,Corn & Cheese Burger + Fries (R),180.00,361762560.00,Match Time Meals
26,2023/11/02,Thu,India,Grilled Chicken & Cheese Burger + Coke,215.24,432587630.08,Match Time Meals
27,2023/11/02,Thu,India,Corn & Cheese Burger + Coke,225.72,453650250.24,Match Time Meals
28,2023/11/02,Thu,India,Grilled Chicken & Cheese Burger + Veg Pizza McPuff,169.52,340699939.84,Match Time Meals
29,2023/11/02,Thu,India,Corn & Cheese Burger + Veg Pizza McPuff,173.33,348357247.36,Match Time Meals
30,2023/11/02,Thu,India,McChicken Burger + Fries (L),226.67,455559552.64,Match Time Meals
31,2023/11/02,Thu,India,McSpicy Paneer + Fries (M) + Piri Piri Spice Mix,258.10,518727315.20,Match Time Meals
32,2023/11/02,Thu,India,McAloo Tikki + Veg Pizza McPuff + Fries (R),158.10,317748115.20,Match Time Meals
33,2023/11/02,Thu,India,McVeggie Burger + Veg Pizza McPuff + Fries (L),264.76,532112529.92,Match Time Meals
34,2023/11/02,Thu,India,Strawberry Shake + Fries (M),195.24,392391790.08,Match Time Meals
35,2023/11/02,Thu,India,Mexican McAloo Tikki Burger + Fries (R),115.24,231608430.08,Match Time Meals
36,2023/11/02,Thu,India,McChicken Burger + Fries (R),175.24,352195950.08,Match Time Meals
37,2023/11/02,Thu,India,McVeggie Burger + Veg Pizza McPuff,170.48,342629340.16,Match Time Meals
38,2023/11/02,Thu,India,Chicken McNuggets 6 Pc + Fries (M) + Piri Piri Spice Mix,244.82,492037277.44,Match Time Meals
39,2023/11/02,Thu,India,Chocolate Shake + Fries (M),195.24,392391790.08,Match Time Meals
40,2023/11/02,Thu,India,McSpicy Chicken + Mexican Cheesy Fries,258.10,518727315.20,Match Time Meals
41,2023/11/02,Thu,India,McSpicy Chicken + Fries (M) + Piri Piri Spice Mix,272.38,547427144.96,Match Time Meals
42,2023/11/02,Thu,India,McSpicy Paneer + Mexican Cheesy Fries,258.10,518727315.20,Match Time Meals
43,2023/11/02,Thu,India,Pizza Mc Puff + McSpicy Chicken,188.57,378986477.44,Match Time Meals
44,2023/11/02,Thu,India,McSaver Masala McEgg,75.24,151216750.08,Match Time Meals
45,2023/11/02,Thu,India,McSaver Pizza McPuff,103.81,208636507.52,Match Time Meals
46,2023/11/02,Thu,India,McSaver Mexican McAloo Tikki,103.81,208636507.52,Match Time Meals
47,2023/11/02,Thu,India,McAloo Tikki Burger + Veg Pizza McPuff + Piri Piri Spice Mix,126.67,254580352.64,Match Time Meals
48,2023/11/02,Thu,India,McVeggie + Fries (M),189.52,380895779.84,Match Time Meals
49,2023/11/02,Thu,India,Mexican McAloo Tikki Burger + Fries (L),173.33,348357247.36,Match Time Meals
50,2023/11/02,Thu,India,McVeggie Burger + Fries (M) + Piri Piri Mix,231.43,465126162.56,Match Time Meals
51,2023/11/02,Thu,India,McVeggie Burger + Fries (R),175.24,352195950.08,Match Time Meals
52,2023/11/02,Thu,India,McSaver Small Fries,103.81,208636507.52,Match Time Meals
53,2023/11/02,Thu,India,McSaver Chicken Nuggets (4 Pc),103.81,208636507.52,Match Time Meals
54,2023/11/02,Thu,India,McSaver McAloo Tikki,103.81,208636507.52,Match Time Meals
55,2023/11/02,Thu,India,McChicken + Fries (M),189.52,380895779.84,Match Time Meals
56,2023/11/02,Thu,India,McVeggie Burger + Fries (L),221.90,445972844.80,Match Time Meals
57,2023/11/02,Thu,India,McAloo Tikki + Fries (R),106.67,214384512.64,Match Time Meals
58,2023/11/02,Thu,India,McChicken + McSpicy Chicken Burger,289.52,581874979.84,Match Time Meals
59,2023/11/02,Thu,India,McVeggie + McAloo Tikki Burger,180.00,361762560.00,Match Time Meals
60,2023/11/02,Thu,India,McAloo Tikki + Veg Pizza McPuff + Coke,160.96,323496120.32,Match Time Meals
61,2023/11/02,Thu,India,McChicken Burger + Veg Pizza McPuff,170.48,342629340.16,Match Time Meals
62,2023/11/02,Thu,India,2 McFlurry Oreo (S),155.24,312000110.08,Match Time Meals
63,2023/11/02,Thu,India,2 McVeggie Burger,249.52,501483299.84,Match Time Meals
64,2023/11/02,Thu,India,2 Iced Coffee,200.00,401958400.00,Match Time Meals
65,2023/11/02,Thu,India,2 Coke,162.86,327314725.12,Match Time Meals
66,2023/11/02,Thu,India,2 Fries (R),111.43,223951122.56,Match Time Meals
67,2023/11/02,Thu,India,2 Soft Serve Hot Fudge (M),155.24,312000110.08,Match Time Meals
68,2023/11/02,Thu,India,2 Cappuccino,195.24,392391790.08,Match Time Meals
69,2023/11/02,Thu,India,Cheesy Veg Nuggets 9 pc + Fries (M),255.24,512979310.08,Match Time Meals
70,2023/11/02,Thu,India,Black Forest Mcflurry (M) BOGO,115.24,231608430.08,Match Time Meals
