,Date,Day,Territory,Menu Item,Price (VND),Price (USD),Category,Menu
187,2022/02/01,Tue,Vietnam,Teppy Orange Drink,20000.00,0.88,Beverages,Breakfast
188,2022/02/01,Tue,Vietnam,Milo,20000.00,0.88,Beverages,Breakfast
189,2022/02/01,Tue,Vietnam,TH Milk,20000.00,0.88,Beverages,Breakfast
190,2022/02/01,Tue,Vietnam,Fuze Tea - Peach & Chia Seeds,20000.00,0.88,Beverages,Breakfast
191,2022/02/01,Tue,Vietnam,Fuze Tea - Passion & Chia Seeds,20000.00,0.88,Beverages,Breakfast
192,2022/02/01,Tue,Vietnam,Peach Tea,48000.00,2.11,Beverages,Breakfast
193,2022/02/01,Tue,Vietnam,Milk Cream Tea,48000.00,2.11,Beverages,Breakfast
194,2022/02/01,Tue,Vietnam,Lychee Black Tea,48000.00,2.11,Beverages,Breakfast
195,2022/02/01,Tue,Vietnam,Matcha Frappe,78000.00,3.43,Beverages,Breakfast
196,2022/02/01,Tue,Vietnam,Hot Matcha Latte,58000.00,2.55,Beverages,Breakfast
197,2022/02/01,Tue,Vietnam,Hot Chocolate,43000.00,1.89,Beverages,Breakfast
198,2022/02/01,Tue,Vietnam,Iced Latte,53000.00,2.33,Beverages,Breakfast
199,2022/02/01,Tue,Vietnam,Hot Latte,43000.00,1.89,Beverages,Breakfast
200,2022/02/01,Tue,Vietnam,Cappuccino,43000.00,1.89,Beverages,Breakfast
201,2022/02/01,Tue,Vietnam,Mocha,53000.00,2.33,Beverages,Breakfast
202,2022/02/01,Tue,Vietnam,Mocha Frappe,72000.00,3.17,Beverages,Breakfast
203,2022/02/01,Tue,Vietnam,Americano,38000.00,1.67,Beverages,Breakfast
204,2022/02/01,Tue,Vietnam,Iced Americano,48000.00,2.11,Beverages,Breakfast
205,2022/02/01,Tue,Vietnam,Latte Frappe,72000.00,3.17,Beverages,Breakfast
206,2022/02/01,Tue,Vietnam,Caramel Frappe,72000.00,3.17,Beverages,Breakfast
207,2022/02/01,Tue,Vietnam,Iced Vietnamese white coffee,33000.00,1.45,Beverages,Breakfast
208,2022/02/01,Tue,Vietnam,Iced Vietnamese Black,33000.00,1.45,Beverages,Breakfast
209,2022/02/01,Tue,Vietnam,Hot Latte,43000.00,1.89,McCAFÉ,Breakfast
210,2022/02/01,Tue,Vietnam,Iced Latte,53000.00,2.33,McCAFÉ,Breakfast
211,2022/02/01,Tue,Vietnam,Iced Americano,48000.00,2.11,McCAFÉ,Breakfast
212,2022/02/01,Tue,Vietnam,Iced Vietnamese Black,33000.00,1.45,McCAFÉ,Breakfast
213,2022/02/01,Tue,Vietnam,Iced Vietnamese white coffee,33000.00,1.45,McCAFÉ,Breakfast
214,2022/02/01,Tue,Vietnam,Yogurt Strawberry,58000.00,2.55,McCAFÉ,Breakfast
215,2022/02/01,Tue,Vietnam,Kiwi Yogurt,58000.00,2.55,McCAFÉ,Breakfast
216,2022/02/01,Tue,Vietnam,Mangory Tall,49000.00,2.15,McCAFÉ,Breakfast
217,2022/02/01,Tue,Vietnam,Mangory Grande,59000.00,2.59,McCAFÉ,Breakfast
218,2022/02/01,Tue,Vietnam,Ormango Grande,59000.00,2.59,McCAFÉ,Breakfast
219,2022/02/01,Tue,Vietnam,Spanish cherry Mojito,49000.00,2.15,McCAFÉ,Breakfast
220,2022/02/01,Tue,Vietnam,Strawberry McFizz,30000.00,1.32,McCAFÉ,Breakfast
221,2022/02/01,Tue,Vietnam,Iced Mocha,58000.00,2.55,McCAFÉ,Breakfast
222,2022/02/01,Tue,Vietnam,Lychee Black Tea,48000.00,2.11,McCAFÉ,Breakfast
223,2022/02/01,Tue,Vietnam,Milk Cream Tea,48000.00,2.11,McCAFÉ,Breakfast
224,2022/02/01,Tue,Vietnam,Peach Tea,48000.00,2.11,McCAFÉ,Breakfast
225,2022/02/01,Tue,Vietnam,Matcha Frappe,78000.00,3.43,McCAFÉ,Breakfast
226,2022/02/01,Tue,Vietnam,Hot Matcha Latte,58000.00,2.55,McCAFÉ,Breakfast
227,2022/02/01,Tue,Vietnam,Hot Chocolate,43000.00,1.89,McCAFÉ,Breakfast
228,2022/02/01,Tue,Vietnam,Cappuccino,43000.00,1.89,McCAFÉ,Breakfast
229,2022/02/01,Tue,Vietnam,Mocha,53000.00,2.33,McCAFÉ,Breakfast
230,2022/02/01,Tue,Vietnam,Mocha Frappe,72000.00,3.17,McCAFÉ,Breakfast
231,2022/02/01,Tue,Vietnam,Americano,38000.00,1.67,McCAFÉ,Breakfast
232,2022/02/01,Tue,Vietnam,Latte Frappe,72000.00,3.17,McCAFÉ,Breakfast
