,Date,Day,Territory,Menu Item,Price (MYR),Price (USD),Category,Menu
187,2022/11/05,Sat,Malaysia,Belgium Chocolate + McCafé Drink,13.20,2.78,McCafe Drinks,Breakfast
188,2022/11/05,Sat,Malaysia,Red Velvet Cake + McCafé Drink,13.20,2.78,McCafe Drinks,Breakfast
189,2022/11/05,Sat,Malaysia,Classic Cheesecake + McCafé Drink,14.14,2.98,McCafe Drinks,Breakfast
190,2022/11/05,Sat,Malaysia,Pandan Gula Cake + McCafé Drink,13.20,2.78,McCafe Cakes,Breakfast
191,2022/11/05,Sat,Malaysia,Apple Crumble Cheesecake + McCafé Drink,13.20,2.78,McCafe Cakes,Breakfast
192,2022/11/05,Sat,Malaysia,Belgium Chocolate + McCafé Drink,13.20,2.78,McCafe Cakes,Breakfast
193,2022/11/05,Sat,Malaysia,Red Velvet Cake + McCafé Drink,13.20,2.78,McCafe Cakes,Breakfast
194,2022/11/05,Sat,Malaysia,Classic Cheesecake + McCafé Drink,14.14,2.98,McCafe Cakes,Breakfast
195,2022/11/05,Sat,Malaysia,Pandan Gula Melaka Cake,11.79,2.48,McCafe Cakes,Breakfast
196,2022/11/05,Sat,Malaysia,Apple Crumble Cheesecake,11.79,2.48,McCafe Cakes,Breakfast
197,2022/11/05,Sat,Malaysia,Belgium Chocolate Cake,11.79,2.48,McCafe Cakes,Breakfast
198,2022/11/05,Sat,Malaysia,Red Velvet Cake,11.79,2.48,McCafe Cakes,Breakfast
199,2022/11/05,Sat,Malaysia,Classic Cheesecake,11.79,2.48,McCafe Cakes,Breakfast
200,2022/11/05,Sat,Malaysia,OREO® McFlurry™,7.08,1.49,Desserts & Sides,Breakfast
201,2022/11/05,Sat,Malaysia,Chocolate Sundae,5.19,1.09,Desserts & Sides,Breakfast
202,2022/11/05,Sat,Malaysia,Strawberry Sundae,5.19,1.09,Desserts & Sides,Breakfast
203,2022/11/05,Sat,Malaysia,Hash Browns,4.62,0.97,Desserts & Sides,Breakfast
204,2022/11/05,Sat,Malaysia,Hot MILO®,4.91,1.03,Drinks,Breakfast
205,2022/11/05,Sat,Malaysia,Hot Tea,5.38,1.13,Drinks,Breakfast
206,2022/11/05,Sat,Malaysia,Hot Teh Tarik,5.38,1.13,Drinks,Breakfast
207,2022/11/05,Sat,Malaysia,MILO®,7.55,1.59,Drinks,Breakfast
208,2022/11/05,Sat,Malaysia,Coca-Cola®,5.00,1.05,Drinks,Breakfast
209,2022/11/05,Sat,Malaysia,100 Plus,5.00,1.05,Drinks,Breakfast
210,2022/11/05,Sat,Malaysia,Sprite®,5.00,1.05,Drinks,Breakfast
211,2022/11/05,Sat,Malaysia,Iced Lemon Tea,6.51,1.37,Drinks,Breakfast
212,2022/11/05,Sat,Malaysia,Minute Maid® Orange Juice,6.89,1.45,Drinks,Breakfast
213,2022/11/05,Sat,Malaysia,Drinking water,4.72,0.99,Drinks,Breakfast
214,2022/11/05,Sat,Malaysia,Sambal,0.94,0.20,Condiments,Breakfast
