,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category,Menu
1,2023/06/27,Tue,Thailand,McFried Chicken,89.00,2.53,New Promotions,Regular
2,2023/06/27,Tue,Thailand,McFried Chicken Super Max Set,319.00,9.08,New Promotions,Regular
3,2023/06/27,Tue,Thailand,Chicken Bites,59.00,1.68,New Promotions,Regular
4,2023/06/27,Tue,Thailand,Sharing Box Set (New),119.00,3.39,New Promotions,Regular
5,2023/06/27,Tue,Thailand,Party Snack Set 2 (New),219.00,6.23,New Promotions,Regular
6,2023/06/27,Tue,Thailand,Truffle Beef Burger (A-la-carte),175.00,4.98,New Promotions,Regular
7,2023/06/27,Tue,Thailand,Truffle Beef Burger (Set),240.00,6.83,New Promotions,Regular
8,2023/06/27,Tue,Thailand,Truffle Pork Burger (A-la-carte),175.00,4.98,New Promotions,Regular
9,2023/06/27,Tue,Thailand,Truffle Pork Burger (Set),240.00,6.83,New Promotions,Regular
10,2023/06/27,Tue,Thailand,Combo Truffle Beef Burger,399.00,11.35,New Promotions,Regular
11,2023/06/27,Tue,Thailand,Family Truffle Beef Burger,399.00,11.35,New Promotions,Regular
12,2023/06/27,Tue,Thailand,McNuggets 12pcs with Cajun & Sweet Chili (A-la-carte),129.00,3.67,New Promotions,Regular
13,2023/06/27,Tue,Thailand,McNuggets 12pcs with Cajun & Sweet Chili (Set),204.00,5.80,New Promotions,Regular
14,2023/06/27,Tue,Thailand,Curly Fries,99.00,2.82,New Promotions,Regular
15,2023/06/27,Tue,Thailand,McFried Chicken Max Family Set,419.00,11.92,New Promotions,Regular
16,2023/06/27,Tue,Thailand,Curly Fries Party Size,179.00,5.09,New Promotions,Regular
17,2023/06/27,Tue,Thailand,1 pc. McFried Chicken (Original/Spicy),45.00,1.28,New Promotions,Regular
18,2023/06/27,Tue,Thailand,McFried Chicken Super Value Set,109.00,3.10,New Promotions,Regular
19,2023/06/27,Tue,Thailand,McFried Chicken Value Set,149.00,4.24,New Promotions,Regular
20,2023/06/27,Tue,Thailand,Pie A-la-mode (Pineapple/Corn),55.00,1.56,New Promotions,Regular
