,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category
1,2024/12/17,Tue,Thailand,Big Mac. (Beef) A-la-carte,149.00,4.37,New Promotions
2,2024/12/17,Tue,Thailand,Big Mac. (Beef) Set,220.00,6.45,New Promotions
3,2024/12/17,Tue,Thailand,Double Cheeseburger (Beef) A-la-carte,139.00,4.07,New Promotions
4,2024/12/17,Tue,Thailand,Double Cheeseburger (Beef) Set,210.00,6.16,New Promotions
5,2024/12/17,Tue,Thailand,Quarter Pounder with Cheese A-la-carte,159.00,4.66,New Promotions
6,2024/12/17,Tue,Thailand,Quarter Pounder with Cheese Set,230.00,6.74,New Promotions
7,2024/12/17,Tue,Thailand,McFlurry made with MILO,59.00,1.73,New Promotions
8,2024/12/17,Tue,Thailand,Chicken Cheeseburger A-la-carte,55.00,1.61,New Promotions
9,2024/12/17,Tue,Thailand,Chicken Cheeseburger Set,99.00,2.90,New Promotions
10,2024/12/17,Tue,Thailand,McFried Chicken Max Family Set Bite,419.00,12.28,New Promotions
11,2024/12/17,Tue,Thailand,McFried Chicken Max Family Set,319.00,9.35,New Promotions
12,2024/12/17,Tue,Thailand,Chocolate Cream Rainbow Frappe,99.00,2.90,New Promotions
13,2024/12/17,Tue,Thailand,Caramel Coffee Rainbow Frappe,99.00,2.90,New Promotions
14,2024/12/17,Tue,Thailand,Caramel Cream Rainbow Frappe,99.00,2.90,New Promotions
15,2024/12/17,Tue,Thailand,Green Tea Rainbow Frappe,99.00,2.90,New Promotions
16,2024/12/17,Tue,Thailand,Party Fries,109.00,3.20,New Promotions
17,2024/12/17,Tue,Thailand,Pepper Chicken Burger Set & McNugget,99.00,2.90,New Promotions
18,2024/12/17,Tue,Thailand,Pepper Chicken Burger Set & Corn Pie,99.00,2.90,New Promotions
19,2024/12/17,Tue,Thailand,Banoffee Pie,45.00,1.32,New Promotions
20,2024/12/17,Tue,Thailand,Buy 1 Free 1 Filet-o-fish & McNugget Set,233.00,6.83,New Promotions
21,2024/12/17,Tue,Thailand,McChicken Duo,299.00,8.76,Exclusive Only McDelivery
22,2024/12/17,Tue,Thailand,Buy 1 Get 1 Free! Iced Americano,105.00,3.08,Exclusive Only McDelivery
23,2024/12/17,Tue,Thailand,Pepper Chicken Burger Set & McNugget,99.00,2.90,Exclusive Only McDelivery
24,2024/12/17,Tue,Thailand,Pepper Chicken Burger Set & Corn Pie,99.00,2.90,Exclusive Only McDelivery
