,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category,Menu
0,2022/04/21,Thu,Thailand,Pork Floss Fluffy Egg McPorridge,39.00,1.15,New Promotions,Breakfast
1,2022/04/21,Thu,Thailand,Super Cheesy Burger (Chicken) (A-la-carte),89.00,2.63,New Promotions,Regular
2,2022/04/21,Thu,Thailand,Super Cheesy Burger (Chicken) (Set),159.00,4.71,New Promotions,Regular
3,2022/04/21,Thu,Thailand,Super Cheesy Burger (Beef) (A-la-carte),89.00,2.63,New Promotions,Regular
4,2022/04/21,Thu,Thailand,Super Cheesy Burger (Beef) (Set),159.00,4.71,New Promotions,Regular
5,2022/04/21,Thu,Thailand,Super Cheesy Burger Dunk Cheese (Beef) (A-la-carte),119.00,3.52,New Promotions,Regular
6,2022/04/21,Thu,Thailand,Super Cheesy Burger Dunk Cheese (Beef) (Set),189.00,5.59,New Promotions,Regular
7,2022/04/21,Thu,Thailand,Super Cheesy Burger Dunk Cheese (Chicken) (A-la-carte),119.00,3.52,New Promotions,Regular
8,2022/04/21,Thu,Thailand,Super Cheesy Burger Dunk Cheese (Chicken) (Set),189.00,5.59,New Promotions,Regular
9,2022/04/21,Thu,Thailand,Super Cheese Burger Combo Set,299.00,8.85,New Promotions,Regular
10,2022/04/21,Thu,Thailand,Kin Len Cheese Stick Set,159.00,4.71,New Promotions,Regular
11,2022/04/21,Thu,Thailand,Buy 1 Get 1 McNuggets & French Fries,149.00,4.41,New Promotions,Regular
12,2022/04/21,Thu,Thailand,50% Sharing Box 18 pcs. Set,199.00,5.89,New Promotions,Regular
13,2022/04/21,Thu,Thailand,3 pcs. Shacker Chicken Pizza,69.00,2.04,New Promotions,Regular
14,2022/04/21,Thu,Thailand,4 pcs. Shaker Cheese Stick Pizza,79.00,2.34,New Promotions,Regular
15,2022/04/21,Thu,Thailand,Shaker Fries Pizza (Large),79.00,2.34,New Promotions,Regular
16,2022/04/21,Thu,Thailand,3 pcs. Shaker Wings Pizza,69.00,2.04,New Promotions,Regular
17,2022/04/21,Thu,Thailand,Shaker Party Set 2,199.00,5.89,New Promotions,Regular
18,2022/04/21,Thu,Thailand,Shaker Party Set 1,149.00,4.41,New Promotions,Regular
19,2022/04/21,Thu,Thailand,Yuzu Sundae,29.00,0.86,New Promotions,Regular
20,2022/04/21,Thu,Thailand,Taro Coconut Pie,32.00,0.95,New Promotions,Regular
21,2022/04/21,Thu,Thailand,3-Color Bualoy Sundae,39.00,1.15,New Promotions,Regular
22,2022/04/21,Thu,Thailand,3-Color Bualoy A-La-Mode (Corn Pie),59.00,1.75,New Promotions,Regular
23,2022/04/21,Thu,Thailand,Vanilla Cream Croissant,59.00,1.75,New Promotions,Regular
24,2022/04/21,Thu,Thailand,Im Daew Don Jai (Filet-O-Fish),159.00,4.71,New Promotions,Regular
25,2022/04/21,Thu,Thailand,Im Deaw Don Jai McChicken Set,159.00,4.71,New Promotions,Regular
26,2022/04/21,Thu,Thailand,Kai Kin Sanook Set,109.00,3.23,New Promotions,Regular
27,2022/04/21,Thu,Thailand,Cheese Stick Kin Sanook Set,99.00,2.93,New Promotions,Regular
28,2022/04/21,Thu,Thailand,Buy 1 Get 1 Filet-O-Fish Set (Fish),239.00,7.07,New Promotions,Regular
29,2022/04/21,Thu,Thailand,42% McSnack Set,145.00,4.29,New Promotions,Regular
30,2022/04/21,Thu,Thailand,30% Spicy Chicken Burger Set,279.00,8.26,New Promotions,Regular
31,2022/04/21,Thu,Thailand,50% Filet-O-Fish & McNuggets Set,205.00,6.07,New Promotions,Regular
32,2022/04/21,Thu,Thailand,45% Cheeseburger Duo Set (Beef),209.00,6.19,New Promotions,Regular
33,2022/04/21,Thu,Thailand,Jud Tem Triple Beef Cheeseburger Set,209.00,6.19,New Promotions,Regular
34,2022/04/21,Thu,Thailand,40% off Jud Tem Double Cheeseburger Sud Kum,199.00,5.89,New Promotions,Regular
35,2022/04/21,Thu,Thailand,Kai Im Koo Set,219.00,6.48,Exclusive Only McDelivery,Regular
36,2022/04/21,Thu,Thailand,Kai Yok Guan 2 Set,419.00,12.40,Exclusive Only McDelivery,Regular
37,2022/04/21,Thu,Thailand,Kai Yok Guan 1 Set,319.00,9.44,Exclusive Only McDelivery,Regular
38,2022/04/21,Thu,Thailand,38% off Chicken Burger Duo Set,249.00,7.37,Exclusive Only McDelivery,Regular
39,2022/04/21,Thu,Thailand,38% off Double Cheeseburger Duo Set,349.00,10.33,Exclusive Only McDelivery,Regular
40,2022/04/21,Thu,Thailand,50% off Cheeseburger Combo Set,299.00,8.85,Exclusive Only McDelivery,Regular
41,2022/04/21,Thu,Thailand,Buy 1 Get 1 Filet-O-Fish Set (Fish),209.00,6.19,Exclusive Only McDelivery,Regular
42,2022/04/21,Thu,Thailand,Buy McChicken Set Get Pepper Set,141.00,4.17,Exclusive Only McDelivery,Regular
43,2022/04/21,Thu,Thailand,Buy Filet-O-Fish Set Get Pepper Set,141.00,4.17,Exclusive Only McDelivery,Regular
44,2022/04/21,Thu,Thailand,Buy Samurai Set Get Pepper Set,141.00,4.17,Exclusive Only McDelivery,Regular
45,2022/04/21,Thu,Thailand,Chao Tem Imm Set 2,89.00,2.63,Breakfast,Breakfast
46,2022/04/21,Thu,Thailand,Breakfast Family Set 2,229.00,6.78,Breakfast,Breakfast
47,2022/04/21,Thu,Thailand,Breakfast Family Set 1,159.00,4.71,Breakfast,Breakfast
48,2022/04/21,Thu,Thailand,Pork Floss Fluffy Egg McPorridge,39.00,1.15,Breakfast,Breakfast
49,2022/04/21,Thu,Thailand,Chao Tem Im Set (Pork),89.00,2.63,Breakfast,Breakfast
50,2022/04/21,Thu,Thailand,Chao Tem Im Set (Chicken),89.00,2.63,Breakfast,Breakfast
51,2022/04/21,Thu,Thailand,3 pcs. McPatongko with Sankhaya Dip,45.00,1.33,Breakfast,Breakfast
52,2022/04/21,Thu,Thailand,Sankhaya Dip,19.00,0.56,Breakfast,Breakfast
53,2022/04/21,Thu,Thailand,3 pcs. McPatongko with Condensed Milk Dip,39.00,1.15,Breakfast,Breakfast
54,2022/04/21,Thu,Thailand,5 pcs. McPatongko Set,60.00,1.78,Breakfast,Breakfast
55,2022/04/21,Thu,Thailand,3 pcs. McPatongko with Chocolate Dip,45.00,1.33,Breakfast,Breakfast
56,2022/04/21,Thu,Thailand,McChicken Porridge,35.00,1.04,Breakfast,Breakfast
57,2022/04/21,Thu,Thailand,McPork Porridge,35.00,1.04,Breakfast,Breakfast
58,2022/04/21,Thu,Thailand,Bacon Cheesy Egg Bun (A-la-carte),69.00,2.04,Breakfast,Breakfast
59,2022/04/21,Thu,Thailand,Bacon Cheesy Egg Bun (Set),125.00,3.70,Breakfast,Breakfast
60,2022/04/21,Thu,Thailand,Pepper Cheesy Egg Bun (A-la-carte),59.00,1.75,Breakfast,Breakfast
61,2022/04/21,Thu,Thailand,Pepper Cheesy Egg Bun (Set),115.00,3.40,Breakfast,Breakfast
62,2022/04/21,Thu,Thailand,Cheesy Egg Bun (A-la-carte),35.00,1.04,Breakfast,Breakfast
63,2022/04/21,Thu,Thailand,Cheesy Egg Bun (Set),129.00,3.82,Breakfast,Breakfast
64,2022/04/21,Thu,Thailand,Sausage McMuffin with Egg (A-la-carte),99.00,2.93,Breakfast,Breakfast
65,2022/04/21,Thu,Thailand,Sausage McMuffin with Egg (Set),148.00,4.38,Breakfast,Breakfast
66,2022/04/21,Thu,Thailand,Double Sausage McMuffin with Egg (A-la-carte),119.00,3.52,Breakfast,Breakfast
67,2022/04/21,Thu,Thailand,Double Sausage McMuffin with Egg (Set),175.00,5.18,Breakfast,Breakfast
68,2022/04/21,Thu,Thailand,McMuffin with Egg (A-la-carte),59.00,1.75,Breakfast,Breakfast
69,2022/04/21,Thu,Thailand,McMuffin with Egg (Set),115.00,3.40,Breakfast,Breakfast
70,2022/04/21,Thu,Thailand,Sausage McMuffin (A-la-carte),89.00,2.63,Breakfast,Breakfast
71,2022/04/21,Thu,Thailand,Sausage McMuffin (Set),142.00,4.20,Breakfast,Breakfast
72,2022/04/21,Thu,Thailand,Big Breakfast (A-la-carte),139.00,4.11,Breakfast,Breakfast
73,2022/04/21,Thu,Thailand,Big Breakfast (Set),195.00,5.77,Breakfast,Breakfast
74,2022/04/21,Thu,Thailand,2 pcs.Pancake+Sausage (A-la-carte),89.00,2.63,Breakfast,Breakfast
75,2022/04/21,Thu,Thailand,2 pcs.Pancake+Sausage (Set),149.00,4.41,Breakfast,Breakfast
76,2022/04/21,Thu,Thailand,2 pcs. Pancake+Scrambled Egg (A-la-carte),89.00,2.63,Breakfast,Breakfast
77,2022/04/21,Thu,Thailand,2 pcs. Pancake+Scrambled Egg (Set),149.00,4.41,Breakfast,Breakfast
78,2022/04/21,Thu,Thailand,2 pcs. Pancake (A-la-carte),59.00,1.75,Breakfast,Breakfast
79,2022/04/21,Thu,Thailand,2 pcs. Pancake (Set),119.00,3.52,Breakfast,Breakfast
80,2022/04/21,Thu,Thailand,Hot Americano 8 oz.,45.00,1.33,Breakfast,Breakfast
81,2022/04/21,Thu,Thailand,Hot Latte 8 oz.,65.00,1.92,Breakfast,Breakfast
82,2022/04/21,Thu,Thailand,Hot Cappuccino 8 oz.,65.00,1.92,Breakfast,Breakfast
83,2022/04/21,Thu,Thailand,Iced Amerocano 12 oz.,65.00,1.92,Breakfast,Breakfast
84,2022/04/21,Thu,Thailand,Iced Latte 12 oz.,75.00,2.22,Breakfast,Breakfast
85,2022/04/21,Thu,Thailand,Iced Cappuccino 12 oz.,75.00,2.22,Breakfast,Breakfast
86,2022/04/21,Thu,Thailand,Orange Juice 6 oz.,39.00,1.15,Breakfast,Breakfast
87,2022/04/21,Thu,Thailand,Hash Browns,40.00,1.18,Breakfast,Breakfast
88,2022/04/21,Thu,Thailand,Condensed Milk Dip,10.00,0.30,Breakfast,Breakfast
89,2022/04/21,Thu,Thailand,30% off Classic Angus Burger Set,259.00,7.67,Burgers,Regular
90,2022/04/21,Thu,Thailand,Angus Truffle The Signature Collection (Beef) (A-la-carte),209.00,6.19,Burgers,Regular
91,2022/04/21,Thu,Thailand,Angus Truffle The Signature Collection (Beef) (Set),279.00,8.26,Burgers,Regular
92,2022/04/21,Thu,Thailand,30% off Angus Truffle Jud Tem Set,299.00,8.85,Burgers,Regular
93,2022/04/21,Thu,Thailand,Classic Angus The Signature Collection (Beef) (A-la-carte),199.00,5.89,Burgers,Regular
94,2022/04/21,Thu,Thailand,Classic Angus The Signature Collection (Beef) (Set),235.00,6.95,Burgers,Regular
95,2022/04/21,Thu,Thailand,Classic Angus The Signature Collection (Pork) (A-la-carte),199.00,5.89,Burgers,Regular
96,2022/04/21,Thu,Thailand,Classic Angus The Signature Collection (Pork) (Set),235.00,6.95,Burgers,Regular
97,2022/04/21,Thu,Thailand,Deluxe Cheese Spicy Chicken The Signature Collection (Chicken) (A-la-carte),129.00,3.82,Burgers,Regular
98,2022/04/21,Thu,Thailand,Deluxe Cheese Spicy Chicken The Signature Collection (Chicken) (Set),175.00,5.18,Burgers,Regular
99,2022/04/21,Thu,Thailand,Triple Beef Cheeseburger (Beef) (A-la-carte),165.00,4.88,Burgers,Regular
100,2022/04/21,Thu,Thailand,Triple Beef Cheeseburger (Beef) (Set),235.00,6.95,Burgers,Regular
101,2022/04/21,Thu,Thailand,Double Cheeseburger (Beef) (A-la-carte),129.00,3.82,Burgers,Regular
102,2022/04/21,Thu,Thailand,Double Cheeseburger (Beef) (Set),199.00,5.89,Burgers,Regular
103,2022/04/21,Thu,Thailand,Deluxe Cheeseburger (Beef) (A-la-carte),99.00,2.93,Burgers,Regular
104,2022/04/21,Thu,Thailand,Deluxe Cheeseburger (Beef) (Set),155.00,4.59,Burgers,Regular
105,2022/04/21,Thu,Thailand,Cheeseburger (Beef) (A-la-carte),79.00,2.34,Burgers,Regular
106,2022/04/21,Thu,Thailand,Cheeseburger (Beef) (Set),145.00,4.29,Burgers,Regular
107,2022/04/21,Thu,Thailand,Big Mac (Beef) (A-la-carte),129.00,3.82,Burgers,Regular
108,2022/04/21,Thu,Thailand,Big Mac (Beef) (Set),199.00,5.89,Burgers,Regular
109,2022/04/21,Thu,Thailand,Double Big Mac (Beef) (A-la-carte),179.00,5.30,Burgers,Regular
110,2022/04/21,Thu,Thailand,Double Big Mac (Beef) (Set),239.00,7.07,Burgers,Regular
111,2022/04/21,Thu,Thailand,Filet-O-Fish (Fish) (A-la-carte),99.00,2.93,Burgers,Regular
112,2022/04/21,Thu,Thailand,Filet-O-Fish (Fish) (Set),165.00,4.88,Burgers,Regular
113,2022/04/21,Thu,Thailand,Double Filet-O-Fish (Fish) (A-la-carte),139.00,4.11,Burgers,Regular
114,2022/04/21,Thu,Thailand,Double Filet-O-Fish (Fish) (Set),195.00,5.77,Burgers,Regular
115,2022/04/21,Thu,Thailand,Samurai Pork Burger (Pork) (A-la-carte),99.00,2.93,Burgers,Regular
116,2022/04/21,Thu,Thailand,Samurai Pork Burger (Pork) (Set),165.00,4.88,Burgers,Regular
117,2022/04/21,Thu,Thailand,McChicken (Chicken) Bigger than ever 50% (A-la-carte),99.00,2.93,Burgers,Regular
118,2022/04/21,Thu,Thailand,McChicken (Chicken) Bigger than ever 50% (Set),165.00,4.88,Burgers,Regular
119,2022/04/21,Thu,Thailand,McSpicy Chicken Burger (Chicken) (A-la-carte),99.00,2.93,Burgers,Regular
