,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category
1,2023/12/16,Sat,Thailand,McFried Chicken Max Family Set,419.00,11.99,New Promotions
2,2023/12/16,Sat,Thailand,McFried Chicken Party Set,319.00,9.13,New Promotions
3,2023/12/16,Sat,Thailand,Chocolate Pie made with KITKAT,45.00,1.29,New Promotions
4,2023/12/16,Sat,Thailand,Pepper Chicken Burger Set & McNugget,99.00,2.83,New Promotions
5,2023/12/16,Sat,Thailand,Pepper Chicken Burger Set & Corn Pie,99.00,2.83,New Promotions
6,2023/12/16,Sat,Thailand,McFlurry made with KITKAT,59.00,1.69,New Promotions
7,2023/12/16,Sat,Thailand,KitKat Chocolate Frappe,99.00,2.83,New Promotions
8,2023/12/16,Sat,Thailand,KitKat Mocha Frappe,99.00,2.83,New Promotions
9,2023/12/16,Sat,Thailand,Blue Winter Tumbler,599.00,17.14,New Promotions
10,2023/12/16,Sat,Thailand,Red Rudolph Tumbler,599.00,17.14,New Promotions
11,2023/12/16,Sat,Thailand,Im Kum Filet-O-Fish (Fish) Set,159.00,4.55,Exclusive Only McDelivery
12,2023/12/16,Sat,Thailand,Im Kum McChicken (Chicken) Set,159.00,4.55,Exclusive Only McDelivery
13,2023/12/16,Sat,Thailand,Samurai & Filet Set,289.00,8.27,Exclusive Only McDelivery
14,2023/12/16,Sat,Thailand,50% off 10 pcs. McNuggets Set,146.00,4.18,Exclusive Only McDelivery
15,2023/12/16,Sat,Thailand,Pepper Chicken Burger Set & McNugget,99.00,2.83,Exclusive Only McDelivery
16,2023/12/16,Sat,Thailand,Pepper Chicken Burger Set & Corn Pie,99.00,2.83,Exclusive Only McDelivery
17,2023/12/16,Sat,Thailand,Im Kum Samurai Burger (Pork) Set,159.00,4.55,Exclusive Only McDelivery
18,2023/12/16,Sat,Thailand,Buy 1 Get 1 McNuggets & French Fries,190.00,5.44,Exclusive Only McDelivery
19,2023/12/16,Sat,Thailand,Spicy McNuggets 6 pcs A-la-carte,79.00,2.26,Exclusive Only McDelivery
20,2023/12/16,Sat,Thailand,Spicy McNuggets 6 pcs Set,150.00,4.29,Exclusive Only McDelivery
21,2023/12/16,Sat,Thailand,Spicy McNuggets 10 pcs A-la-carte,129.00,3.69,Exclusive Only McDelivery
22,2023/12/16,Sat,Thailand,Spicy McNuggets 10 pcs Set,196.00,5.61,Exclusive Only McDelivery
23,2023/12/16,Sat,Thailand,McNuggets Combo Set 12 pcs,185.00,5.29,Exclusive Only McDelivery
24,2023/12/16,Sat,Thailand,McFried Chicken Tem Max,189.00,5.41,Exclusive Only McDelivery
25,2023/12/16,Sat,Thailand,Cheesy Chicken,65.00,1.86,Exclusive Only McDelivery
26,2023/12/16,Sat,Thailand,3 pcs. McPatongko with Condensed Milk Dip,45.00,1.29,Breakfast
27,2023/12/16,Sat,Thailand,5 pcs. McPatongko Set,69.00,1.97,Breakfast
28,2023/12/16,Sat,Thailand,Condensed Milk Dip,12.00,0.34,Breakfast
29,2023/12/16,Sat,Thailand,Hot Americano 8 oz.,65.00,1.86,Breakfast
30,2023/12/16,Sat,Thailand,Hot Latte 8 oz.,65.00,1.86,Breakfast
31,2023/12/16,Sat,Thailand,Truffle Beef Burger A-la-carte,175.00,5.01,Burgers
32,2023/12/16,Sat,Thailand,Truffle Beef Burger Set,240.00,6.87,Burgers
33,2023/12/16,Sat,Thailand,Truffle Pork Burger A-la-carte,175.00,5.01,Burgers
