,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category
1,2023/10/16,Mon,Thailand,Buy 1 Get 1 McNuggets & French Fries,190.00,5.24,New Promotions
2,2023/10/16,Mon,Thailand,Im Kum Filet-O-Fish (Fish) Set,159.00,4.38,New Promotions
3,2023/10/16,Mon,Thailand,Pepper Chicken Burger Set & McNugget,99.00,2.73,New Promotions
4,2023/10/16,Mon,Thailand,Pepper Chicken Burger Set & Corn Pie,99.00,2.73,New Promotions
5,2023/10/16,Mon,Thailand,Im Kum McChicken (Chicken) Set,159.00,4.38,New Promotions
6,2023/10/16,Mon,Thailand,Samurai & Filet Set,289.00,7.97,New Promotions
7,2023/10/16,Mon,Thailand,99 Cheeseburger Set,99.00,2.73,New Promotions
8,2023/10/16,Mon,Thailand,Spicy McNuggets 6 pcs A-la-carte,79.00,2.18,New Promotions
9,2023/10/16,Mon,Thailand,Spicy McNuggets 6 pcs Set,150.00,4.14,New Promotions
10,2023/10/16,Mon,Thailand,Spicy McNuggets 10 pcs A-la-carte,129.00,3.56,New Promotions
11,2023/10/16,Mon,Thailand,Spicy McNuggets 10 pcs Set,196.00,5.40,New Promotions
12,2023/10/16,Mon,Thailand,McNuggets Combo Set 12 pcs,185.00,5.10,New Promotions
13,2023/10/16,Mon,Thailand,McFlurry made with KITKAT,59.00,1.63,New Promotions
14,2023/10/16,Mon,Thailand,Chocolate Pie made with KITKAT,45.00,1.24,New Promotions
15,2023/10/16,Mon,Thailand,McFried Chicken Max Family Set,419.00,11.55,New Promotions
16,2023/10/16,Mon,Thailand,Truffle Beef Burger A-la-carte,175.00,4.82,New Promotions
17,2023/10/16,Mon,Thailand,Truffle Beef Burger Set,240.00,6.62,New Promotions
18,2023/10/16,Mon,Thailand,Truffle Pork Burger A-la-carte,175.00,4.82,New Promotions
19,2023/10/16,Mon,Thailand,Truffle Pork Burger Set,240.00,6.62,New Promotions
20,2023/10/16,Mon,Thailand,New Sharing Box Set,119.00,3.28,New Promotions
