,Date,Day,Territory,Menu Item,Price (IDR),Price (USD),Category,Menu
0,2022/03/26,Sat,Indonesia,White Chocolate Strawberry Pastry Pie,15500.00,1.08,Promotion Menu,Regular
1,2022/03/26,Sat,Indonesia,Paket Hantaran McD,127000.00,8.85,Promotion Menu,Regular
2,2022/03/26,Sat,Indonesia,White Chocolate Strawberry Pastry Pie,15500.00,1.08,Promotion Menu,Breakfast
3,2022/03/26,Sat,Indonesia,Paket Hantaran McD,127000.00,8.85,Promotion Menu,Breakfast
4,2022/03/26,Sat,Indonesia,Paket Big Order,975000.00,67.96,Ala Carte & Value Meals,Regular
5,2022/03/26,Sat,Indonesia,Big Mac®,37000.00,2.58,Ala Carte & Value Meals,Regular
6,2022/03/26,Sat,Indonesia,Triple Burger with Cheese,45000.00,3.14,Ala Carte & Value Meals,Regular
7,2022/03/26,Sat,Indonesia,Double Cheeseburger,36000.00,2.51,Ala Carte & Value Meals,Regular
8,2022/03/26,Sat,Indonesia,Cheeseburger with Egg,30000.00,2.09,Ala Carte & Value Meals,Regular
9,2022/03/26,Sat,Indonesia,Cheeseburger Deluxe,28500.00,1.99,Ala Carte & Value Meals,Regular
10,2022/03/26,Sat,Indonesia,Cheeseburger,28500.00,1.99,Ala Carte & Value Meals,Regular
11,2022/03/26,Sat,Indonesia,Beef Burger Deluxe,24000.00,1.67,Ala Carte & Value Meals,Regular
12,2022/03/26,Sat,Indonesia,McSpicy™,38000.00,2.65,Ala Carte & Value Meals,Regular
13,2022/03/26,Sat,Indonesia,McChicken®,30000.00,2.09,Ala Carte & Value Meals,Regular
14,2022/03/26,Sat,Indonesia,Chicken Burger Deluxe,24000.00,1.67,Ala Carte & Value Meals,Regular
15,2022/03/26,Sat,Indonesia,Fish Fillet Burger,29000.00,2.02,Ala Carte & Value Meals,Regular
16,2022/03/26,Sat,Indonesia,McNuggets® 6pcs,29500.00,2.06,Ala Carte & Value Meals,Regular
17,2022/03/26,Sat,Indonesia,McNuggets®  9pcs,39500.00,2.75,Ala Carte & Value Meals,Regular
18,2022/03/26,Sat,Indonesia,PaMer 7,161000.00,11.22,Ala Carte & Value Meals,Regular
19,2022/03/26,Sat,Indonesia,PaMer 5,111000.00,7.74,Ala Carte & Value Meals,Regular
20,2022/03/26,Sat,Indonesia,PaNas Spesial,42000.00,2.93,Ala Carte & Value Meals,Regular
21,2022/03/26,Sat,Indonesia,PaNas 1,34500.00,2.40,Ala Carte & Value Meals,Regular
22,2022/03/26,Sat,Indonesia,PaNas 2 with Rice,46500.00,3.24,Ala Carte & Value Meals,Regular
23,2022/03/26,Sat,Indonesia,PaNas 2 with Fries,49000.00,3.42,Ala Carte & Value Meals,Regular
24,2022/03/26,Sat,Indonesia,Nasi Uduk McD,20000.00,1.39,Ala Carte & Value Meals,Regular
25,2022/03/26,Sat,Indonesia,Nasi Uduk McD with Coffee,26000.00,1.81,Ala Carte & Value Meals,Regular
26,2022/03/26,Sat,Indonesia,White Chocolate Strawberry Pastry Pie,15500.00,1.08,Sides,Regular
27,2022/03/26,Sat,Indonesia,Apple Pie,11500.00,0.80,Sides,Regular
28,2022/03/26,Sat,Indonesia,Share Box,39500.00,2.75,Sides,Regular
29,2022/03/26,Sat,Indonesia,Honey Garlic Fish Rice,18000.00,1.25,Sides,Regular
30,2022/03/26,Sat,Indonesia,Honey Garlic Chicken Rice,18000.00,1.25,Sides,Regular
31,2022/03/26,Sat,Indonesia,Rica Rica Fish Rice,18000.00,1.25,Sides,Regular
32,2022/03/26,Sat,Indonesia,Rica Rica Chicken Rice,18000.00,1.25,Sides,Regular
33,2022/03/26,Sat,Indonesia,Beef Burger,16500.00,1.15,Sides,Regular
34,2022/03/26,Sat,Indonesia,Chicken Burger,16500.00,1.15,Sides,Regular
35,2022/03/26,Sat,Indonesia,Fish Snack Wrap,16500.00,1.15,Sides,Regular
36,2022/03/26,Sat,Indonesia,Chicken Snack Wrap™,16500.00,1.15,Sides,Regular
37,2022/03/26,Sat,Indonesia,McNuggets®  4pcs,22000.00,1.53,Sides,Regular
38,2022/03/26,Sat,Indonesia,Spicy Chicken Bites,11500.00,0.80,Sides,Regular
39,2022/03/26,Sat,Indonesia,Spicy Chicken Fingers 5pcs,13500.00,0.94,Sides,Regular
40,2022/03/26,Sat,Indonesia,French Fries,19000.00,1.32,Sides,Regular
41,2022/03/26,Sat,Indonesia,1+1 Beefburger,21000.00,1.46,Sides,Regular
42,2022/03/26,Sat,Indonesia,1+1 Chicken  Burger,21000.00,1.46,Sides,Regular
43,2022/03/26,Sat,Indonesia,1+1 Chicken Snack Wrap,21000.00,1.46,Sides,Regular
44,2022/03/26,Sat,Indonesia,1+1 Fish Snack Wrap,21000.00,1.46,Sides,Regular
45,2022/03/26,Sat,Indonesia,1+1 Spicy Chicken Bites,21000.00,1.46,Sides,Regular
46,2022/03/26,Sat,Indonesia,1+1 Chicken Fingers,21000.00,1.46,Sides,Regular
47,2022/03/26,Sat,Indonesia,1+1 Reg Fries,21000.00,1.46,Sides,Regular
48,2022/03/26,Sat,Indonesia,1+1 Sweet Corn,21000.00,1.46,Sides,Regular
49,2022/03/26,Sat,Indonesia,1+1 Honey Garlic Chicken McD,22500.00,1.57,Sides,Regular
50,2022/03/26,Sat,Indonesia,1+1 Rica Chicken Rice McD,22500.00,1.57,Sides,Regular
51,2022/03/26,Sat,Indonesia,1+1 Rica Fish McD,22500.00,1.57,Sides,Regular
