,Date,Day,Territory,Menu Item,Price (IDR),Price (USD),Category,Menu
268,2025/01/01,Wed,Indonesia,Hot Mocha,28500.00,1.75,McCafé,Breakfast
269,2025/01/01,Wed,Indonesia,Hot Chocolate,28000.00,1.72,McCafé,Breakfast
270,2025/01/01,Wed,Indonesia,Hot Cappucino,26000.00,1.60,McCafé,Breakfast
271,2025/01/01,Wed,Indonesia,Hot Café Latte,26000.00,1.60,McCafé,Breakfast
272,2025/01/01,Wed,Indonesia,Hot Flat White,26000.00,1.60,McCafé,Breakfast
273,2025/01/01,Wed,Indonesia,Hot Long Black,26000.00,1.60,McCafé,Breakfast
274,2025/01/01,Wed,Indonesia,Hot Lemon Grass Tasseo Tea,23500.00,1.44,McCafé,Breakfast
275,2025/01/01,Wed,Indonesia,Hot Java Jasmine Tasseo Tea,23500.00,1.44,McCafé,Breakfast
276,2025/01/01,Wed,Indonesia,Hot Pure Green Tasseo Tea,23500.00,1.44,McCafé,Breakfast
277,2025/01/01,Wed,Indonesia,Klepon Cake,36000.00,2.21,McCafé,Breakfast
278,2025/01/01,Wed,Indonesia,Choco Lover,36000.00,2.21,McCafé,Breakfast
279,2025/01/01,Wed,Indonesia,Choco Chip Muffin,26000.00,1.60,McCafé,Breakfast
280,2025/01/01,Wed,Indonesia,Banana Muffin,26000.00,1.60,McCafé,Breakfast
281,2025/01/01,Wed,Indonesia,Cheese Croissant,35000.00,2.15,McCafé,Breakfast
282,2025/01/01,Wed,Indonesia,Tuna Puff Pastry,34000.00,2.09,McCafé,Breakfast
283,2025/01/01,Wed,Indonesia,Cheese Stick,24500.00,1.51,McCafé,Breakfast
284,2025/01/01,Wed,Indonesia,Butter Croissant,25500.00,1.57,McCafé,Breakfast
285,2025/01/01,Wed,Indonesia,Rice,10000.00,0.61,Rice,Breakfast
286,2025/01/01,Wed,Indonesia,Nasi Uduk McD,30500.00,1.88,Rice,Breakfast
287,2025/01/01,Wed,Indonesia,Original Hello Kitty Plush Bag Tag,37500.00,2.31,Merchandise,Breakfast
