,Date,Day,Territory,Menu Item,Price (IDR),Price (USD),Category,Menu
1,2024/07/01,Mon,Indonesia,Paket Kenyang,130000.00,7.92,Promotion Menu,Regular
2,2024/07/01,Mon,Indonesia,Sprite x Italian Soda,15000.00,0.91,Promotion Menu,Regular
3,2024/07/01,Mon,Indonesia,Paket Hebat - Korean Soy Garlic Wings,30500.00,1.86,Promotion Menu,Regular
4,2024/07/01,Mon,Indonesia,Paket Hebat - Beef Burger Deluxe,33000.00,2.01,Promotion Menu,Regular
5,2024/07/01,Mon,Indonesia,Paket Hebat - Chicken Burger Deluxe,33000.00,2.01,Promotion Menu,Regular
6,2024/07/01,Mon,Indonesia,Original Hello Kitty Plush Bag Tag,37500.00,2.28,Promotion Menu,Regular
7,2024/07/01,Mon,Indonesia,Paket Hantaran McD,135000.00,8.22,Promotion Menu,Regular
8,2024/07/01,Mon,Indonesia,Sprite x Italian Soda,15000.00,0.91,Promotion Menu,Breakfast
9,2024/07/01,Mon,Indonesia,Paket Hebat - Korean Soy Garlic Wings,30500.00,1.86,Promotion Menu,Breakfast
10,2024/07/01,Mon,Indonesia,Original Hello Kitty Plush Bag Tag,37500.00,2.28,Promotion Menu,Breakfast
11,2024/07/01,Mon,Indonesia,Paket Hantaran McD,135000.00,8.22,Promotion Menu,Breakfast
12,2024/07/01,Mon,Indonesia,Mac & Cheese Beef Burger,44500.00,2.71,Ala Carte & Value Meals,Regular
13,2024/07/01,Mon,Indonesia,PaNas 2 Ayam Gulai McD,66000.00,4.02,Ala Carte & Value Meals,Regular
14,2024/07/01,Mon,Indonesia,PaNas 2 Fries Ayam Gulai McD,64500.00,3.93,Ala Carte & Value Meals,Regular
15,2024/07/01,Mon,Indonesia,PaMer 7 Ayam Gulai McD,198500.00,12.09,Ala Carte & Value Meals,Regular
16,2024/07/01,Mon,Indonesia,McNuggets®  9pcs,55000.00,3.35,Ala Carte & Value Meals,Regular
17,2024/07/01,Mon,Indonesia,McNuggets® 6pcs,40000.00,2.44,Ala Carte & Value Meals,Regular
18,2024/07/01,Mon,Indonesia,Paket Korean Soy Garlic Wings,45000.00,2.74,Ala Carte & Value Meals,Regular
19,2024/07/01,Mon,Indonesia,6pcs Korean Soy Garlic Wings,49500.00,3.02,Ala Carte & Value Meals,Regular
20,2024/07/01,Mon,Indonesia,Paket Big Order,587500.00,35.79,Ala Carte & Value Meals,Regular
21,2024/07/01,Mon,Indonesia,Big Mac®,43500.00,2.65,Ala Carte & Value Meals,Regular
22,2024/07/01,Mon,Indonesia,Triple Cheeseburger,62500.00,3.81,Ala Carte & Value Meals,Regular
23,2024/07/01,Mon,Indonesia,Double Cheeseburger,41500.00,2.53,Ala Carte & Value Meals,Regular
24,2024/07/01,Mon,Indonesia,Cheeseburger Deluxe,34500.00,2.10,Ala Carte & Value Meals,Regular
25,2024/07/01,Mon,Indonesia,Cheeseburger,32500.00,1.98,Ala Carte & Value Meals,Regular
26,2024/07/01,Mon,Indonesia,Beef Burger Deluxe,26500.00,1.61,Ala Carte & Value Meals,Regular
27,2024/07/01,Mon,Indonesia,McSpicy Chicken Burger,42000.00,2.56,Ala Carte & Value Meals,Regular
