,Date,Day,Territory,Menu Item,Price (JPY),Price (USD),Category,Menu
1,2025/07/25,Fri,Japan,Hawaii Morning Deli Set,1090.00,7.43,Featured,Regular Menu
2,2025/07/25,Fri,Japan,Sausage Egg Muffin Set,530.00,3.61,Featured,Regular Menu
3,2025/07/25,Fri,Japan,Sausage Muffin Set,400.00,2.73,Featured,Regular Menu
4,2025/07/25,Fri,Japan,Egg McMuffin® Set,460.00,3.13,Featured,Regular Menu
5,2025/07/25,Fri,Japan,Hawaii Dinner Deli Set,1850.00,12.60,Featured,Regular Menu
6,2025/07/25,Fri,Japan,Zakugiri-Potato & Double Thick Beef Irresistible Cheese Pepper Set,1080.00,7.36,Featured,Regular Menu
7,2025/07/25,Fri,Japan,PoteNage DAI,600.00,4.09,Featured,Regular Menu
8,2025/07/25,Fri,Japan,PoteNage TOKUDAI,960.00,6.54,Featured,Regular Menu
9,2025/07/25,Fri,Japan,Hawaii Delivery Set for 3,3290.00,22.42,Featured,Regular Menu
10,2025/07/25,Fri,Japan,Hawaii Delivery Set for 2,2180.00,14.85,Featured,Regular Menu
11,2025/07/25,Fri,Japan,Hawaii Delivery Set,1090.00,7.43,Featured,Regular Menu
12,2025/07/25,Fri,Japan,Big Mac® Set,750.00,5.11,Featured,Regular Menu
13,2025/07/25,Fri,Japan,Potenage XL ＋2Choices,2300.00,15.67,Featured,Regular Menu
14,2025/07/25,Fri,Japan,Chicken McNuggets® 15Pcs,490.00,3.34,Featured,Regular Menu
15,2025/07/25,Fri,Japan,Garlic & Cheese Sauce,40.00,0.27,Featured,Regular Menu
16,2025/07/25,Fri,Japan,Yurinchi Style Sauce,40.00,0.27,Featured,Regular Menu
17,2025/07/25,Fri,Japan,Shaka Shaka Potato® Sour Cream Onion Flavor Seasoning,40.00,0.27,Featured,Regular Menu
18,2025/07/25,Fri,Japan,McFizz® Blue Hawaii 2025,300.00,2.04,Featured,Regular Menu
19,2025/07/25,Fri,Japan,Cheese Bacon Potato Pie,190.00,1.29,Featured,Regular Menu
20,2025/07/25,Fri,Japan,Milky Pie,200.00,1.36,Featured,Regular Menu
21,2025/07/25,Fri,Japan,TAIKI Set,1310.00,8.93,Featured,Regular Menu
22,2025/07/25,Fri,Japan,YUSEI Set,1330.00,9.06,Featured,Regular Menu
23,2025/07/25,Fri,Japan,SOTA Set,960.00,6.54,Featured,Regular Menu
24,2025/07/25,Fri,Japan,NATCHAN Set,1420.00,9.67,Featured,Regular Menu
25,2025/07/25,Fri,Japan,SEKAI Set,1440.00,9.81,Featured,Regular Menu
26,2025/07/25,Fri,Japan,KEITO Set,1170.00,7.97,Featured,Regular Menu
27,2025/07/25,Fri,Japan,SAWANATSU Set,1730.00,11.79,Featured,Regular Menu
28,2025/07/25,Fri,Japan,LEIYA Set,1420.00,9.67,Featured,Regular Menu
29,2025/07/25,Fri,Japan,Smile,0.00,0.00,Featured,Regular Menu
30,2025/07/25,Fri,Japan,Cheese Locomoco Muffin,430.00,2.93,Burgers,Regular Menu
31,2025/07/25,Fri,Japan,Egg McMuffin®,260.00,1.77,Burgers,Regular Menu
32,2025/07/25,Fri,Japan,Bacon Egg McSandwich,300.00,2.04,Burgers,Regular Menu
33,2025/07/25,Fri,Japan,Sausage Egg Muffin,330.00,2.25,Burgers,Regular Menu
34,2025/07/25,Fri,Japan,Sausage Muffin,180.00,1.23,Burgers,Regular Menu
35,2025/07/25,Fri,Japan,Chicken McMuffin,210.00,1.43,Burgers,Regular Menu
36,2025/07/25,Fri,Japan,Hotcakes,360.00,2.45,Burgers,Regular Menu
37,2025/07/25,Fri,Japan,McGriddles Sausage & Egg,360.00,2.45,Burgers,Regular Menu
38,2025/07/25,Fri,Japan,McGriddles Bacon & Egg,340.00,2.32,Burgers,Regular Menu
39,2025/07/25,Fri,Japan,McGriddles Sausage,250.00,1.70,Burgers,Regular Menu
40,2025/07/25,Fri,Japan,Mega Muffin,420.00,2.86,Burgers,Regular Menu
41,2025/07/25,Fri,Japan,Zakugiri-Potato & Double Thick Beef Irresistible Cheese Pepper,780.00,5.31,Burgers,Regular Menu
42,2025/07/25,Fri,Japan,Bai Big Mac,720.00,4.91,Burgers,Regular Menu
43,2025/07/25,Fri,Japan,Bai Double Cheeseburger,690.00,4.70,Burgers,Regular Menu
44,2025/07/25,Fri,Japan,Bai Teriyaki McBurger,520.00,3.54,Burgers,Regular Menu
45,2025/07/25,Fri,Japan,Bai Filet-O-Fish,520.00,3.54,Burgers,Regular Menu
46,2025/07/25,Fri,Japan,Bai Chicken Filet-O,540.00,3.68,Burgers,Regular Menu
47,2025/07/25,Fri,Japan,Bai Teriyaki Chicken Filet-O,540.00,3.68,Burgers,Regular Menu
48,2025/07/25,Fri,Japan,Bai Bacon Lettuce Burger,540.00,3.68,Burgers,Regular Menu
49,2025/07/25,Fri,Japan,Bai Shrimp Filet-O,550.00,3.75,Burgers,Regular Menu
50,2025/07/25,Fri,Japan,Bai McChicken,310.00,2.11,Burgers,Regular Menu
51,2025/07/25,Fri,Japan,Bai Spicy McChicken,340.00,2.32,Burgers,Regular Menu
52,2025/07/25,Fri,Japan,Bai McChicken Cheese,370.00,2.52,Burgers,Regular Menu
53,2025/07/25,Fri,Japan,Bai Egg Cheeseburger,370.00,2.52,Burgers,Regular Menu
54,2025/07/25,Fri,Japan,Bai Hamburger,310.00,2.11,Burgers,Regular Menu
55,2025/07/25,Fri,Japan,Bai Cheeseburger,340.00,2.32,Burgers,Regular Menu
56,2025/07/25,Fri,Japan,Zakugiri-Potato & Thick Beef Irresistible Cheese Pepper,540.00,3.68,Burgers,Regular Menu
57,2025/07/25,Fri,Japan,Garlic Shrimp,490.00,3.34,Burgers,Regular Menu
58,2025/07/25,Fri,Japan,Thick Beef Cheese Locomoco,540.00,3.68,Burgers,Regular Menu
59,2025/07/25,Fri,Japan,Big Mac®,480.00,3.27,Burgers,Regular Menu
60,2025/07/25,Fri,Japan,Roasted Soy Sauce Egg Bacon Thick Beef,570.00,3.88,Burgers,Regular Menu
61,2025/07/25,Fri,Japan,Roasted Soy Sauce Double Thick Beef,580.00,3.95,Burgers,Regular Menu
62,2025/07/25,Fri,Japan,Double Cheeseburger,450.00,3.07,Burgers,Regular Menu
63,2025/07/25,Fri,Japan,Teriyaki McBurger,400.00,2.73,Burgers,Regular Menu
64,2025/07/25,Fri,Japan,Filet-O-Fish®,400.00,2.73,Burgers,Regular Menu
65,2025/07/25,Fri,Japan,Chicken Filet-O®,420.00,2.86,Burgers,Regular Menu
66,2025/07/25,Fri,Japan,Teriyaki Chicken Filet-O,420.00,2.86,Burgers,Regular Menu
67,2025/07/25,Fri,Japan,Bacon Lettuce Burger,420.00,2.86,Burgers,Regular Menu
68,2025/07/25,Fri,Japan,Shrimp Filet-O,430.00,2.93,Burgers,Regular Menu
69,2025/07/25,Fri,Japan,McChicken®,190.00,1.29,Burgers,Regular Menu
70,2025/07/25,Fri,Japan,Spicy McChicken,220.00,1.50,Burgers,Regular Menu
71,2025/07/25,Fri,Japan,McChicken® Cheese,250.00,1.70,Burgers,Regular Menu
72,2025/07/25,Fri,Japan,Egg Cheeseburger,250.00,1.70,Burgers,Regular Menu
73,2025/07/25,Fri,Japan,Hamburger,190.00,1.29,Burgers,Regular Menu
74,2025/07/25,Fri,Japan,Cheeseburger,220.00,1.50,Burgers,Regular Menu
75,2025/07/25,Fri,Japan,Smile,0.00,0.00,Burgers,Regular Menu
76,2025/07/25,Fri,Japan,Cheese Locomoco Muffin Set,630.00,4.29,Set,Regular Menu
77,2025/07/25,Fri,Japan,Hawaii Morning Deli Set,1090.00,7.43,Set,Regular Menu
78,2025/07/25,Fri,Japan,Egg McMuffin® Set,460.00,3.13,Set,Regular Menu
79,2025/07/25,Fri,Japan,Bacon Egg McSandwich Set,490.00,3.34,Set,Regular Menu
80,2025/07/25,Fri,Japan,Sausage Egg Muffin Set,530.00,3.61,Set,Regular Menu
81,2025/07/25,Fri,Japan,Sausage Muffin Set,400.00,2.73,Set,Regular Menu
82,2025/07/25,Fri,Japan,Chicken McMuffin Set,420.00,2.86,Set,Regular Menu
83,2025/07/25,Fri,Japan,Filet-O-Fish® Set,600.00,4.09,Set,Regular Menu
84,2025/07/25,Fri,Japan,Hotcakes Set,560.00,3.82,Set,Regular Menu
85,2025/07/25,Fri,Japan,McGriddles Sausage & Egg Set,560.00,3.82,Set,Regular Menu
