,Date,Day,Territory,Menu Item,Price (JPY),Price (USD),Category,Menu
1,2022/11/27,Sun,Japan,Karubi Burger,530.00,3.81,Recommendations,Regular Menu
2,2022/11/27,Sun,Japan,Wild Beef Burger Onion Rings & Cheese,570.00,4.10,Recommendations,Regular Menu
3,2022/11/27,Sun,Japan,Kebab-like Chicken Burger,510.00,3.67,Recommendations,Regular Menu
4,2022/11/27,Sun,Japan,Tokiwokakeru Burgers Delivery Set for 3,2550.00,18.33,Recommendations,Regular Menu
5,2022/11/27,Sun,Japan,Tokiwokakeru Burgers Delivery Set for 2,1700.00,12.22,Recommendations,Regular Menu
6,2022/11/27,Sun,Japan,Tokiwokakeru Burgers Delivery Set for 1,1500.00,10.78,Recommendations,Regular Menu
7,2022/11/27,Sun,Japan,Gohan Karubi,590.00,4.24,Recommendations,Regular Menu
8,2022/11/27,Sun,Japan,Gohan Chicken with Very Tasty Soy Sauce Flavor,510.00,3.67,Recommendations,Regular Menu
9,2022/11/27,Sun,Japan,Gohan Teriyaki,490.00,3.52,Recommendations,Regular Menu
10,2022/11/27,Sun,Japan,Sankaku Choco Pie Black,180.00,1.29,Recommendations,Regular Menu
11,2022/11/27,Sun,Japan,BigMac® Set with Donation,890.00,6.40,Recommendations,Regular Menu
12,2022/11/27,Sun,Japan,Double Cheese Burger Set with Donation,840.00,6.04,Recommendations,Regular Menu
13,2022/11/27,Sun,Japan,Teriyaki McBurger Set with Donation,840.00,6.04,Recommendations,Regular Menu
14,2022/11/27,Sun,Japan,Delivery Set for 3,2950.00,21.20,Recommendations,Regular Menu
15,2022/11/27,Sun,Japan,Delivery Set for 2,2100.00,15.09,Recommendations,Regular Menu
16,2022/11/27,Sun,Japan,McDelivery® Set,1700.00,12.22,Recommendations,Regular Menu
17,2022/11/27,Sun,Japan,Potenage XL ＋2 choices,1680.00,12.08,Recommendations,Regular Menu
18,2022/11/27,Sun,Japan,PoteNage DAI,630.00,4.53,Recommendations,Regular Menu
19,2022/11/27,Sun,Japan,PoteNage TOKUDAI,1000.00,7.19,Recommendations,Regular Menu
20,2022/11/27,Sun,Japan,Smile,0.00,0.00,Recommendations,Regular Menu
21,2022/11/27,Sun,Japan,Sankaku Choco Pie Black,180.00,1.29,Recommendations,Breakfast Menu
22,2022/11/27,Sun,Japan,McDelivery® Morning Set,1600.00,11.50,Recommendations,Breakfast Menu
23,2022/11/27,Sun,Japan,Smile,0.00,0.00,Recommendations,Breakfast Menu
24,2022/11/27,Sun,Japan,Big Mac®,480.00,3.45,Burgers,Regular Menu
25,2022/11/27,Sun,Japan,Roasted Soy Sauce Double Thick Beef,580.00,4.17,Burgers,Regular Menu
26,2022/11/27,Sun,Japan,Roasted Soy Sauce Bacon Tomato Thick Beef,570.00,4.10,Burgers,Regular Menu
27,2022/11/27,Sun,Japan,Double Cheeseburger,430.00,3.09,Burgers,Regular Menu
28,2022/11/27,Sun,Japan,Teriyaki McBurger,430.00,3.09,Burgers,Regular Menu
29,2022/11/27,Sun,Japan,Filet-O-Fish®,430.00,3.09,Burgers,Regular Menu
30,2022/11/27,Sun,Japan,Chicken Filet-O®,440.00,3.16,Burgers,Regular Menu
31,2022/11/27,Sun,Japan,Teriyaki Chicken Filet-O,450.00,3.23,Burgers,Regular Menu
32,2022/11/27,Sun,Japan,Bacon Lettuce Burger,440.00,3.16,Burgers,Regular Menu
33,2022/11/27,Sun,Japan,Shrimp Filet-O,460.00,3.31,Burgers,Regular Menu
34,2022/11/27,Sun,Japan,Spicy Beef Burger,250.00,1.80,Burgers,Regular Menu
35,2022/11/27,Sun,Japan,"Spicy Chicken Burger ""Spachiki""",250.00,1.80,Burgers,Regular Menu
36,2022/11/27,Sun,Japan,Egg Cheeseburger,280.00,2.01,Burgers,Regular Menu
37,2022/11/27,Sun,Japan,Chicken Cheese Burger,280.00,2.01,Burgers,Regular Menu
38,2022/11/27,Sun,Japan,Hamburger,190.00,1.37,Burgers,Regular Menu
39,2022/11/27,Sun,Japan,Chicken Crisp,190.00,1.37,Burgers,Regular Menu
40,2022/11/27,Sun,Japan,Cheeseburger,230.00,1.65,Burgers,Regular Menu
41,2022/11/27,Sun,Japan,Bai Big Mac,580.00,4.17,Burgers,Regular Menu
42,2022/11/27,Sun,Japan,Bai Double Cheeseburger,530.00,3.81,Burgers,Regular Menu
43,2022/11/27,Sun,Japan,Bai Teriyaki McBurger,530.00,3.81,Burgers,Regular Menu
44,2022/11/27,Sun,Japan,Bai Filet-O-Fish,530.00,3.81,Burgers,Regular Menu
45,2022/11/27,Sun,Japan,Bai Chicken Filet-O,540.00,3.88,Burgers,Regular Menu
46,2022/11/27,Sun,Japan,Bai Teriyaki Chicken Filet-O,550.00,3.95,Burgers,Regular Menu
