,Date,Day,Territory,Menu Item,Price (NZD),Price (USD),Category,Menu
1,2023/08/09,Wed,New Zealand,10pc Chicken McNuggets®,12.80,7.74,Most popular,Breakfast
2,2023/08/09,Wed,New Zealand,Bacon & Egg McMuffin®,9.00,5.44,Most popular,Breakfast
3,2023/08/09,Wed,New Zealand,Big Mac®,10.00,6.05,Most popular,Breakfast
4,2023/08/09,Wed,New Zealand,Hotcakes with Whipped Butter & Syrup,8.90,5.38,Most popular,Breakfast
5,2023/08/09,Wed,New Zealand,Cheeseburger,5.80,3.51,Most popular,Breakfast
6,2023/08/09,Wed,New Zealand,Massive McMuffin®,10.70,6.47,Most popular,Breakfast
7,2023/08/09,Wed,New Zealand,Big Brekkie Burger,11.80,7.13,Most popular,Breakfast
8,2023/08/09,Wed,New Zealand,McChicken®,10.00,6.05,Most popular,Breakfast
9,2023/08/09,Wed,New Zealand,Double Cheeseburger,7.90,4.78,Most popular,Breakfast
10,2023/08/09,Wed,New Zealand,6pc Chicken McNuggets®,9.70,5.87,Most popular,Breakfast
11,2023/08/09,Wed,New Zealand,Bacon & Egg McMuffin®,9.00,5.44,Brekkie Meals,Breakfast
12,2023/08/09,Wed,New Zealand,Hotcakes with Whipped Butter & Syrup,8.90,5.38,Brekkie Meals,Breakfast
13,2023/08/09,Wed,New Zealand,Sausage & Egg McMuffin®,9.00,5.44,Brekkie Meals,Breakfast
14,2023/08/09,Wed,New Zealand,Massive McMuffin®,10.70,6.47,Brekkie Meals,Breakfast
15,2023/08/09,Wed,New Zealand,Big Brekkie Burger,11.80,7.13,Brekkie Meals,Breakfast
16,2023/08/09,Wed,New Zealand,NYC Benedict Bagel®,10.30,6.23,Brekkie Meals,Breakfast
17,2023/08/09,Wed,New Zealand,Chicken McMuffin®,7.40,4.47,Brekkie Meals,Breakfast
18,2023/08/09,Wed,New Zealand,Sausage McMuffin®,7.30,4.41,Brekkie Meals,Breakfast
19,2023/08/09,Wed,New Zealand,Chicken & Bacon McMuffin®,8.90,5.38,Brekkie Meals,Breakfast
20,2023/08/09,Wed,New Zealand,BLT Bagel,9.60,5.80,Brekkie Meals,Breakfast
21,2023/08/09,Wed,New Zealand,Big Mac®,10.00,6.05,All Day Favourites,Breakfast
22,2023/08/09,Wed,New Zealand,Double Cheeseburger,7.90,4.78,All Day Favourites,Breakfast
23,2023/08/09,Wed,New Zealand,Cheeseburger,5.80,3.51,All Day Favourites,Breakfast
24,2023/08/09,Wed,New Zealand,10pc Chicken McNuggets®,12.80,7.74,All Day Favourites,Breakfast
