,Date,Day,Territory,Menu Item,Price (LKR),Price (USD),Category,Menu
1,2022/09/13,Tue,Sri Lanka,Spicy Mix,750.00,2.08,Ala Carte & Value Meals,Regular
2,2022/09/13,Tue,Sri Lanka,Crispy Chicken 02 PC,1010.00,2.80,Ala Carte & Value Meals,Regular
3,2022/09/13,Tue,Sri Lanka,Crispy Chicken 05 PC,2540.00,7.05,Ala Carte & Value Meals,Regular
4,2022/09/13,Tue,Sri Lanka,Spicy chicken footlong,840.00,2.33,Ala Carte & Value Meals,Regular
5,2022/09/13,Tue,Sri Lanka,Crispy Chicken Wrap,690.00,1.91,Ala Carte & Value Meals,Regular
6,2022/09/13,Tue,Sri Lanka,McSpicy Chicken Wrap,1400.00,3.89,Ala Carte & Value Meals,Regular
7,2022/09/13,Tue,Sri Lanka,Crispy Chicken Burger,480.00,1.33,Ala Carte & Value Meals,Regular
8,2022/09/13,Tue,Sri Lanka,Chicken Junior,650.00,1.80,Ala Carte & Value Meals,Regular
9,2022/09/13,Tue,Sri Lanka,Beefburger,860.00,2.39,Ala Carte & Value Meals,Regular
10,2022/09/13,Tue,Sri Lanka,Cheeseburger,990.00,2.75,Ala Carte & Value Meals,Regular
11,2022/09/13,Tue,Sri Lanka,Double Cheeseburger,1550.00,4.30,Ala Carte & Value Meals,Regular
12,2022/09/13,Tue,Sri Lanka,Big Mac,1500.00,4.16,Ala Carte & Value Meals,Regular
13,2022/09/13,Tue,Sri Lanka,McChicken Burger,1400.00,3.89,Ala Carte & Value Meals,Regular
14,2022/09/13,Tue,Sri Lanka,McSpicy Chicken Burger,1000.00,2.78,Ala Carte & Value Meals,Regular
15,2022/09/13,Tue,Sri Lanka,Chicken Big Mac,1400.00,3.89,Ala Carte & Value Meals,Regular
16,2022/09/13,Tue,Sri Lanka,Chicken McNuggets 6 PC,1240.00,3.44,Ala Carte & Value Meals,Regular
17,2022/09/13,Tue,Sri Lanka,Chicken McNuggets 9 PC,1730.00,4.80,Ala Carte & Value Meals,Regular
18,2022/09/13,Tue,Sri Lanka,McSpicy Chicken Fillet,1020.00,2.83,Ala Carte & Value Meals,Regular
19,2022/09/13,Tue,Sri Lanka,McSpicy Wings 3 PC,470.00,1.30,Ala Carte & Value Meals,Regular
20,2022/09/13,Tue,Sri Lanka,McSpicy Wings 6 PC,880.00,2.44,Ala Carte & Value Meals,Regular
21,2022/09/13,Tue,Sri Lanka,Filet-O-Fish,1140.00,3.16,Ala Carte & Value Meals,Regular
22,2022/09/13,Tue,Sri Lanka,Veggie Burger,910.00,2.53,Ala Carte & Value Meals,Regular
23,2022/09/13,Tue,Sri Lanka,Sausage & Egg Burger,480.00,1.33,Breakfast & Value Meals,Breakfast
24,2022/09/13,Tue,Sri Lanka,Egg Burger,360.00,1.00,Breakfast & Value Meals,Breakfast
25,2022/09/13,Tue,Sri Lanka,Omelette Burger,380.00,1.05,Breakfast & Value Meals,Breakfast
26,2022/09/13,Tue,Sri Lanka,Hash Brown,280.00,0.78,Breakfast & Value Meals,Breakfast
27,2022/09/13,Tue,Sri Lanka,Crispy Chicken Wrap,690.00,1.91,Breakfast & Value Meals,Breakfast
28,2022/09/13,Tue,Sri Lanka,Crispy Chicken Burger,480.00,1.33,Breakfast & Value Meals,Breakfast
29,2022/09/13,Tue,Sri Lanka,Chicken Junior,650.00,1.80,Breakfast & Value Meals,Breakfast
30,2022/09/13,Tue,Sri Lanka,McSpicy Chicken Burger,1000.00,2.78,Breakfast & Value Meals,Breakfast
31,2022/09/13,Tue,Sri Lanka,Double Chicken Rice meal,1260.00,3.50,Rice,Regular
32,2022/09/13,Tue,Sri Lanka,Curry N Rice,460.00,1.28,Rice,Regular
33,2022/09/13,Tue,Sri Lanka,McRice,880.00,2.44,Rice,Regular
34,2022/09/13,Tue,Sri Lanka,McRice - Fish,880.00,2.44,Rice,Regular
35,2022/09/13,Tue,Sri Lanka,McRice - Vegetable,880.00,2.44,Rice,Regular
36,2022/09/13,Tue,Sri Lanka,Mini-Salad,470.00,1.30,Salads/Sides,Regular
37,2022/09/13,Tue,Sri Lanka,Fries,470.00,1.30,Salads/Sides,Regular
38,2022/09/13,Tue,Sri Lanka,Choco Chip McFlurry,770.00,2.14,Desserts,Regular
39,2022/09/13,Tue,Sri Lanka,OREO McFLURRY,770.00,2.14,Desserts,Regular
40,2022/09/13,Tue,Sri Lanka,Chocolate Sundae,530.00,1.47,Desserts,Regular
41,2022/09/13,Tue,Sri Lanka,Strawberry Sundae,550.00,1.53,Desserts,Regular
42,2022/09/13,Tue,Sri Lanka,Plain Sundae,480.00,1.33,Desserts,Regular
43,2022/09/13,Tue,Sri Lanka,Chocolate flavoured milk,370.00,1.03,Beverages,Regular
44,2022/09/13,Tue,Sri Lanka,Coke zero,250.00,0.69,Beverages,Regular
45,2022/09/13,Tue,Sri Lanka,Coke,310.00,0.86,Beverages,Regular
46,2022/09/13,Tue,Sri Lanka,Fanta,310.00,0.86,Beverages,Regular
47,2022/09/13,Tue,Sri Lanka,Sprite,310.00,0.86,Beverages,Regular
48,2022/09/13,Tue,Sri Lanka,Water,80.00,0.22,Beverages,Regular
49,2022/09/13,Tue,Sri Lanka,Happy Crispy Burger Meal,1230.00,3.41,Happy Meals,Regular
50,2022/09/13,Tue,Sri Lanka,Happy Meal Rice - Chicken,1110.00,3.08,Happy Meals,Regular
51,2022/09/13,Tue,Sri Lanka,Happy Meal 4 Nugget,1230.00,3.41,Happy Meals,Regular
52,2022/09/13,Tue,Sri Lanka,Spicy Treat for Rs2000,2000.00,5.55,Promotion & Bundle Meals,Regular
53,2022/09/13,Tue,Sri Lanka,Share box Rice Bundles,6380.00,17.71,Promotion & Bundle Meals,Regular
54,2022/09/13,Tue,Sri Lanka,Share box Chicken Bundles,6380.00,17.71,Promotion & Bundle Meals,Regular
55,2022/09/13,Tue,Sri Lanka,Share box Beef Bundles,7500.00,20.81,Promotion & Bundle Meals,Regular
56,2022/09/13,Tue,Sri Lanka,Fries,470.00,1.30,Salads/Sides,Breakfast
57,2022/09/13,Tue,Sri Lanka,Choco Chip McFlurry,770.00,2.14,Desserts,Breakfast
58,2022/09/13,Tue,Sri Lanka,OREO McFLURRY,770.00,2.14,Desserts,Breakfast
59,2022/09/13,Tue,Sri Lanka,Chocolate Sundae,530.00,1.47,Desserts,Breakfast
60,2022/09/13,Tue,Sri Lanka,Strawberry Sundae,550.00,1.53,Desserts,Breakfast
61,2022/09/13,Tue,Sri Lanka,Plain Sundae,480.00,1.33,Desserts,Breakfast
62,2022/09/13,Tue,Sri Lanka,Chocolate flavoured milk,370.00,1.03,Beverages,Breakfast
63,2022/09/13,Tue,Sri Lanka,Coke zero,250.00,0.69,Beverages,Breakfast
64,2022/09/13,Tue,Sri Lanka,Coke,310.00,0.86,Beverages,Breakfast
65,2022/09/13,Tue,Sri Lanka,Fanta,310.00,0.86,Beverages,Breakfast
66,2022/09/13,Tue,Sri Lanka,Sprite,310.00,0.86,Beverages,Breakfast
67,2022/09/13,Tue,Sri Lanka,Water,80.00,0.22,Beverages,Breakfast
68,2022/09/13,Tue,Sri Lanka,Happy Crispy Burger Meal,1230.00,3.41,Happy Meals,Breakfast
