,Date,Day,Territory,Menu Item,Price (LKR),Price (USD),Category,Menu
59,2023/04/02,Sun,Sri Lanka,Choco Chip McFlurry,940.00,2.86,Desserts,Breakfast
60,2023/04/02,Sun,Sri Lanka,OREO McFLURRY,940.00,2.86,Desserts,Breakfast
61,2023/04/02,Sun,Sri Lanka,Chocolate Sundae,660.00,2.01,Desserts,Breakfast
62,2023/04/02,Sun,Sri Lanka,Strawberry Sundae,660.00,2.01,Desserts,Breakfast
63,2023/04/02,Sun,Sri Lanka,Plain Sundae,580.00,1.76,Desserts,Breakfast
64,2023/04/02,Sun,Sri Lanka,Chocolate flavoured milk,410.00,1.25,Beverages,Breakfast
65,2023/04/02,Sun,Sri Lanka,Coke zero,310.00,0.94,Beverages,Breakfast
66,2023/04/02,Sun,Sri Lanka,Coke,370.00,1.12,Beverages,Breakfast
67,2023/04/02,Sun,Sri Lanka,Fanta,370.00,1.12,Beverages,Breakfast
68,2023/04/02,Sun,Sri Lanka,Sprite,370.00,1.12,Beverages,Breakfast
69,2023/04/02,Sun,Sri Lanka,Water,80.00,0.24,Beverages,Breakfast
70,2023/04/02,Sun,Sri Lanka,Happy Crispy Burger Meal,1490.00,4.53,Happy Meals,Breakfast
71,2023/04/02,Sun,Sri Lanka,Happy Meal Chicken Junior,2550.00,7.75,Happy Meals,Breakfast
