,Date,Day,Territory,Menu Item,Price (AUD),Price (USD),Category,Menu
1,2024/06/14,Fri,Australia,Hash Brown,3.65,2.42,Most Popular,Breakfast Menu
2,2024/06/14,Fri,Australia,Mighty McMuffin,8.95,5.94,Most Popular,Breakfast Menu
3,2024/06/14,Fri,Australia,Bacon & Egg McMuffin,6.95,4.61,Most Popular,Breakfast Menu
4,2024/06/14,Fri,Australia,Sausage & Egg McMuffin,6.95,4.61,Most Popular,Breakfast Menu
5,2024/06/14,Fri,Australia,Biscoff McPop,2.00,1.33,Most Popular,Breakfast Menu
6,2024/06/14,Fri,Australia,Hotcakes with Butter & Syrup,7.95,5.28,Most Popular,Breakfast Menu
7,2024/06/14,Fri,Australia,Hash Brown,3.65,2.42,Everyday Value,Breakfast Menu
8,2024/06/14,Fri,Australia,Small Spicy Shaker Fries,4.45,2.95,All Day Menu,Breakfast Menu
9,2024/06/14,Fri,Australia,Small Fries,3.95,2.62,All Day Menu,Breakfast Menu
10,2024/06/14,Fri,Australia,Chicken & Bacon McMuffin,7.95,5.28,McMuffins,Breakfast Menu
11,2024/06/14,Fri,Australia,Chicken McMuffin,6.95,4.61,McMuffins,Breakfast Menu
12,2024/06/14,Fri,Australia,Mighty McMuffin,8.95,5.94,McMuffins,Breakfast Menu
13,2024/06/14,Fri,Australia,Double Bacon & Egg McMuffin,7.95,5.28,McMuffins,Breakfast Menu
14,2024/06/14,Fri,Australia,Bacon & Egg McMuffin,6.95,4.61,McMuffins,Breakfast Menu
15,2024/06/14,Fri,Australia,Big Brekkie Burger,9.95,6.60,McMuffins,Breakfast Menu
16,2024/06/14,Fri,Australia,Double Sausage & Egg McMuffin,7.95,5.28,McMuffins,Breakfast Menu
17,2024/06/14,Fri,Australia,Sausage & Egg McMuffin,6.95,4.61,McMuffins,Breakfast Menu
18,2024/06/14,Fri,Australia,Sausage McMuffin,5.95,3.95,McMuffins,Breakfast Menu
19,2024/06/14,Fri,Australia,Double Sausage McMuffin,6.95,4.61,McMuffins,Breakfast Menu
20,2024/06/14,Fri,Australia,Small Banana Shake,5.65,3.75,Shakes & Frappes,Breakfast Menu
