,Date,Day,Territory,Menu Item,Price (AUD),Price (USD),Category,Menu
1,2024/06/11,Tue,Australia,Hash Brown,3.65,2.41,Most Popular,Breakfast Menu
2,2024/06/11,Tue,Australia,Chicken & Bacon McMuffin,7.95,5.26,Most Popular,Breakfast Menu
3,2024/06/11,Tue,Australia,Chicken McMuffin,6.95,4.59,Most Popular,Breakfast Menu
4,2024/06/11,Tue,Australia,Mighty McMuffin,8.95,5.92,Most Popular,Breakfast Menu
5,2024/06/11,Tue,Australia,Bacon & Egg McMuffin,6.95,4.59,Most Popular,Breakfast Menu
6,2024/06/11,Tue,Australia,Sausage & Egg McMuffin,6.95,4.59,Most Popular,Breakfast Menu
7,2024/06/11,Tue,Australia,Hotcakes with Butter & Syrup,7.95,5.26,Most Popular,Breakfast Menu
8,2024/06/11,Tue,Australia,Hash Brown,3.65,2.41,Everyday Value,Breakfast Menu
9,2024/06/11,Tue,Australia,Small Spicy Shaker Fries,4.45,2.94,All Day Menu,Breakfast Menu
10,2024/06/11,Tue,Australia,Small Fries,3.95,2.61,All Day Menu,Breakfast Menu
11,2024/06/11,Tue,Australia,Big Mac,8.50,5.62,All Day Menu,Breakfast Menu
12,2024/06/11,Tue,Australia,Cheeseburger,5.20,3.44,All Day Menu,Breakfast Menu
13,2024/06/11,Tue,Australia,Double Cheeseburger,6.95,4.59,All Day Menu,Breakfast Menu
14,2024/06/11,Tue,Australia,McChicken,8.20,5.42,All Day Menu,Breakfast Menu
15,2024/06/11,Tue,Australia,Chicken McNuggets - 3pc,5.40,3.57,All Day Menu,Breakfast Menu
16,2024/06/11,Tue,Australia,Spicy Chicken McNuggets - 40pc,29.45,19.47,All Day Menu,Breakfast Menu
17,2024/06/11,Tue,Australia,Half n Half Chicken McNuggets - 40pc,29.45,19.47,All Day Menu,Breakfast Menu
18,2024/06/11,Tue,Australia,Chicken McNuggets - 40pc,29.45,19.47,All Day Menu,Breakfast Menu
19,2024/06/11,Tue,Australia,Spicy Chicken McNuggets - 20pc,15.90,10.51,All Day Menu,Breakfast Menu
20,2024/06/11,Tue,Australia,Half n Half Chicken McNuggets - 20pc,15.90,10.51,All Day Menu,Breakfast Menu
21,2024/06/11,Tue,Australia,Chicken McNuggets - 20pc,15.90,10.51,All Day Menu,Breakfast Menu
22,2024/06/11,Tue,Australia,Spicy Chicken McNuggets - 10pc,10.55,6.97,All Day Menu,Breakfast Menu
23,2024/06/11,Tue,Australia,Half n Half Chicken McNuggets - 10pc,10.55,6.97,All Day Menu,Breakfast Menu
24,2024/06/11,Tue,Australia,Spicy Chicken McNuggets - 6pc,8.40,5.55,All Day Menu,Breakfast Menu
25,2024/06/11,Tue,Australia,Half n Half Chicken McNuggets - 6pc,8.40,5.55,All Day Menu,Breakfast Menu
26,2024/06/11,Tue,Australia,Chicken McNuggets - 6pc,8.40,5.55,All Day Menu,Breakfast Menu
27,2024/06/11,Tue,Australia,AFL Captain Cards,2.00,1.32,All Day Menu,Breakfast Menu
28,2024/06/11,Tue,Australia,10pc Chicken McNuggets,10.55,6.97,All Day Menu,Breakfast Menu
29,2024/06/11,Tue,Australia,Chicken & Bacon McMuffin,7.95,5.26,McMuffins,Breakfast Menu
30,2024/06/11,Tue,Australia,Chicken McMuffin,6.95,4.59,McMuffins,Breakfast Menu
31,2024/06/11,Tue,Australia,Mighty McMuffin,8.95,5.92,McMuffins,Breakfast Menu
32,2024/06/11,Tue,Australia,Double Bacon & Egg McMuffin,7.95,5.26,McMuffins,Breakfast Menu
33,2024/06/11,Tue,Australia,Bacon & Egg McMuffin,6.95,4.59,McMuffins,Breakfast Menu
34,2024/06/11,Tue,Australia,Big Brekkie Burger,9.95,6.58,McMuffins,Breakfast Menu
35,2024/06/11,Tue,Australia,Double Sausage & Egg McMuffin,7.95,5.26,McMuffins,Breakfast Menu
36,2024/06/11,Tue,Australia,Sausage & Egg McMuffin,6.95,4.59,McMuffins,Breakfast Menu
37,2024/06/11,Tue,Australia,Sausage McMuffin,5.95,3.93,McMuffins,Breakfast Menu
38,2024/06/11,Tue,Australia,Double Sausage McMuffin,6.95,4.59,McMuffins,Breakfast Menu
39,2024/06/11,Tue,Australia,Small Chocolate Shake,5.65,3.73,Shakes & Frappes,Breakfast Menu
40,2024/06/11,Tue,Australia,Small Strawberry Shake,5.65,3.73,Shakes & Frappes,Breakfast Menu
41,2024/06/11,Tue,Australia,Small Vanilla Shake,5.65,3.73,Shakes & Frappes,Breakfast Menu
42,2024/06/11,Tue,Australia,Medium Chocolate Frappé,6.55,4.33,Shakes & Frappes,Breakfast Menu
43,2024/06/11,Tue,Australia,Medium Coffee Frappé,6.55,4.33,Shakes & Frappes,Breakfast Menu
44,2024/06/11,Tue,Australia,Medium Salted Caramel Frappé,6.55,4.33,Shakes & Frappes,Breakfast Menu
45,2024/06/11,Tue,Australia,AFL Captain Cards,2.00,1.32,Shakes & Frappes,Breakfast Menu
