,Date,Day,Territory,Menu Item,Price (AUD),Price (USD),Category,Menu
1,2024/05/20,Mon,Australia,Chicken McMuffin,6.85,4.58,Most Popular,Breakfast Menu
2,2024/05/20,Mon,Australia,Chicken & Bacon McMuffin,7.85,5.25,Most Popular,Breakfast Menu
3,2024/05/20,Mon,Australia,Mighty McMuffin,8.65,5.78,Most Popular,Breakfast Menu
4,2024/05/20,Mon,Australia,Bacon & Egg McMuffin,6.55,4.38,Most Popular,Breakfast Menu
5,2024/05/20,Mon,Australia,Sausage & Egg McMuffin,7.10,4.75,Most Popular,Breakfast Menu
6,2024/05/20,Mon,Australia,Hash Brown,3.65,2.44,Most Popular,Breakfast Menu
7,2024/05/20,Mon,Australia,Hotcakes with Butter & Syrup,7.55,5.05,Most Popular,Breakfast Menu
8,2024/05/20,Mon,Australia,Small Fries,3.95,2.64,All Day Menu,Breakfast Menu
9,2024/05/20,Mon,Australia,Big Mac,8.50,5.68,All Day Menu,Breakfast Menu
10,2024/05/20,Mon,Australia,Chicken McMuffin,6.85,4.58,McMuffins,Breakfast Menu
11,2024/05/20,Mon,Australia,Chicken & Bacon McMuffin,7.85,5.25,McMuffins,Breakfast Menu
12,2024/05/20,Mon,Australia,Mighty McMuffin,8.65,5.78,McMuffins,Breakfast Menu
13,2024/05/20,Mon,Australia,Double Bacon & Egg McMuffin,7.80,5.22,McMuffins,Breakfast Menu
14,2024/05/20,Mon,Australia,Bacon & Egg McMuffin,6.55,4.38,McMuffins,Breakfast Menu
15,2024/05/20,Mon,Australia,Big Brekkie Burger,10.15,6.79,McMuffins,Breakfast Menu
16,2024/05/20,Mon,Australia,Double Sausage & Egg McMuffin,8.25,5.52,McMuffins,Breakfast Menu
17,2024/05/20,Mon,Australia,Sausage & Egg McMuffin,7.10,4.75,McMuffins,Breakfast Menu
18,2024/05/20,Mon,Australia,Sausage McMuffin,6.55,4.38,McMuffins,Breakfast Menu
19,2024/05/20,Mon,Australia,Double Sausage McMuffin,7.80,5.22,McMuffins,Breakfast Menu
20,2024/05/20,Mon,Australia,Small Chocolate Shake,5.65,3.78,Shakes & Frappes,Breakfast Menu
21,2024/05/20,Mon,Australia,Small Strawberry Shake,5.65,3.78,Shakes & Frappes,Breakfast Menu
22,2024/05/20,Mon,Australia,Small Vanilla Shake,5.65,3.78,Shakes & Frappes,Breakfast Menu
23,2024/05/20,Mon,Australia,Medium Chocolate Frappé,6.55,4.38,Shakes & Frappes,Breakfast Menu
24,2024/05/20,Mon,Australia,Medium Coffee Frappé,6.55,4.38,Shakes & Frappes,Breakfast Menu
25,2024/05/20,Mon,Australia,Medium Salted Caramel Frappé,6.55,4.38,Shakes & Frappes,Breakfast Menu
26,2024/05/20,Mon,Australia,AFL Captain Cards,2.00,1.34,Shakes & Frappes,Breakfast Menu
27,2024/05/20,Mon,Australia,Small Frozen Coke® K-Wave,4.50,3.01,Soft Drinks,Breakfast Menu
28,2024/05/20,Mon,Australia,Small Coke®,4.50,3.01,Soft Drinks,Breakfast Menu
29,2024/05/20,Mon,Australia,Small Sprite® Zero Sugar,4.50,3.01,Soft Drinks,Breakfast Menu
30,2024/05/20,Mon,Australia,Small Fanta®,4.50,3.01,Soft Drinks,Breakfast Menu
31,2024/05/20,Mon,Australia,Small Sprite®,4.50,3.01,Soft Drinks,Breakfast Menu
32,2024/05/20,Mon,Australia,Small Fanta® Raspberry,4.50,3.01,Soft Drinks,Breakfast Menu
33,2024/05/20,Mon,Australia,Small Vanilla Coke®,4.50,3.01,Soft Drinks,Breakfast Menu
34,2024/05/20,Mon,Australia,Small Coke® Zero Sugar,4.50,3.01,Soft Drinks,Breakfast Menu
35,2024/05/20,Mon,Australia,Small Sparkling Water,4.50,3.01,Soft Drinks,Breakfast Menu
36,2024/05/20,Mon,Australia,Small Frozen Coke®,4.50,3.01,Soft Drinks,Breakfast Menu
37,2024/05/20,Mon,Australia,Small Frozen Sprite® and Fanta® Flavours,4.50,3.01,Soft Drinks,Breakfast Menu
38,2024/05/20,Mon,Australia,AFL Captain Cards,2.00,1.34,Soft Drinks,Breakfast Menu
39,2024/05/20,Mon,Australia,Hot Cross Bun with Cadbury® Choc Chips,2.50,1.67,Desserts,Breakfast Menu
40,2024/05/20,Mon,Australia,Fruit Hot Cross Bun,2.50,1.67,Desserts,Breakfast Menu
41,2024/05/20,Mon,Australia,Apple Crumble Muffin,5.55,3.71,Desserts,Breakfast Menu
42,2024/05/20,Mon,Australia,Double Choc Muffin,5.55,3.71,Desserts,Breakfast Menu
43,2024/05/20,Mon,Australia,Caramello® McFlurry,7.10,4.75,Desserts,Breakfast Menu
44,2024/05/20,Mon,Australia,Caramel Sundae,5.55,3.71,Desserts,Breakfast Menu
45,2024/05/20,Mon,Australia,Strawberry Sundae,5.55,3.71,Desserts,Breakfast Menu
46,2024/05/20,Mon,Australia,Hot Fudge Sundae,5.55,3.71,Desserts,Breakfast Menu
47,2024/05/20,Mon,Australia,Hot Apple Pie,4.35,2.91,Desserts,Breakfast Menu
48,2024/05/20,Mon,Australia,M&M'S® MINIS McFlurry,7.10,4.75,Desserts,Breakfast Menu
49,2024/05/20,Mon,Australia,Chicken McMuffin,6.85,4.58,More Brekkie Favourites,Breakfast Menu
50,2024/05/20,Mon,Australia,Chicken & Bacon McMuffin,7.85,5.25,More Brekkie Favourites,Breakfast Menu
51,2024/05/20,Mon,Australia,Fruit Hot Cross Bun,2.50,1.67,More Brekkie Favourites,Breakfast Menu
52,2024/05/20,Mon,Australia,Double Choc Muffin,5.55,3.71,More Brekkie Favourites,Breakfast Menu
53,2024/05/20,Mon,Australia,Hot Cross Bun with Cadbury® Choc Chips,2.50,1.67,More Brekkie Favourites,Breakfast Menu
54,2024/05/20,Mon,Australia,Apple Crumble Muffin,5.55,3.71,More Brekkie Favourites,Breakfast Menu
55,2024/05/20,Mon,Australia,Hash Brown,3.65,2.44,More Brekkie Favourites,Breakfast Menu
56,2024/05/20,Mon,Australia,Big Brekkie Burger,10.15,6.79,More Brekkie Favourites,Breakfast Menu
57,2024/05/20,Mon,Australia,Hotcakes with Butter & Syrup,7.55,5.05,More Brekkie Favourites,Breakfast Menu
58,2024/05/20,Mon,Australia,Apple Slices,3.85,2.57,More Brekkie Favourites,Breakfast Menu
