,Date,Day,Territory,Menu Item,Price (NZD),Price (USD),Category,Menu
1,2023/05/02,Tue,New Zealand,Hotcakes with Whipped Butter & Syrup,8.70,5.37,Brekkie Meals,Breakfast
2,2023/05/02,Tue,New Zealand,Bacon & Egg McMuffin®,9.00,5.56,Brekkie Meals,Breakfast
3,2023/05/02,Tue,New Zealand,Sausage & Egg McMuffin®,9.00,5.56,Brekkie Meals,Breakfast
4,2023/05/02,Tue,New Zealand,Massive McMuffin®,10.50,6.49,Brekkie Meals,Breakfast
5,2023/05/02,Tue,New Zealand,Chicken McMuffin®,7.30,4.51,Brekkie Meals,Breakfast
6,2023/05/02,Tue,New Zealand,Sausage McMuffin®,7.30,4.51,Brekkie Meals,Breakfast
7,2023/05/02,Tue,New Zealand,Big Brekkie Burger,11.80,7.29,Brekkie Meals,Breakfast
8,2023/05/02,Tue,New Zealand,NYC Benedict Bagel®,10.10,6.24,Brekkie Meals,Breakfast
9,2023/05/02,Tue,New Zealand,BLT Bagel,9.60,5.93,Brekkie Meals,Breakfast
10,2023/05/02,Tue,New Zealand,Chicken & Bacon McMuffin®,8.90,5.50,Brekkie Meals,Breakfast
11,2023/05/02,Tue,New Zealand,10pc Chicken McNuggets®,12.50,7.72,All Day Favourites,Breakfast
12,2023/05/02,Tue,New Zealand,Double Cheeseburger,7.70,4.76,All Day Favourites,Breakfast
13,2023/05/02,Tue,New Zealand,Cheeseburger,5.70,3.52,All Day Favourites,Breakfast
14,2023/05/02,Tue,New Zealand,Big Mac®,9.90,6.11,All Day Favourites,Breakfast
15,2023/05/02,Tue,New Zealand,McChicken®,9.70,5.99,All Day Favourites,Breakfast
16,2023/05/02,Tue,New Zealand,6pc Chicken McNuggets®,9.50,5.87,All Day Favourites,Breakfast
17,2023/05/02,Tue,New Zealand,Quarter Pounder®,9.60,5.93,All Day Favourites,Breakfast
18,2023/05/02,Tue,New Zealand,Double Quarter Pounder®,12.40,7.66,All Day Favourites,Breakfast
19,2023/05/02,Tue,New Zealand,Double McChicken®,11.80,7.29,All Day Favourites,Breakfast
20,2023/05/02,Tue,New Zealand,20pc Chicken McNuggets®,20.30,12.54,All Day Favourites,Breakfast
21,2023/05/02,Tue,New Zealand,Double Big Mac®,11.80,7.29,All Day Favourites,Breakfast
22,2023/05/02,Tue,New Zealand,Big Mac Dinner for 2,33.00,20.38,To Share,Breakfast
23,2023/05/02,Tue,New Zealand,The Family Pack,40.00,24.71,To Share,Breakfast
24,2023/05/02,Tue,New Zealand,The Cheeseburger Stack,23.00,14.21,To Share,Breakfast
25,2023/05/02,Tue,New Zealand,Small Fries,5.40,3.34,Sides,Breakfast
26,2023/05/02,Tue,New Zealand,Hash Brown,4.30,2.66,Sides,Breakfast
27,2023/05/02,Tue,New Zealand,6pc Chicken McNuggets® Happy Meal®,11.30,6.98,Happy Meals,Breakfast
28,2023/05/02,Tue,New Zealand,Hotcakes Happy Meal®,9.50,5.87,Happy Meals,Breakfast
29,2023/05/02,Tue,New Zealand,Cheeseburger Happy Meal®,9.50,5.87,Happy Meals,Breakfast
30,2023/05/02,Tue,New Zealand,3pc Chicken McNuggets® Happy Meal®,9.50,5.87,Happy Meals,Breakfast
31,2023/05/02,Tue,New Zealand,Small Flat White McCafe®,5.70,3.52,McCafé® Drinks,Breakfast
32,2023/05/02,Tue,New Zealand,Small Latté  McCafe®,5.70,3.52,McCafé® Drinks,Breakfast
33,2023/05/02,Tue,New Zealand,Small Hot Chocolate McCafé®,5.70,3.52,McCafé® Drinks,Breakfast
34,2023/05/02,Tue,New Zealand,Small Mochaccino McCafe®,5.70,3.52,McCafé® Drinks,Breakfast
35,2023/05/02,Tue,New Zealand,Small Cappuccino McCafe®,5.70,3.52,McCafé® Drinks,Breakfast
36,2023/05/02,Tue,New Zealand,Small Chai Latté McCafé®,5.70,3.52,McCafé® Drinks,Breakfast
37,2023/05/02,Tue,New Zealand,Small Long Black McCafe®,4.80,2.96,McCafé® Drinks,Breakfast
38,2023/05/02,Tue,New Zealand,Small Fuze Tea® Peach Black Iced Tea,4.60,2.84,Juice & Water,Breakfast
39,2023/05/02,Tue,New Zealand,Kiwi Blue® Water 600ml,3.00,1.85,Juice & Water,Breakfast
40,2023/05/02,Tue,New Zealand,Pump® Mini Water,4.40,2.72,Juice & Water,Breakfast
41,2023/05/02,Tue,New Zealand,Apple Blackcurrant Drink,5.70,3.52,Juice & Water,Breakfast
42,2023/05/02,Tue,New Zealand,Small Coke®,4.60,2.84,Soft Drinks,Breakfast
43,2023/05/02,Tue,New Zealand,Small Fanta® Raspberry,4.60,2.84,Soft Drinks,Breakfast
44,2023/05/02,Tue,New Zealand,Small Sprite® No Sugar,4.60,2.84,Soft Drinks,Breakfast
45,2023/05/02,Tue,New Zealand,Small Coke® Zero Sugar,4.60,2.84,Soft Drinks,Breakfast
46,2023/05/02,Tue,New Zealand,Small Fanta® Orange,4.60,2.84,Soft Drinks,Breakfast
47,2023/05/02,Tue,New Zealand,Small L&P®,4.60,2.84,Soft Drinks,Breakfast
48,2023/05/02,Tue,New Zealand,Whipped Butter,0.20,0.12,Brekkie Condiments,Breakfast
49,2023/05/02,Tue,New Zealand,Mayonnaise,0.30,0.19,Brekkie Condiments,Breakfast
50,2023/05/02,Tue,New Zealand,Ketchup,0.30,0.19,Brekkie Condiments,Breakfast
51,2023/05/02,Tue,New Zealand,Hot Cake Syrup,0.50,0.31,Brekkie Condiments,Breakfast
52,2023/05/02,Tue,New Zealand,Big Mac®,9.90,6.11,Most Popular,Lunch & Dinner
53,2023/05/02,Tue,New Zealand,Double Cheeseburger,7.70,4.76,Most Popular,Lunch & Dinner
54,2023/05/02,Tue,New Zealand,10pc Chicken McBites®,4.00,2.47,Most Popular,Lunch & Dinner
55,2023/05/02,Tue,New Zealand,Double Quarter Pounder®,12.40,7.66,Most Popular,Lunch & Dinner
56,2023/05/02,Tue,New Zealand,YOU CHOOSE Dinner for 2,32.00,19.76,Most Popular,Lunch & Dinner
57,2023/05/02,Tue,New Zealand,The Family Pack,40.00,24.71,Most Popular,Lunch & Dinner
58,2023/05/02,Tue,New Zealand,YOU CHOOSE Family Dinner Pack,60.00,37.06,Most Popular,Lunch & Dinner
59,2023/05/02,Tue,New Zealand,10pc Spicy Chicken McNuggets®,12.50,7.72,Most Popular,Lunch & Dinner
60,2023/05/02,Tue,New Zealand,Big Mac®,9.90,6.11,Favourites,Lunch & Dinner
61,2023/05/02,Tue,New Zealand,Double Cheeseburger,7.70,4.76,Favourites,Lunch & Dinner
62,2023/05/02,Tue,New Zealand,Double Quarter Pounder®,12.40,7.66,Favourites,Lunch & Dinner
63,2023/05/02,Tue,New Zealand,Cheeseburger,5.70,3.52,Favourites,Lunch & Dinner
64,2023/05/02,Tue,New Zealand,The Boss®,12.70,7.84,Favourites,Lunch & Dinner
65,2023/05/02,Tue,New Zealand,McChicken®,9.70,5.99,Favourites,Lunch & Dinner
66,2023/05/02,Tue,New Zealand,Quarter Pounder®,9.60,5.93,Favourites,Lunch & Dinner
67,2023/05/02,Tue,New Zealand,Triple Cheeseburger,9.60,5.93,Favourites,Lunch & Dinner
68,2023/05/02,Tue,New Zealand,Filet-O-Fish®,8.60,5.31,Favourites,Lunch & Dinner
69,2023/05/02,Tue,New Zealand,Double McChicken®,11.80,7.29,Favourites,Lunch & Dinner
70,2023/05/02,Tue,New Zealand,Double Big Mac®,11.80,7.29,Favourites,Lunch & Dinner
71,2023/05/02,Tue,New Zealand,Double Filet-O-Fish®,10.70,6.61,Favourites,Lunch & Dinner
72,2023/05/02,Tue,New Zealand,Hamburger,4.50,2.78,Favourites,Lunch & Dinner
73,2023/05/02,Tue,New Zealand,McSpicy® Bacon Deluxe,13.40,8.28,Favourites,Lunch & Dinner
74,2023/05/02,Tue,New Zealand,McSpicy®,10.90,6.73,Favourites,Lunch & Dinner
75,2023/05/02,Tue,New Zealand,McSpicy® Medium Combo,16.40,10.13,Favourites,Lunch & Dinner
76,2023/05/02,Tue,New Zealand,Almighty Texan BBQ Burger,14.90,9.20,Gourmet Creations,Lunch & Dinner
77,2023/05/02,Tue,New Zealand,The Serious Angus®,11.90,7.35,Gourmet Creations,Lunch & Dinner
78,2023/05/02,Tue,New Zealand,Crispy Chicken Bacon Deluxe,12.90,7.97,Gourmet Creations,Lunch & Dinner
79,2023/05/02,Tue,New Zealand,Crispy Chicken Almighty,15.40,9.51,Gourmet Creations,Lunch & Dinner
80,2023/05/02,Tue,New Zealand,Grilled Chicken Bacon Deluxe,12.90,7.97,Gourmet Creations,Lunch & Dinner
81,2023/05/02,Tue,New Zealand,Grilled Chicken Almighty,15.40,9.51,Gourmet Creations,Lunch & Dinner
