,Date,Day,Territory,Menu Item,Price (HKD),Price (USD),Category,Menu
1,2022/10/11,Tue,Hong Kong,Burger Lovers Combo for 2 with Salted Caramel Oatly Series,129.00,16.43,Salted Caramel Oatly Latte,Regular Menu
2,2022/10/11,Tue,Hong Kong,Burger Lover Combo for 1 with Salted Caramel Oatly Series,63.00,8.03,Salted Caramel Oatly Latte,Regular Menu
3,2022/10/11,Tue,Hong Kong,Iced Salted Caramel Oatly Latte,43.00,5.48,Salted Caramel Oatly Latte,Regular Menu
4,2022/10/11,Tue,Hong Kong,Salted Caramel Oatly Latte(L),38.00,4.84,Salted Caramel Oatly Latte,Regular Menu
5,2022/10/11,Tue,Hong Kong,The Signature Combo for 2,140.00,17.83,New! Signature Angus Original with Pineapple,Regular Menu
6,2022/10/11,Tue,Hong Kong,The Signature Combo for 1,65.00,8.28,New! Signature Angus Original with Pineapple,Regular Menu
7,2022/10/11,Tue,Hong Kong,Crispy Thighs Sharing Bucket Combo for 3,183.00,23.31,Hot Deal,Regular Menu
8,2022/10/11,Tue,Hong Kong,Burger Lovers Combo for 3,153.00,19.49,Hot Deal,Regular Menu
9,2022/10/11,Tue,Hong Kong,Happy Family Combo,135.00,17.20,Hot Deal,Regular Menu
10,2022/10/11,Tue,Hong Kong,Crispy Thighs Sharing Bucket Combo for 2,122.00,15.54,Hot Deal,Regular Menu
11,2022/10/11,Tue,Hong Kong,Burger Lovers Combo for 2,109.00,13.89,Hot Deal,Regular Menu
12,2022/10/11,Tue,Hong Kong,Burger Lover Combo for 1,53.00,6.75,Hot Deal,Regular Menu
13,2022/10/11,Tue,Hong Kong,Crispy Thighs Combo for 1,70.00,8.92,Hot Deal,Regular Menu
14,2022/10/11,Tue,Hong Kong,McNuggets (9pcs) Combo for 1,60.00,7.64,Hot Deal,Regular Menu
15,2022/10/11,Tue,Hong Kong,McWings (4pcs) Combo for 1,60.00,7.64,Hot Deal,Regular Menu
16,2022/10/11,Tue,Hong Kong,McCafe All-new Meal Combo for 1,61.00,7.77,McCafe Value Combo,Regular Menu
17,2022/10/11,Tue,Hong Kong,McCafe Burger Lovers Combo for 2,125.00,15.92,McCafe Value Combo,Regular Menu
18,2022/10/11,Tue,Hong Kong,McCafe Burger Lovers Cobmo for 3,177.00,22.55,McCafe Value Combo,Regular Menu
19,2022/10/11,Tue,Hong Kong,McCafe Happy Family Combo,151.00,19.24,McCafe Value Combo,Regular Menu
20,2022/10/11,Tue,Hong Kong,Angus Original with Pineapple,39.00,4.97,Regular A-la-carte,Regular Menu
21,2022/10/11,Tue,Hong Kong,Angus Original,34.00,4.33,Regular A-la-carte,Regular Menu
22,2022/10/11,Tue,Hong Kong,Cheesy Champignon Angus Burger,39.00,4.97,Regular A-la-carte,Regular Menu
23,2022/10/11,Tue,Hong Kong,Double Angus Original,46.00,5.86,Regular A-la-carte,Regular Menu
24,2022/10/11,Tue,Hong Kong,Big Mac®,25.50,3.25,Regular A-la-carte,Regular Menu
25,2022/10/11,Tue,Hong Kong,Crispy Thighs (Original)Sharing Bucket (6pcs),113.50,14.46,Regular A-la-carte,Regular Menu
26,2022/10/11,Tue,Hong Kong,Honey BBQ Crispy Thighs Sharing Bucket (6pcs),119.50,15.22,Regular A-la-carte,Regular Menu
27,2022/10/11,Tue,Hong Kong,Original & Honey BBQ Crispy Thighs Sharing Bucket (6pcs),119.50,15.22,Regular A-la-carte,Regular Menu
28,2022/10/11,Tue,Hong Kong,Crispy Thighs(2pcs),41.50,5.29,Regular A-la-carte,Regular Menu
29,2022/10/11,Tue,Hong Kong,Double Cheeseburger™,24.00,3.06,Regular A-la-carte,Regular Menu
30,2022/10/11,Tue,Hong Kong,McSpicy®Chicken Filet,27.00,3.44,Regular A-la-carte,Regular Menu
31,2022/10/11,Tue,Hong Kong,GCB®,26.50,3.38,Regular A-la-carte,Regular Menu
32,2022/10/11,Tue,Hong Kong,Filet-O-Fish™,23.00,2.93,Regular A-la-carte,Regular Menu
33,2022/10/11,Tue,Hong Kong,Sausage McMuffin® with Egg,22.50,2.87,Regular A-la-carte,Regular Menu
34,2022/10/11,Tue,Hong Kong,Chicken McNuggets® (6pcs),24.00,3.06,Regular A-la-carte,Regular Menu
35,2022/10/11,Tue,Hong Kong,McNuggets®(18pcs),52.00,6.62,Regular A-la-carte,Regular Menu
36,2022/10/11,Tue,Hong Kong,Tasty Sharing Box,44.00,5.61,Regular A-la-carte,Regular Menu
