,Date,Day,Territory,Menu Item,Price (BND),Price (USD),Category
1,2022/07/19,Tue,Brunei,Spicy Chicken McDeluxe (Value Meal) — Medium,6.80,4.87,Regular Value Meal
2,2022/07/19,Tue,Brunei,Spicy Chicken McDeluxe (Value Meal) — Large,7.40,5.29,Regular Value Meal
3,2022/07/19,Tue,Brunei,2 Pcs Ayam Goreng Regular (Value Meal) — Medium,6.30,4.51,Regular Value Meal
4,2022/07/19,Tue,Brunei,2 Pcs Ayam Goreng Regular (Value Meal) — Large,6.90,4.94,Regular Value Meal
5,2022/07/19,Tue,Brunei,2 Pcs Ayam Goreng Spicy (Value Meal) — Medium,6.30,4.51,Regular Value Meal
6,2022/07/19,Tue,Brunei,2 Pcs Ayam Goreng Spicy (Value Meal) — Large,6.90,4.94,Regular Value Meal
7,2022/07/19,Tue,Brunei,Filet-O-Fish (Value Meal) — Medium,5.60,4.01,Regular Value Meal
8,2022/07/19,Tue,Brunei,Filet-O-Fish (Value Meal) — Large,6.20,4.44,Regular Value Meal
9,2022/07/19,Tue,Brunei,1 Pc Fish and Fries (Value Meal) — Large,5.80,4.15,Regular Value Meal
10,2022/07/19,Tue,Brunei,2 Pcs Fish and Fries (Value Meal) — Large,7.40,5.29,Regular Value Meal
11,2022/07/19,Tue,Brunei,6 Pcs Fish Nuggets (Value Meal) — Medium,5.80,4.15,Regular Value Meal
12,2022/07/19,Tue,Brunei,6 Pcs Fish Nuggets (Value Meal) — Large,6.40,4.58,Regular Value Meal
13,2022/07/19,Tue,Brunei,Nasi Lemak Set A (2 Pcs Chicken),6.70,4.79,Regular Value Meal
14,2022/07/19,Tue,Brunei,Nasi Lemak Set B (1 Pc Chicken),5.20,3.72,Regular Value Meal
15,2022/07/19,Tue,Brunei,Nasi Lemak Set C,3.50,2.50,Regular Value Meal
16,2022/07/19,Tue,Brunei,Spicy Chicken McDeluxe (A La Carte),5.60,4.01,Regular Value Meal
17,2022/07/19,Tue,Brunei,2 Pcs Ayam Goreng Regular (A La Carte),5.30,3.79,Regular Value Meal
18,2022/07/19,Tue,Brunei,2 Pcs Ayam Goreng Spicy (A La Carte),5.30,3.79,Regular Value Meal
19,2022/07/19,Tue,Brunei,Filet-O-Fish (A La Carte),3.80,2.72,Regular Value Meal
20,2022/07/19,Tue,Brunei,1 Pc Fish and Fries (A La Carte),3.80,2.72,Regular Value Meal
21,2022/07/19,Tue,Brunei,2 Pcs Fish and Fries (A La Carte),5.50,3.94,Regular Value Meal
22,2022/07/19,Tue,Brunei,6 Pcs Fish Nuggets (A La Carte),4.30,3.08,Regular Value Meal
23,2022/07/19,Tue,Brunei,Chicken McNuggets — 6 Pieces - A la carte,4.60,3.29,Regular Value Meal
24,2022/07/19,Tue,Brunei,Chicken McNuggets — 6 Pieces - Medium Value Meal,6.10,4.36,Regular Value Meal
25,2022/07/19,Tue,Brunei,Happy Meal Fish Nuggets (4pcs),5.20,3.72,Happy Meal
26,2022/07/19,Tue,Brunei,Happy Meal Bubur McD (S),5.20,3.72,Happy Meal
27,2022/07/19,Tue,Brunei,Happy Meal Ayam Goreng McD (1pc),5.20,3.72,Happy Meal
28,2022/07/19,Tue,Brunei,6 Pcs Fish Nuggets,4.30,3.08,Sides
29,2022/07/19,Tue,Brunei,9 Pcs Fish Nuggets,6.00,4.29,Sides
30,2022/07/19,Tue,Brunei,20 Pcs Fish Nuggets,11.90,8.51,Sides
31,2022/07/19,Tue,Brunei,Fish Bites,2.20,1.57,Sides
32,2022/07/19,Tue,Brunei,2pcs Ayam Goreng McD,5.30,3.79,Sides
33,2022/07/19,Tue,Brunei,5pcs Ayam Goreng McD,12.00,8.59,Sides
34,2022/07/19,Tue,Brunei,9pcs Ayam Goreng McD,21.80,15.60,Sides
35,2022/07/19,Tue,Brunei,Rice,0.80,0.57,Sides
36,2022/07/19,Tue,Brunei,Cakoi — 1 Pc,1.50,1.07,Sides
37,2022/07/19,Tue,Brunei,Cakoi — 2 Pc,2.80,2.00,Sides
38,2022/07/19,Tue,Brunei,Sweet Potato Fries — Medium,3.00,2.15,Sweet Potato Fries
39,2022/07/19,Tue,Brunei,Dinosaur McFlurry — Regular,3.50,2.50,Dinosaur McFlurry
