,Date,Day,Territory,Menu Item,Price (SGD),Price (USD),Category,Menu
0,2022/05/11,Wed,Singapore,Jjang Jjang Chicken/Beef Special,10.35,7.44,Promotion Meals,Regular Menu
1,2022/05/11,Wed,Singapore,2x Value Meal: Jjang Chic EVM & McSpicy® EVM,18.50,13.30,Promotion Meals,Regular Menu
2,2022/05/11,Wed,Singapore,2x Value Meal: Jjang Beef EVM & McSpicy® EVM,18.50,13.30,Promotion Meals,Regular Menu
3,2022/05/11,Wed,Singapore,Jjang Jjang Chicken Extra Value Meal,10.00,7.19,Promotion Meals,Regular Menu
4,2022/05/11,Wed,Singapore,Jjang Jjang Beef Extra Value Meal,10.00,7.19,Promotion Meals,Regular Menu
5,2022/05/11,Wed,Singapore,Yuzu McFizz®,3.30,2.37,Promotion Meals,Regular Menu
6,2022/05/11,Wed,Singapore,Chocolate Pie,1.95,1.40,Promotion Meals,Regular Menu
7,2022/05/11,Wed,Singapore,Chicken McCrispy® (6pc) Value Bundle,22.10,15.89,Chicken McCrispy®,Regular Menu
8,2022/05/11,Wed,Singapore,Chicken McCrispy® (2pc) Extra Value Meal,9.00,6.47,Chicken McCrispy®,Regular Menu
9,2022/05/11,Wed,Singapore,Chicken McNuggets® (20pc),13.60,9.78,Sharing,Regular Menu
10,2022/05/11,Wed,Singapore,Box B: Chicken McNuggets® (6pc) + McWings® (4pc),8.45,6.07,Sharing,Regular Menu
11,2022/05/11,Wed,Singapore,Box A: Chicken McNuggets® (12pc) + McWings® (8pc),13.95,10.03,Sharing,Regular Menu
12,2022/05/11,Wed,Singapore,McWings® 4pc,5.75,4.13,Sharing,Regular Menu
13,2022/05/11,Wed,Singapore,Jjang Jjang Chicken Extra Value Meal,10.00,7.19,Ala Carte & Value Meals,Regular Menu
14,2022/05/11,Wed,Singapore,Jjang Jjang Beef Extra Value Meal,10.00,7.19,Ala Carte & Value Meals,Regular Menu
15,2022/05/11,Wed,Singapore,Chicken McCrispy® (2pc) Extra Value Meal,9.00,6.47,Ala Carte & Value Meals,Regular Menu
16,2022/05/11,Wed,Singapore,Buttermilk Crispy Chicken Extra Value Meal,9.65,6.94,Ala Carte & Value Meals,Regular Menu
17,2022/05/11,Wed,Singapore,Angus BLT Extra Value Meal,9.80,7.04,Ala Carte & Value Meals,Regular Menu
18,2022/05/11,Wed,Singapore,Original Angus Cheeseburger Extra Value Meal,8.75,6.29,Ala Carte & Value Meals,Regular Menu
