,Date,Day,Territory,Menu Item,Price (SGD),Price (USD),Category,Menu
1,2024/12/14,Sat,Singapore,Belgian Waffles Platter,7.80,5.77,What's New,Breakfast Menu
2,2024/12/14,Sat,Singapore,Belgian Waffles Platter Meal,9.00,6.66,What's New,Breakfast Menu
3,2024/12/14,Sat,Singapore,2xVM: Belgian Waffles Platter EVM + SME EVM,15.75,11.65,What's New,Breakfast Menu
4,2024/12/14,Sat,Singapore,2xVM: Belgian Waffles Platter EVM + CME EVM,15.65,11.58,What's New,Breakfast Menu
5,2024/12/14,Sat,Singapore,Potato Pops,5.70,4.22,What's New,Breakfast Menu
6,2024/12/14,Sat,Singapore,Maltesers® McFlurry®,4.10,3.03,What's New,Breakfast Menu
7,2024/12/14,Sat,Singapore,Chicken Bacon and Egg McMuffin®,5.20,3.85,Burgers & Muffins,Breakfast Menu
8,2024/12/14,Sat,Singapore,Chicken Bacon and Egg McMuffin® Meal,6.30,4.66,Burgers & Muffins,Breakfast Menu
9,2024/12/14,Sat,Singapore,Double Sausage Egg McMuffin®,6.70,4.96,Burgers & Muffins,Breakfast Menu
10,2024/12/14,Sat,Singapore,Double Sausage Egg McMuffin® Meal,8.50,6.29,Burgers & Muffins,Breakfast Menu
11,2024/12/14,Sat,Singapore,Sausage Egg McMuffin®,5.30,3.92,Burgers & Muffins,Breakfast Menu
12,2024/12/14,Sat,Singapore,Sausage Egg McMuffin® Meal,7.10,5.25,Burgers & Muffins,Breakfast Menu
13,2024/12/14,Sat,Singapore,Double Sausage McMuffin®,5.70,4.22,Burgers & Muffins,Breakfast Menu
14,2024/12/14,Sat,Singapore,Double Sausage McMuffin® Meal,7.40,5.48,Burgers & Muffins,Breakfast Menu
15,2024/12/14,Sat,Singapore,Scrambled Egg Burger with Sausage,5.50,4.07,Burgers & Muffins,Breakfast Menu
16,2024/12/14,Sat,Singapore,Scrambled Egg Burger with Sausage Meal,7.20,5.33,Burgers & Muffins,Breakfast Menu
17,2024/12/14,Sat,Singapore,Scrambled Egg Burger with Chicken,5.50,4.07,Burgers & Muffins,Breakfast Menu
18,2024/12/14,Sat,Singapore,Scrambled Egg Burger with Chicken Meal,7.20,5.33,Burgers & Muffins,Breakfast Menu
19,2024/12/14,Sat,Singapore,Double Filet-O-Fish®,8.15,6.03,Burgers & Muffins,Breakfast Menu
20,2024/12/14,Sat,Singapore,Double Filet-O-Fish® Meal,10.00,7.40,Burgers & Muffins,Breakfast Menu
21,2024/12/14,Sat,Singapore,Filet-O-Fish®,6.25,4.62,Burgers & Muffins,Breakfast Menu
22,2024/12/14,Sat,Singapore,Filet-O-Fish® Meal,7.60,5.62,Burgers & Muffins,Breakfast Menu
23,2024/12/14,Sat,Singapore,Chicken Muffin with Egg,5.20,3.85,Burgers & Muffins,Breakfast Menu
24,2024/12/14,Sat,Singapore,Chicken Muffin with Egg Meal,7.00,5.18,Burgers & Muffins,Breakfast Menu
25,2024/12/14,Sat,Singapore,Sausage McMuffin®,4.30,3.18,Burgers & Muffins,Breakfast Menu
26,2024/12/14,Sat,Singapore,Sausage McMuffin® Meal,6.00,4.44,Burgers & Muffins,Breakfast Menu
27,2024/12/14,Sat,Singapore,Chicken Muffin,4.30,3.18,Burgers & Muffins,Breakfast Menu
