,Date,Day,Territory,Menu Item,Price (SGD),Price (USD),Category,Menu
1,2023/08/05,Sat,Singapore,Nasi Lemak Burger Feast,12.90,9.63,Promotion Meals,Regular Menu
2,2023/08/05,Sat,Singapore,2x Value Meal: Nasi Lemak Burger Meal,20.60,15.37,Promotion Meals,Regular Menu
3,2023/08/05,Sat,Singapore,Nasi Lemak Burger Meal,10.30,7.69,Promotion Meals,Regular Menu
4,2023/08/05,Sat,Singapore,Bandung Frappé (S),5.55,4.14,Promotion Meals,Regular Menu
5,2023/08/05,Sat,Singapore,Potato Wedges,5.30,3.96,Promotion Meals,Regular Menu
6,2023/08/05,Sat,Singapore,Cocoa-nut Pie,2.10,1.57,Promotion Meals,Regular Menu
7,2023/08/05,Sat,Singapore,Spicy Chicken McNuggets® (9pc) Extra Value Meal,9.80,7.31,Promotion Meals,Regular Menu
8,2023/08/05,Sat,Singapore,2pc McCrispy® Honey Soy Extra Value Meal,9.70,7.24,Promotion Meals,Regular Menu
9,2023/08/05,Sat,Singapore,6pc McCrispy® Spicy Meal Value Bundle,22.75,16.98,Chicken McCrispy®,Regular Menu
10,2023/08/05,Sat,Singapore,Chicken McCrispy® (2pc) Spicy Extra Value Meal,9.70,7.24,Chicken McCrispy®,Regular Menu
11,2023/08/05,Sat,Singapore,6pc McCrispy® Honey Soy Value Bundle,22.75,16.98,Chicken McCrispy®,Regular Menu
12,2023/08/05,Sat,Singapore,2pc McCrispy® Honey Soy Extra Value Meal,9.70,7.24,Chicken McCrispy®,Regular Menu
13,2023/08/05,Sat,Singapore,6pc McCrispy® Spicy Meal Value Bundle,22.75,16.98,Sharing,Regular Menu
14,2023/08/05,Sat,Singapore,Chicken McCrispy® Spicy (6pc),19.30,14.40,Sharing,Regular Menu
15,2023/08/05,Sat,Singapore,6pc McCrispy® Honey Soy Value Bundle,22.75,16.98,Sharing,Regular Menu
16,2023/08/05,Sat,Singapore,Chicken McCrispy® Honey Soy (6pc),19.30,14.40,Sharing,Regular Menu
17,2023/08/05,Sat,Singapore,Happy Sharing Box A Chicken McNuggets® (12pc) + McWings® (8pc),16.35,12.20,Sharing,Regular Menu
18,2023/08/05,Sat,Singapore,Happy Sharing Box B Chicken McNuggets® (6pc) + McWings® (4pc),10.20,7.61,Sharing,Regular Menu
19,2023/08/05,Sat,Singapore,Box C: Spicy Chicken McNuggets® (12pc) + McWings® (8pc),16.65,12.43,Sharing,Regular Menu
20,2023/08/05,Sat,Singapore,Chicken McNuggets® (20pc),14.50,10.82,Sharing,Regular Menu
21,2023/08/05,Sat,Singapore,Spicy Chicken McNuggets® (20pc),14.80,11.05,Sharing,Regular Menu
22,2023/08/05,Sat,Singapore,McWings® 4pc,6.35,4.74,Sharing,Regular Menu
23,2023/08/05,Sat,Singapore,Nasi Lemak Burger Meal,10.30,7.69,Ala Carte & Value Meals,Regular Menu
24,2023/08/05,Sat,Singapore,Bandung Frappé (S),5.55,4.14,Ala Carte & Value Meals,Regular Menu
25,2023/08/05,Sat,Singapore,Potato Wedges,5.30,3.96,Ala Carte & Value Meals,Regular Menu
26,2023/08/05,Sat,Singapore,Cocoa-nut Pie,2.10,1.57,Ala Carte & Value Meals,Regular Menu
27,2023/08/05,Sat,Singapore,Spicy Chicken McNuggets® (9pc) Extra Value Meal,9.80,7.31,Ala Carte & Value Meals,Regular Menu
28,2023/08/05,Sat,Singapore,2pc McCrispy® Honey Soy Extra Value Meal,9.70,7.24,Ala Carte & Value Meals,Regular Menu
29,2023/08/05,Sat,Singapore,Double Quarter Pounder® with Cheese Extra Value Meal,11.20,8.36,Ala Carte & Value Meals,Regular Menu
30,2023/08/05,Sat,Singapore,Quarter Pounder® with Cheese Extra Value Meal,9.85,7.35,Ala Carte & Value Meals,Regular Menu
31,2023/08/05,Sat,Singapore,Buttermilk Crispy Chicken Extra Value Meal,10.80,8.06,Ala Carte & Value Meals,Regular Menu
32,2023/08/05,Sat,Singapore,McSpicy® Extra Value Meal,8.95,6.68,Ala Carte & Value Meals,Regular Menu
33,2023/08/05,Sat,Singapore,Dbl McSpicy® Extra Value Meal,10.55,7.87,Ala Carte & Value Meals,Regular Menu
34,2023/08/05,Sat,Singapore,Dbl Filet-O-Fish® Extra Value Meal,9.70,7.24,Ala Carte & Value Meals,Regular Menu
35,2023/08/05,Sat,Singapore,Filet-O-Fish® Extra Value Meal,7.10,5.30,Ala Carte & Value Meals,Regular Menu
36,2023/08/05,Sat,Singapore,McChicken® Extra Value Meal,6.90,5.15,Ala Carte & Value Meals,Regular Menu
37,2023/08/05,Sat,Singapore,Spicy Chicken McNuggets® (6pc) Extra Value Meal ,8.60,6.42,Ala Carte & Value Meals,Regular Menu
38,2023/08/05,Sat,Singapore,Spicy Chicken McNuggets® (20pc),14.80,11.05,Ala Carte & Value Meals,Regular Menu
39,2023/08/05,Sat,Singapore,Chicken McNuggets® (6pc) Extra Value Meal ,8.30,6.19,Ala Carte & Value Meals,Regular Menu
40,2023/08/05,Sat,Singapore,Chicken McNuggets® (9pc) Extra Value Meal,9.50,7.09,Ala Carte & Value Meals,Regular Menu
41,2023/08/05,Sat,Singapore,Chicken McNuggets® (20pc),14.50,10.82,Ala Carte & Value Meals,Regular Menu
42,2023/08/05,Sat,Singapore,Big Mac® Extra Value Meal,9.65,7.20,Ala Carte & Value Meals,Regular Menu
43,2023/08/05,Sat,Singapore,Double Cheeseburger Extra Value Meal,7.70,5.75,Ala Carte & Value Meals,Regular Menu
44,2023/08/05,Sat,Singapore,Happy Sharing Box A Chicken McNuggets® (12pc) + McWings® (8pc),16.35,12.20,Ala Carte & Value Meals,Regular Menu
45,2023/08/05,Sat,Singapore,Happy Sharing Box B Chicken McNuggets® (6pc) + McWings® (4pc),10.20,7.61,Ala Carte & Value Meals,Regular Menu
46,2023/08/05,Sat,Singapore,McWings® 4pc Extra Value Meal,8.10,6.05,Ala Carte & Value Meals,Regular Menu
47,2023/08/05,Sat,Singapore,Grilled Chicken McWrap Extra Value Meal,8.95,6.68,Ala Carte & Value Meals,Regular Menu
48,2023/08/05,Sat,Singapore,Cheeseburger,3.90,2.91,Ala Carte & Value Meals,Regular Menu
49,2023/08/05,Sat,Singapore,Hamburger,3.00,2.24,Ala Carte & Value Meals,Regular Menu
50,2023/08/05,Sat,Singapore,Potato Wedges,5.30,3.96,Sides,Regular Menu
51,2023/08/05,Sat,Singapore,Cocoa-nut Pie,2.10,1.57,Sides,Regular Menu
52,2023/08/05,Sat,Singapore,Spicy Chicken McNuggets® (6pc) Extra Value Meal ,8.60,6.42,Sides,Regular Menu
53,2023/08/05,Sat,Singapore,Spicy Chicken McNuggets® (9pc) Extra Value Meal,9.80,7.31,Sides,Regular Menu
