,Date,Day,Territory,Menu Item,Price (SGD),Price (USD),Category,Menu
1,2024/05/15,Wed,Singapore,Potato Wedges,5.50,4.07,Promotion Meals,Regular Menu
2,2024/05/15,Wed,Singapore,Taro Custard Pie,2.00,1.48,Promotion Meals,Regular Menu
3,2024/05/15,Wed,Singapore,Double Chocolate Frappé,4.75,3.51,Promotion Meals,Regular Menu
4,2024/05/15,Wed,Singapore,Purple Sweet Potato Oreo® McFlurry®,3.90,2.88,Promotion Meals,Regular Menu
5,2024/05/15,Wed,Singapore,Purple Sweet Potato Hot Fudge Sundae,2.95,2.18,Promotion Meals,Regular Menu
6,2024/05/15,Wed,Singapore,Purple Sweet Potato Strawberry Sundae,2.95,2.18,Promotion Meals,Regular Menu
7,2024/05/15,Wed,Singapore,Chicken McCrispy® Honey Soy (2pc) Meal,10.05,7.43,Promotion Meals,Regular Menu
8,2024/05/15,Wed,Singapore,Chicken McCrispy® Honey Soy (6pc) Value Bundle,22.95,16.96,Promotion Meals,Regular Menu
9,2024/05/15,Wed,Singapore,Chicken McCrispy® Honey Soy (2pc) Meal,10.05,7.43,Chicken McCrispy®,Regular Menu
10,2024/05/15,Wed,Singapore,Chicken McCrispy® Honey Soy (6pc),19.50,14.41,Chicken McCrispy®,Regular Menu
11,2024/05/15,Wed,Singapore,Chicken McCrispy® Honey Soy (6pc) Value Bundle,22.95,16.96,Chicken McCrispy®,Regular Menu
12,2024/05/15,Wed,Singapore,Chicken McCrispy® Spicy (2pc) Meal,10.05,7.43,Chicken McCrispy®,Regular Menu
13,2024/05/15,Wed,Singapore,Chicken McCrispy® Spicy (6pc),19.50,14.41,Chicken McCrispy®,Regular Menu
14,2024/05/15,Wed,Singapore,Chicken McCrispy® Spicy (6pc) Value Bundle,22.95,16.96,Chicken McCrispy®,Regular Menu
15,2024/05/15,Wed,Singapore,Snack Bundle,25.00,18.48,Sharing,Regular Menu
16,2024/05/15,Wed,Singapore,Chicken McCrispy® Honey Soy Combo,49.00,36.22,Sharing,Regular Menu
17,2024/05/15,Wed,Singapore,Chicken McCrispy® Spicy Combo,49.00,36.22,Sharing,Regular Menu
18,2024/05/15,Wed,Singapore,Chicken McCrispy® Honey Soy (6pc),19.50,14.41,Sharing,Regular Menu
19,2024/05/15,Wed,Singapore,Chicken McCrispy® Spicy (6pc),19.50,14.41,Sharing,Regular Menu
20,2024/05/15,Wed,Singapore,Chicken McCrispy® Honey Soy (6pc) Value Bundle,22.95,16.96,Sharing,Regular Menu
21,2024/05/15,Wed,Singapore,Chicken McCrispy® Spicy (6pc) Value Bundle,22.95,16.96,Sharing,Regular Menu
22,2024/05/15,Wed,Singapore,Happy Sharing Box A Chicken McNuggets® (12pc) + McWings® (8pc),16.70,12.34,Sharing,Regular Menu
23,2024/05/15,Wed,Singapore,Happy Sharing Box B Chicken McNuggets® (6pc) + McWings® (4pc),10.30,7.61,Sharing,Regular Menu
24,2024/05/15,Wed,Singapore,Chicken McNuggets® (20pc),14.85,10.98,Sharing,Regular Menu
25,2024/05/15,Wed,Singapore,McWings® 4pc,6.40,4.73,Sharing,Regular Menu
26,2024/05/15,Wed,Singapore,Double Cheeseburger Extra Value Meal,7.95,5.88,Ala Carte & Value Meals,Regular Menu
27,2024/05/15,Wed,Singapore,McSpicy® with Cheese Meal,10.75,7.95,Ala Carte & Value Meals,Regular Menu
28,2024/05/15,Wed,Singapore,Double McSpicy® with Cheese Meal,11.95,8.83,Ala Carte & Value Meals,Regular Menu
29,2024/05/15,Wed,Singapore,McChicken® with Cheese Meal,8.45,6.25,Ala Carte & Value Meals,Regular Menu
30,2024/05/15,Wed,Singapore,Double Quarter Pounder® with Cheese Extra Value Meal,11.60,8.57,Ala Carte & Value Meals,Regular Menu
31,2024/05/15,Wed,Singapore,Quarter Pounder® with Cheese Extra Value Meal,9.95,7.35,Ala Carte & Value Meals,Regular Menu
32,2024/05/15,Wed,Singapore,Buttermilk Crispy Chicken Extra Value Meal,11.05,8.17,Ala Carte & Value Meals,Regular Menu
33,2024/05/15,Wed,Singapore,McSpicy® Extra Value Meal,9.45,6.98,Ala Carte & Value Meals,Regular Menu
34,2024/05/15,Wed,Singapore,Dbl McSpicy® Extra Value Meal,10.65,7.87,Ala Carte & Value Meals,Regular Menu
35,2024/05/15,Wed,Singapore,Dbl Filet-O-Fish® Extra Value Meal,10.00,7.39,Ala Carte & Value Meals,Regular Menu
36,2024/05/15,Wed,Singapore,Chicken McNuggets® (6pc) Extra Value Meal ,8.40,6.21,Ala Carte & Value Meals,Regular Menu
37,2024/05/15,Wed,Singapore,Chicken McNuggets® (9pc) Extra Value Meal,9.70,7.17,Ala Carte & Value Meals,Regular Menu
38,2024/05/15,Wed,Singapore,Chicken McNuggets® (20pc),14.85,10.98,Ala Carte & Value Meals,Regular Menu
39,2024/05/15,Wed,Singapore,Big Mac® Extra Value Meal,9.95,7.35,Ala Carte & Value Meals,Regular Menu
40,2024/05/15,Wed,Singapore,Happy Sharing Box A Chicken McNuggets® (12pc) + McWings® (8pc),16.70,12.34,Ala Carte & Value Meals,Regular Menu
41,2024/05/15,Wed,Singapore,Happy Sharing Box B Chicken McNuggets® (6pc) + McWings® (4pc),10.30,7.61,Ala Carte & Value Meals,Regular Menu
42,2024/05/15,Wed,Singapore,McWings® 4pc Extra Value Meal,8.15,6.02,Ala Carte & Value Meals,Regular Menu
43,2024/05/15,Wed,Singapore,Grilled Chicken McWrap Extra Value Meal,9.05,6.69,Ala Carte & Value Meals,Regular Menu
44,2024/05/15,Wed,Singapore,Cheeseburger,4.30,3.18,Ala Carte & Value Meals,Regular Menu
45,2024/05/15,Wed,Singapore,Hamburger,3.30,2.44,Ala Carte & Value Meals,Regular Menu
46,2024/05/15,Wed,Singapore,Potato Wedges,5.50,4.07,Sides,Regular Menu
47,2024/05/15,Wed,Singapore,Taro Custard Pie,2.00,1.48,Sides,Regular Menu
48,2024/05/15,Wed,Singapore,Apple Pie,1.90,1.40,Sides,Regular Menu
49,2024/05/15,Wed,Singapore,Chicken McNuggets® (6pc) Extra Value Meal ,8.40,6.21,Sides,Regular Menu
50,2024/05/15,Wed,Singapore,Chicken McNuggets® (9pc) Extra Value Meal,9.70,7.17,Sides,Regular Menu
51,2024/05/15,Wed,Singapore,Chicken McNuggets® (20pc),14.85,10.98,Sides,Regular Menu
52,2024/05/15,Wed,Singapore,McWings® 4pc Extra Value Meal,8.15,6.02,Sides,Regular Menu
53,2024/05/15,Wed,Singapore,McWings® 2pc,3.40,2.51,Sides,Regular Menu
54,2024/05/15,Wed,Singapore,Happy Sharing Box A Chicken McNuggets® (12pc) + McWings® (8pc),16.70,12.34,Sides,Regular Menu
55,2024/05/15,Wed,Singapore,Happy Sharing Box B Chicken McNuggets® (6pc) + McWings® (4pc),10.30,7.61,Sides,Regular Menu
56,2024/05/15,Wed,Singapore,French Fries (L),4.90,3.62,Sides,Regular Menu
57,2024/05/15,Wed,Singapore,French Fries (M),4.70,3.47,Sides,Regular Menu
58,2024/05/15,Wed,Singapore,French Fries,2.85,2.11,Sides,Regular Menu
59,2024/05/15,Wed,Singapore,Apple Slices,2.20,1.63,Sides,Regular Menu
60,2024/05/15,Wed,Singapore,Corn Cup (5oz),2.20,1.63,Sides,Regular Menu
61,2024/05/15,Wed,Singapore,Taro Custard Pie,2.00,1.48,Desserts,Regular Menu
62,2024/05/15,Wed,Singapore,Purple Sweet Potato Oreo® McFlurry®,3.90,2.88,Desserts,Regular Menu
63,2024/05/15,Wed,Singapore,Purple Sweet Potato Hot Fudge Sundae,2.95,2.18,Desserts,Regular Menu
64,2024/05/15,Wed,Singapore,Purple Sweet Potato Strawberry Sundae,2.95,2.18,Desserts,Regular Menu
65,2024/05/15,Wed,Singapore,Oreo® McFlurry®,3.60,2.66,Desserts,Regular Menu
66,2024/05/15,Wed,Singapore,Mudpie McFlurry®,4.00,2.96,Desserts,Regular Menu
67,2024/05/15,Wed,Singapore,Strawberry Shortcake McFlurry®,4.00,2.96,Desserts,Regular Menu
68,2024/05/15,Wed,Singapore,Hot Fudge Sundae,2.80,2.07,Desserts,Regular Menu
69,2024/05/15,Wed,Singapore,Strawberry Sundae,2.80,2.07,Desserts,Regular Menu
70,2024/05/15,Wed,Singapore,Apple Pie,1.90,1.40,Desserts,Regular Menu
71,2024/05/15,Wed,Singapore,Coke® Zero Sugar,3.20,2.37,Beverages,Regular Menu
72,2024/05/15,Wed,Singapore,Coke® Original Taste Less Sugar,3.20,2.37,Beverages,Regular Menu
73,2024/05/15,Wed,Singapore,Iced Lemon Tea,4.05,2.99,Beverages,Regular Menu
74,2024/05/15,Wed,Singapore,Double Chocolate Frappé,4.75,3.51,Beverages,Regular Menu
75,2024/05/15,Wed,Singapore,Caramel Frappé with OREO®,5.25,3.88,Beverages,Regular Menu
76,2024/05/15,Wed,Singapore,Mocha Frappé with OREO®,5.25,3.88,Beverages,Regular Menu
77,2024/05/15,Wed,Singapore,Caramel Frappé,4.75,3.51,Beverages,Regular Menu
78,2024/05/15,Wed,Singapore,Mocha Frappé,4.75,3.51,Beverages,Regular Menu
