,Date,Day,Territory,Menu Item,Price (FJD),Price (USD),Category,Menu
1,2023/09/20,Wed,Fiji,10pk McNuggets (S/R),16.35,7.22,Chicken Mcvalue Meals,Regular
2,2023/09/20,Wed,Fiji,Big Mac (S/R) -Beef,14.55,6.43,Classic McValue Meals,Regular
3,2023/09/20,Wed,Fiji,Cheeseburger (S/R) - Beef,10.95,4.84,Classic McValue Meals,Regular
4,2023/09/20,Wed,Fiji,Quarter Pounder (S/R) - Beef,14.95,6.61,Classic McValue Meals,Regular
5,2023/09/20,Wed,Fiji,Filet-O-Fish (S/R),12.15,5.37,Classic McValue Meals,Regular
6,2023/09/20,Wed,Fiji,McFeast (S/R) - Beef,16.55,7.31,Classic McValue Meals,Regular
7,2023/09/20,Wed,Fiji,Double Cheeseburger (S/R) - Beef,13.95,6.16,Classic McValue Meals,Regular
8,2023/09/20,Wed,Fiji,Salad Burger (S/R),10.95,4.84,Classic McValue Meals,Regular
9,2023/09/20,Wed,Fiji,McChicken (S/R),14.35,6.34,Chicken Mcvalue Meals,Regular
10,2023/09/20,Wed,Fiji,2pc Hot And Spicy (S/R),14.15,6.25,Chicken Mcvalue Meals,Regular
11,2023/09/20,Wed,Fiji,3pc Hot And Spicy (S/R),19.10,8.44,Chicken Mcvalue Meals,Regular
12,2023/09/20,Wed,Fiji,5pc Hot And Spicy (S/R),27.70,12.24,Chicken Mcvalue Meals,Regular
13,2023/09/20,Wed,Fiji,6pk McNuggets (S/R),13.50,5.96,Chicken Mcvalue Meals,Regular
14,2023/09/20,Wed,Fiji,Cheeseburger Happy Meal (Beef),12.65,5.59,Happy Meals,Regular
15,2023/09/20,Wed,Fiji,Junior Burger Happy Meal (Beef),12.65,5.59,Happy Meals,Regular
16,2023/09/20,Wed,Fiji,4pk Chicken McNuggets Happy Meal,12.65,5.59,Happy Meals,Regular
17,2023/09/20,Wed,Fiji,Big Mac (Beef),10.15,4.48,Classic Favourites,Regular
18,2023/09/20,Wed,Fiji,Cheeseburger (Beef),6.55,2.89,Classic Favourites,Regular
19,2023/09/20,Wed,Fiji,Quarter Pounder (Beef),10.55,4.66,Classic Favourites,Regular
20,2023/09/20,Wed,Fiji,Filet-O-Fish,7.65,3.38,Classic Favourites,Regular
21,2023/09/20,Wed,Fiji,McFeast (Beef),12.95,5.72,Classic Favourites,Regular
22,2023/09/20,Wed,Fiji,Double Cheeseburger (Beef),10.25,4.53,Classic Favourites,Regular
23,2023/09/20,Wed,Fiji,Salad Burger,7.45,3.29,Classic Favourites,Regular
24,2023/09/20,Wed,Fiji,Vege McWrap,9.85,4.35,Classic Favourites,Regular
25,2023/09/20,Wed,Fiji,3pc Hot And Spicy Chicken,15.15,6.69,Chicken Favourites,Regular
26,2023/09/20,Wed,Fiji,5pc Hot And Spicy Chicken,24.25,10.71,Chicken Favourites,Regular
27,2023/09/20,Wed,Fiji,6pk McNuggets,7.95,3.51,Chicken Favourites,Regular
28,2023/09/20,Wed,Fiji,10pk McNuggets,11.95,5.28,Chicken Favourites,Regular
29,2023/09/20,Wed,Fiji,McChicken,9.75,4.31,Chicken Favourites,Regular
30,2023/09/20,Wed,Fiji,Sweet And Sour Sauce,0.50,0.22,Sides And Condiments,Regular
31,2023/09/20,Wed,Fiji,Ketchup Packet,0.25,0.11,Sides And Condiments,Regular
32,2023/09/20,Wed,Fiji,Mayonnaise Packet,0.50,0.22,Sides And Condiments,Regular
33,2023/09/20,Wed,Fiji,Fries (S/R),4.15,1.83,Sides And Condiments,Regular
34,2023/09/20,Wed,Fiji,McCafe Iced Lemon Tea,7.75,3.42,McCafe Drinks,Regular
35,2023/09/20,Wed,Fiji,McCafe Iced Mango Tea,7.75,3.42,McCafe Drinks,Regular
36,2023/09/20,Wed,Fiji,McCafe Iced Peach Tea,7.75,3.42,McCafe Drinks,Regular
