,Date,Day,Territory,Menu Item,Price (INR),Price (USD),Category,Menu
0,2022/04/29,Fri,India,Triple Cheese American Veg Burger,195.00,2.54,New Launches,Regular
1,2022/04/29,Fri,India,McSpicy Premium Veg Burger,210.00,2.74,New Launches,Regular
2,2022/04/29,Fri,India,Triple Cheese American Chicken Burger,220.00,2.87,New Launches,Regular
3,2022/04/29,Fri,India,McSpicy Premium Chicken Burger,249.00,3.25,New Launches,Regular
4,2022/04/29,Fri,India,McAloo Tikki Burger,49.00,0.64,Trending,Regular
5,2022/04/29,Fri,India,McSpicy Chicken Burger,165.00,2.15,Trending,Regular
6,2022/04/29,Fri,India,McChicken Burger,120.00,1.57,Trending,Regular
7,2022/04/29,Fri,India,McVeggie Burger,115.00,1.50,Trending,Regular
8,2022/04/29,Fri,India,Big Spicy Chicken Wrap,205.00,2.67,Trending,Regular
9,2022/04/29,Fri,India,Filet-O-Fish Burger,146.00,1.90,Trending,Regular
10,2022/04/29,Fri,India,McVeggie Burger + McAloo Tikki Burger,127.00,1.66,Deals,Regular
11,2022/04/29,Fri,India,Pizza Mc Puff + McSpicy Chicken Burger,162.00,2.11,Deals,Regular
12,2022/04/29,Fri,India,McAloo Tikki Burger + Veg Pizza McPuff + Coke,138.00,1.80,Deals,Regular
13,2022/04/29,Fri,India,2 Iced Coffee,189.00,2.46,Deals,Regular
14,2022/04/29,Fri,India,2 Cappuccino,189.00,2.46,Deals,Regular
15,2022/04/29,Fri,India,Black Forest Mcflurry (M) BOGO,110.00,1.43,Deals,Regular
16,2022/04/29,Fri,India,Cappuccino (S) + Iced Coffee (S),195.00,2.54,Deals,Regular
17,2022/04/29,Fri,India,McSaver McAloo Tikki Burger Meal,185.00,2.41,Deals,Regular
18,2022/04/29,Fri,India,McChicken Burger + McSpicy Chicken Burger,269.00,3.51,Deals,Regular
19,2022/04/29,Fri,India,2 McAloo Tikki Burger + 2 Fries (L),295.00,3.85,Deals,Regular
20,2022/04/29,Fri,India,McChicken Burger + McVeggie Burger + Fries (L) + 2 Veg Pizza McPuff + Coke,476.00,6.21,Deals,Regular
21,2022/04/29,Fri,India,2 McSpicy Chicken Burger + McNuggets 20 Pcs + Fries (L) + Coke,829.00,10.81,Deals,Regular
22,2022/04/29,Fri,India,4 McAloo Tikki Burger + 2 Fries (M) + 2 Coke,429.00,5.59,Deals,Regular
23,2022/04/29,Fri,India,2 McVeggie Burger + 2 American Cheese Supreme Veg Burger + 2 Fries (L),650.00,8.48,Deals,Regular
24,2022/04/29,Fri,India,Veg Maharaja Mac + Chicken Maharaja Mac + Fries (L) + 2 Veg Pizza McPuff + Coke,649.00,8.46,Deals,Regular
25,2022/04/29,Fri,India,2 McVeggie Burger + 2 McAloo Tikki Burger + 2 Fries (M) + 2 Strawberry Shakes,1107.00,14.44,Deals,Regular
26,2022/04/29,Fri,India,Hashbrown,40.00,0.52,McBreakfast,Breakfast
27,2022/04/29,Fri,India,Double Cheese McMuffin,71.00,0.93,McBreakfast,Breakfast
28,2022/04/29,Fri,India,Egg & Cheese McMuffin,75.00,0.98,McBreakfast,Breakfast
29,2022/04/29,Fri,India,Spicy Egg McMuffin,85.00,1.11,McBreakfast,Breakfast
30,2022/04/29,Fri,India,Veg McMuffin,95.00,1.24,McBreakfast,Breakfast
31,2022/04/29,Fri,India,Sausage McMuffin,102.00,1.33,McBreakfast,Breakfast
32,2022/04/29,Fri,India,Hot Cakes With Maple Syrup,110.00,1.43,McBreakfast,Breakfast
33,2022/04/29,Fri,India,Sausage & Egg McMuffin,116.00,1.51,McBreakfast,Breakfast
34,2022/04/29,Fri,India,Veg McMuffin 2 Pc Meal,356.00,4.64,McBreakfast,Breakfast
35,2022/04/29,Fri,India,Sausage McMuffin 2 pc Meal,366.00,4.77,McBreakfast,Breakfast
36,2022/04/29,Fri,India,Hot Cake 2 Pc Meal,371.00,4.84,McBreakfast,Breakfast
37,2022/04/29,Fri,India,Double Cheese McMuffin 3 Pc Meal with Cappuccino (S),336.00,4.38,McBreakfast,Breakfast
38,2022/04/29,Fri,India,Egg & Cheese McMuffin 3 Pc Meal,356.00,4.64,McBreakfast,Breakfast
39,2022/04/29,Fri,India,Sausage & Egg McMuffin 2 pc Meal,377.00,4.92,McBreakfast,Breakfast
40,2022/04/29,Fri,India,Spicy Egg McMuffin 3 Pc Meal with Cappuccino (S),346.00,4.51,McBreakfast,Breakfast
41,2022/04/29,Fri,India,Veg McMuffin 3 Pc Meal,376.00,4.90,McBreakfast,Breakfast
42,2022/04/29,Fri,India,Sausage McMuffin 3 Pc Meal,383.00,5.00,McBreakfast,Breakfast
43,2022/04/29,Fri,India,Hot Cake 3 Pc Meal,386.00,5.03,McBreakfast,Breakfast
44,2022/04/29,Fri,India,Sausage with Egg McMuffin 3 Pc Meal,396.00,5.16,McBreakfast,Breakfast
45,2022/04/29,Fri,India,McAloo Tikki Burger,49.00,0.64,Burgers & Wraps,Regular
46,2022/04/29,Fri,India,Masala McEgg Burger,50.00,0.65,Burgers & Wraps,Regular
47,2022/04/29,Fri,India,Mexican McAloo Tikki Burger,55.00,0.72,Burgers & Wraps,Regular
48,2022/04/29,Fri,India,Chicken Kebab Burger,81.00,1.06,Burgers & Wraps,Regular
49,2022/04/29,Fri,India,McVeggie Burger,115.00,1.50,Burgers & Wraps,Regular
50,2022/04/29,Fri,India,McChicken Burger,120.00,1.57,Burgers & Wraps,Regular
51,2022/04/29,Fri,India,American Cheese Supreme - Veg Burger,125.00,1.63,Burgers & Wraps,Regular
52,2022/04/29,Fri,India,American Cheese Supreme - Chicken Burger,139.00,1.81,Burgers & Wraps,Regular
53,2022/04/29,Fri,India,McSpicy Paneer Burger,165.00,2.15,Burgers & Wraps,Regular
54,2022/04/29,Fri,India,McSpicy Chicken Burger,165.00,2.15,Burgers & Wraps,Regular
55,2022/04/29,Fri,India,Big Spicy Paneer Wrap,195.00,2.54,Burgers & Wraps,Regular
56,2022/04/29,Fri,India,Big Spicy Chicken Wrap,205.00,2.67,Burgers & Wraps,Regular
