,Date,Day,Territory,Menu Item,Price (INR),Price (USD),Category
1,2024/09/12,Thu,India,Chicken Surprise Burger + Fries (M),161.00,1.92,Newly Launched
2,2024/09/12,Thu,India,Chicken Surprise Burger + McChicken Burger,199.00,2.37,Newly Launched
3,2024/09/12,Thu,India,Chicken Surprise Burger + 4 Pc Chicken McNuggets + Coke,237.00,2.82,Newly Launched
4,2024/09/12,Thu,India,Chicken Surprise Burger Combo,237.00,2.82,Newly Launched
5,2024/09/12,Thu,India,Iced Coffee with Cinammon Spice,219.00,2.61,Newly Launched
6,2024/09/12,Thu,India,Chicken Surprise Burger,75.00,0.89,Newly Launched
7,2024/09/12,Thu,India,Classic Coffee Regular with Cinammon Spice,235.00,2.80,Newly Launched
8,2024/09/12,Thu,India,Cappuccino Small with Cinammon Spice,184.00,2.19,Newly Launched
9,2024/09/12,Thu,India,Iced Coffee with French Vanilla,219.00,2.61,Newly Launched
10,2024/09/12,Thu,India,Classic Coffee Regular with French Vanilla,235.00,2.80,Newly Launched
11,2024/09/12,Thu,India,Cappuccino Small with French Vanilla,184.00,2.19,Newly Launched
12,2024/09/12,Thu,India,Iced Coffee with Hazelnut,219.00,2.61,Newly Launched
13,2024/09/12,Thu,India,Cappuccino Small with Hazelnut,184.00,2.19,Newly Launched
14,2024/09/12,Thu,India,Flavours of India McAloo Tikki Burger Combo,211.00,2.51,Newly Launched
15,2024/09/12,Thu,India,Classic Coffee Regular with Hazelnut,235.00,2.80,Newly Launched
16,2024/09/12,Thu,India,Flavours of India McChicken Burger Combo,310.00,3.69,Newly Launched
17,2024/09/12,Thu,India,Flavours of India McVeggie Burger Combo,285.00,3.39,Newly Launched
18,2024/09/12,Thu,India,Flavours of India McChicken Burger,147.00,1.75,Newly Launched
19,2024/09/12,Thu,India,Flavours of India McVeggie Burger,154.00,1.83,Newly Launched
20,2024/09/12,Thu,India,Flavours of India McAloo Tikki Burger,74.00,0.88,Newly Launched
