,Date,Day,Territory,Menu Item,Price (INR),Price (USD),Category,Menu
0,2022/05/08,Sun,India,Triple Cheese American Veg Burger,195.00,2.53,New Launches,Regular
1,2022/05/08,Sun,India,McSpicy Premium Veg Burger,210.00,2.73,New Launches,Regular
2,2022/05/08,Sun,India,Triple Cheese American Chicken Burger,220.00,2.86,New Launches,Regular
3,2022/05/08,Sun,India,McSpicy Premium Chicken Burger,249.00,3.24,New Launches,Regular
4,2022/05/08,Sun,India,McAloo Tikki Burger,49.00,0.64,Trending,Regular
5,2022/05/08,Sun,India,McSpicy Chicken Burger,165.00,2.14,Trending,Regular
6,2022/05/08,Sun,India,McChicken Burger,120.00,1.56,Trending,Regular
7,2022/05/08,Sun,India,McVeggie Burger,115.00,1.49,Trending,Regular
8,2022/05/08,Sun,India,Big Spicy Chicken Wrap,205.00,2.66,Trending,Regular
9,2022/05/08,Sun,India,Filet-O-Fish Burger,146.00,1.90,Trending,Regular
10,2022/05/08,Sun,India,Sausage & Egg McMuffin,116.00,1.51,Trending,Regular
11,2022/05/08,Sun,India,Veg McMuffin,95.00,1.23,Trending,Regular
12,2022/05/08,Sun,India,Sausage McMuffin,102.00,1.33,Trending,Regular
13,2022/05/08,Sun,India,Egg & Cheese McMuffin,75.00,0.97,Trending,Regular
14,2022/05/08,Sun,India,McVeggie Burger + McAloo Tikki Burger,127.00,1.65,Deals,Regular
15,2022/05/08,Sun,India,Pizza Mc Puff + McSpicy Chicken Burger,162.00,2.10,Deals,Regular
16,2022/05/08,Sun,India,McAloo Tikki Burger + Veg Pizza McPuff + Coke,138.00,1.79,Deals,Regular
17,2022/05/08,Sun,India,2 Iced Coffee,189.00,2.46,Deals,Regular
18,2022/05/08,Sun,India,2 Cappuccino,189.00,2.46,Deals,Regular
19,2022/05/08,Sun,India,Black Forest Mcflurry (M) BOGO,110.00,1.43,Deals,Regular
20,2022/05/08,Sun,India,Cappuccino (S) + Iced Coffee (S),195.00,2.53,Deals,Regular
21,2022/05/08,Sun,India,McSaver McAloo Tikki Burger Meal,185.00,2.40,Deals,Regular
22,2022/05/08,Sun,India,McChicken Burger + McSpicy Chicken Burger,269.00,3.49,Deals,Regular
23,2022/05/08,Sun,India,2 McAloo Tikki Burger + 2 Fries (L),295.00,3.83,Deals,Regular
24,2022/05/08,Sun,India,McChicken Burger + McVeggie Burger + Fries (L) + 2 Veg Pizza McPuff + Coke,476.00,6.18,Deals,Regular
25,2022/05/08,Sun,India,2 McSpicy Chicken Burger + McNuggets 20 Pcs + Fries (L) + Coke,829.00,10.77,Deals,Regular
26,2022/05/08,Sun,India,4 McAloo Tikki Burger + 2 Fries (M) + 2 Coke,429.00,5.57,Deals,Regular
27,2022/05/08,Sun,India,2 McVeggie Burger + 2 American Cheese Supreme Veg Burger + 2 Fries (L),650.00,8.45,Deals,Regular
28,2022/05/08,Sun,India,Veg Maharaja Mac + Chicken Maharaja Mac + Fries (L) + 2 Veg Pizza McPuff + Coke,649.00,8.43,Deals,Regular
29,2022/05/08,Sun,India,2 McVeggie Burger + 2 McAloo Tikki Burger + 2 Fries (M) + 2 Strawberry Shakes,1107.00,14.38,Deals,Regular
30,2022/05/08,Sun,India,Hashbrown,40.00,0.52,McBreakfast,Breakfast
31,2022/05/08,Sun,India,Double Cheese McMuffin,71.00,0.92,McBreakfast,Breakfast
32,2022/05/08,Sun,India,Egg & Cheese McMuffin,75.00,0.97,McBreakfast,Breakfast
33,2022/05/08,Sun,India,Spicy Egg McMuffin,85.00,1.10,McBreakfast,Breakfast
34,2022/05/08,Sun,India,Veg McMuffin,95.00,1.23,McBreakfast,Breakfast
35,2022/05/08,Sun,India,Sausage McMuffin,102.00,1.33,McBreakfast,Breakfast
36,2022/05/08,Sun,India,Hot Cakes With Maple Syrup,110.00,1.43,McBreakfast,Breakfast
37,2022/05/08,Sun,India,Sausage & Egg McMuffin,116.00,1.51,McBreakfast,Breakfast
38,2022/05/08,Sun,India,Veg McMuffin 2 Pc Meal,356.00,4.63,McBreakfast,Breakfast
39,2022/05/08,Sun,India,Sausage McMuffin 2 pc Meal,366.00,4.76,McBreakfast,Breakfast
40,2022/05/08,Sun,India,Hot Cake 2 Pc Meal,371.00,4.82,McBreakfast,Breakfast
41,2022/05/08,Sun,India,Double Cheese McMuffin 3 Pc Meal with Cappuccino (S),336.00,4.37,McBreakfast,Breakfast
42,2022/05/08,Sun,India,Egg & Cheese McMuffin 3 Pc Meal,356.00,4.63,McBreakfast,Breakfast
43,2022/05/08,Sun,India,Sausage & Egg McMuffin 2 pc Meal,377.00,4.90,McBreakfast,Breakfast
44,2022/05/08,Sun,India,Spicy Egg McMuffin 3 Pc Meal with Cappuccino (S),346.00,4.50,McBreakfast,Breakfast
45,2022/05/08,Sun,India,Veg McMuffin 3 Pc Meal,376.00,4.89,McBreakfast,Breakfast
46,2022/05/08,Sun,India,Sausage McMuffin 3 Pc Meal,383.00,4.98,McBreakfast,Breakfast
47,2022/05/08,Sun,India,Hot Cake 3 Pc Meal,386.00,5.02,McBreakfast,Breakfast
48,2022/05/08,Sun,India,Sausage with Egg McMuffin 3 Pc Meal,396.00,5.14,McBreakfast,Breakfast
49,2022/05/08,Sun,India,McAloo Tikki Burger,49.00,0.64,Burgers & Wraps,Regular
50,2022/05/08,Sun,India,Masala McEgg Burger,50.00,0.65,Burgers & Wraps,Regular
51,2022/05/08,Sun,India,Mexican McAloo Tikki Burger,55.00,0.71,Burgers & Wraps,Regular
52,2022/05/08,Sun,India,Chicken Kebab Burger,81.00,1.05,Burgers & Wraps,Regular
53,2022/05/08,Sun,India,McVeggie Burger,115.00,1.49,Burgers & Wraps,Regular
54,2022/05/08,Sun,India,McChicken Burger,120.00,1.56,Burgers & Wraps,Regular
55,2022/05/08,Sun,India,American Cheese Supreme - Veg Burger,125.00,1.62,Burgers & Wraps,Regular
56,2022/05/08,Sun,India,American Cheese Supreme - Chicken Burger,139.00,1.81,Burgers & Wraps,Regular
57,2022/05/08,Sun,India,Filet-O-Fish Burger,146.00,1.90,Burgers & Wraps,Regular
58,2022/05/08,Sun,India,McSpicy Chicken Burger,165.00,2.14,Burgers & Wraps,Regular
