,Date,Day,Territory,Menu Item,Price (INR),Price (USD),Category
1,2025/02/19,Wed,India,Sausage McMuffin + Hashbrown,167.00,1.92,McBreakfast
2,2025/02/19,Wed,India,Veg McMuffin + Hashbrown,153.00,1.76,McBreakfast
3,2025/02/19,Wed,India,Egg & Cheese McMuffin + Hashbrown,152.00,1.75,McBreakfast
4,2025/02/19,Wed,India,Chicken Surprise Burger + Hashbrown,112.00,1.29,McBreakfast
5,2025/02/19,Wed,India,McAloo Tikki Burger + Hashbrown,106.00,1.22,McBreakfast
6,2025/02/19,Wed,India,Hashbrown + Iced Coffee,233.00,2.68,McBreakfast
7,2025/02/19,Wed,India,Hashbrown + Cappuccino,202.00,2.32,McBreakfast
8,2025/02/19,Wed,India,Hashbrown + Cold Coffee,244.00,2.81,McBreakfast
9,2025/02/19,Wed,India,Veg McMuffin 3 Pc Meal,268.00,3.08,McBreakfast
10,2025/02/19,Wed,India,Sausage McMuffin 3 Pc Meal,277.00,3.19,McBreakfast
11,2025/02/19,Wed,India,Sausage with Egg McMuffin 3 Pc Meal,299.00,3.44,McBreakfast
12,2025/02/19,Wed,India,Double Cheese McMuffin 3 Pc Meal,245.00,2.82,McBreakfast
13,2025/02/19,Wed,India,Egg & Cheese McMuffin 3 Pc Meal,245.00,2.82,McBreakfast
14,2025/02/19,Wed,India,Spicy Egg McMuffin 3 Pc Meal,256.00,2.94,McBreakfast
15,2025/02/19,Wed,India,Hot Cake 3 Pc Meal,284.00,3.27,McBreakfast
16,2025/02/19,Wed,India,Egg & Cheese McMuffin - Sandwich,103.00,1.18,McBreakfast
17,2025/02/19,Wed,India,Sausage & Egg McMuffin - Sandwich,156.00,1.79,McBreakfast
18,2025/02/19,Wed,India,Spicy Egg McMuffin - Sandwich,109.00,1.25,McBreakfast
19,2025/02/19,Wed,India,Sausage McMuffin - Sandwich,134.00,1.54,McBreakfast
20,2025/02/19,Wed,India,Veg McMuffin - Sandwich,119.00,1.37,McBreakfast
21,2025/02/19,Wed,India,Hashbrown,54.00,0.62,McBreakfast
22,2025/02/19,Wed,India,Hot Cakes With Maple Syrup,149.00,1.71,McBreakfast
23,2025/02/19,Wed,India,Double Cheese McMuffin- Sandwich,103.00,1.18,McBreakfast
24,2025/02/19,Wed,India,Hot Cake 2 Pc Meal,267.00,3.07,McBreakfast
25,2025/02/19,Wed,India,Egg & Cheese McMuffin - sandwich Combo,154.00,1.77,McBreakfast
26,2025/02/19,Wed,India,Spicy Egg McMuffin - sandwich combo,154.00,1.77,McBreakfast
27,2025/02/19,Wed,India,Double Cheese McMuffin Sandwich Combo,154.00,1.77,McBreakfast
28,2025/02/19,Wed,India,Sausage McMuffin Sandwich Combo,256.00,2.94,McBreakfast
29,2025/02/19,Wed,India,Sausage & Egg McMuffin Sandwich Combo,273.00,3.14,McBreakfast
30,2025/02/19,Wed,India,Veg McMuffin Sandwich Combo,247.00,2.84,McBreakfast
31,2025/02/19,Wed,India,Mc Crispy Chicken Burger + McChicken Burger + Fries (M),415.00,4.77,Newly Launched
32,2025/02/19,Wed,India,Crispy Veggie Burger + McVeggie Burger + Fries (M),409.00,4.70,Newly Launched
33,2025/02/19,Wed,India,2 Crispy Veggie Burger + 2 Fries (M) + Veg Pizza McPuff,589.00,6.78,Newly Launched
34,2025/02/19,Wed,India,2 Mc Crispy Chicken Burger + 2 Fries (M) + Veg Pizza McPuff,669.00,7.70,Newly Launched
35,2025/02/19,Wed,India,2 Crispy Veggie Burger + Fries (L) + 2 Coke,619.00,7.12,Newly Launched
36,2025/02/19,Wed,India,Crispy Veggie Burger,200.00,2.30,Newly Launched
37,2025/02/19,Wed,India,2 Mc Crispy Chicken Burger + Fries (L) + 2 Coke,709.00,8.16,Newly Launched
