,Date,Day,Territory,Menu Item,Price (INR),Price (USD),Category
1,2023/08/02,Wed,India,Cheesy Veg Nuggets - 2 Pc,50.48,0.61,"Shravan - No Onion, No Garlic specials"
2,2023/08/02,Wed,India,McCheese Burger Veg,248.57,3.02,"Shravan - No Onion, No Garlic specials"
3,2023/08/02,Wed,India,Cheesy Veg Nuggets - 9 Pc,199.05,2.42,"Shravan - No Onion, No Garlic specials"
4,2023/08/02,Wed,India,Classic Cheesy Dip,14.29,0.17,"Shravan - No Onion, No Garlic specials"
5,2023/08/02,Wed,India,Cheesy Veg Nuggets - 4 Pc,90.48,1.10,"Shravan - No Onion, No Garlic specials"
6,2023/08/02,Wed,India,McSaver McCheese Burger Veg Meal,384.77,4.67,"Shravan - No Onion, No Garlic specials"
7,2023/08/02,Wed,India,Piri Piri McSpicy Paneer Burger,208.57,2.53,"Shravan - No Onion, No Garlic specials"
8,2023/08/02,Wed,India,McSaver Piri Piri McSpicy Paneer Burger Meal,308.58,3.75,"Shravan - No Onion, No Garlic specials"
9,2023/08/02,Wed,India,2 McChicken Burger + 2 Fries (M) + Veg Pizza McPuff,349.28,4.24,Value Meals for 2 (Minimum 25% Off)
10,2023/08/02,Wed,India,2 McSpicy Chicken Burger + Fries (L) + 2 Coke,448.85,5.45,Value Meals for 2 (Minimum 25% Off)
11,2023/08/02,Wed,India,2 McVeggie Burger + 2 Fries (M) + Veg Pizza McPuff,349.25,4.24,Value Meals for 2 (Minimum 25% Off)
12,2023/08/02,Wed,India,McSpicy Paneer Burger + 2 Fries (M) + McAloo Tikki Burger + Veg Pizza McPuff,348.58,4.23,Value Meals for 2 (Minimum 25% Off)
13,2023/08/02,Wed,India,2 McVeggie Burger + Fries (L) + 2 Coke,348.66,4.23,Value Meals for 2 (Minimum 25% Off)
14,2023/08/02,Wed,India,2 McChicken Burger + Fries (L) + 2 Coke,348.98,4.24,Value Meals for 2 (Minimum 25% Off)
15,2023/08/02,Wed,India,McSpicy Paneer Burger + Fries (L) + 2 Coke + McAloo Tikki Burger,349.41,4.24,Value Meals for 2 (Minimum 25% Off)
16,2023/08/02,Wed,India,McVeggie Burger + Fries (L) + 2 Coke + McAloo Tikki Burger,299.20,3.63,Value Meals for 2 (Minimum 25% Off)
17,2023/08/02,Wed,India,2 McSpicy Chicken Burger  + 2 Fries (M)  + Veg Pizza McPuff,449.06,5.45,Value Meals for 2 (Minimum 25% Off)
18,2023/08/02,Wed,India,McVeggie Burger + 2 Fries (M) + McAloo Tikki Burger + Veg Pizza McPuff,299.06,3.63,Value Meals for 2 (Minimum 25% Off)
19,2023/08/02,Wed,India,McCheese Burger Veg,248.57,3.02,Jain Friendly
20,2023/08/02,Wed,India,Classic Cheesy Dip,14.29,0.17,Jain Friendly
21,2023/08/02,Wed,India,Jain Meal - McCheese Burger Veg,389.53,4.73,Jain Friendly
22,2023/08/02,Wed,India,Piri Piri McSpicy Chicken Burger + Pizza McPuff,234.29,2.84,Piri-Piri McSpicy Range
23,2023/08/02,Wed,India,Piri Piri McSpicy  Combo for 2,537.16,6.52,Piri-Piri McSpicy Range
24,2023/08/02,Wed,India,Piri Piri Big Spicy Wrap Paneer + McSpicy Paneer Burger,372.38,4.52,Piri-Piri McSpicy Range
25,2023/08/02,Wed,India,Piri Piri Big Spicy Wrap Paneer + Fries ( R ),265.71,3.23,Piri-Piri McSpicy Range
26,2023/08/02,Wed,India,Piri Piri Big Spicy Wrap Paneer + Fries ( L ),310.48,3.77,Piri-Piri McSpicy Range
27,2023/08/02,Wed,India,Piri Piri Big Spicy Wrap Paneer + Veg Pizza McPuff,248.57,3.02,Piri-Piri McSpicy Range
28,2023/08/02,Wed,India,Piri Piri Big Spicy Wrap Paneer + McVeggie Burger,314.29,3.82,Piri-Piri McSpicy Range
29,2023/08/02,Wed,India,Piri Piri McSpicy Paneer Burger + Pizza McPuff,234.29,2.84,Piri-Piri McSpicy Range
30,2023/08/02,Wed,India,Piri Piri McSpicy Paneer Burger + McVeggie Burger,300.95,3.65,Piri-Piri McSpicy Range
31,2023/08/02,Wed,India,Piri Piri McSpicy Paneer Burger + Fries (R),251.43,3.05,Piri-Piri McSpicy Range
32,2023/08/02,Wed,India,Piri Piri McSpicy Paneer Burger + Fries (L),296.19,3.60,Piri-Piri McSpicy Range
33,2023/08/02,Wed,India,Piri Piri Big Spicy Wrap Chicken + Veg Pizza McPuff,257.14,3.12,Piri-Piri McSpicy Range
34,2023/08/02,Wed,India,Piri Piri Big Spicy Wrap Chicken + McVeggie Burger,322.86,3.92,Piri-Piri McSpicy Range
35,2023/08/02,Wed,India,Piri Piri Big Spicy Wrap Chicken + McSpicy Chicken Burger,378.10,4.59,Piri-Piri McSpicy Range
36,2023/08/02,Wed,India,Piri Piri Big Spicy Wrap Chicken + Big Spicy Chicken Wrap,409.52,4.97,Piri-Piri McSpicy Range
37,2023/08/02,Wed,India,Piri Piri McSpicy Chicken Burger + 6 Pc Chicken Nuggets,331.41,4.02,Piri-Piri McSpicy Range
