,Date,Day,Territory,Menu Item,Price (INR),Price (USD),Category,Menu
0,2022/03/29,Tue,India,Triple Cheese American Veg Burger,205.00,2.70,New Launches,Regular
1,2022/03/29,Tue,India,McSpicy Premium Veg Burger,221.00,2.91,New Launches,Regular
2,2022/03/29,Tue,India,Triple Cheese American Chicken Burger,231.00,3.04,New Launches,Regular
3,2022/03/29,Tue,India,McSpicy Premium Chicken Burger,261.00,3.43,New Launches,Regular
4,2022/03/29,Tue,India,McAloo Tikki Burger,49.00,0.64,Trending,Regular
5,2022/03/29,Tue,India,McVeggie Burger,121.00,1.59,Trending,Regular
6,2022/03/29,Tue,India,McSpicy Chicken Burger,173.00,2.27,Trending,Regular
7,2022/03/29,Tue,India,McChicken Burger,126.00,1.66,Trending,Regular
8,2022/03/29,Tue,India,Big Spicy Chicken Wrap,215.00,2.83,Trending,Regular
9,2022/03/29,Tue,India,Filet-O-Fish Burger,153.00,2.01,Trending,Regular
10,2022/03/29,Tue,India,Piri Piri Spiced Chicken Burger + Fries (R),249.00,3.27,Deals,Regular
11,2022/03/29,Tue,India,Piri Piri Spiced Veg Burger + Fries (R),249.00,3.27,Deals,Regular
12,2022/03/29,Tue,India,Masala McEgg BOGO,53.00,0.70,Deals,Regular
13,2022/03/29,Tue,India,McVeggie + McAloo Tikki Burger,133.00,1.75,Deals,Regular
14,2022/03/29,Tue,India,Pizza Mc Puff + McSpicy Chicken,170.00,2.24,Deals,Regular
15,2022/03/29,Tue,India,McAloo Tikki + Veg Pizza McPuff + Coke,145.00,1.91,Deals,Regular
16,2022/03/29,Tue,India,Black Forest Mcflurry (M) BOGO,116.00,1.53,Deals,Regular
17,2022/03/29,Tue,India,2 Iced Coffee,198.00,2.60,Deals,Regular
18,2022/03/29,Tue,India,2 Cappuccino,198.00,2.60,Deals,Regular
19,2022/03/29,Tue,India,Cappuccino (S) + Iced Coffee (S),198.00,2.60,Deals,Regular
20,2022/03/29,Tue,India,McSaver McAloo Tikki Meal,189.00,2.48,Deals,Regular
21,2022/03/29,Tue,India,McChicken + McSpicy Chicken Burger,282.00,3.71,Deals,Regular
22,2022/03/29,Tue,India,2 McAloo Tikki + 2 Fries (L),310.00,4.08,Deals,Regular
23,2022/03/29,Tue,India,McChicken + McVeggie + Fries (L) + 2 Veg Pizza McPuff + Coke,500.00,6.57,Deals,Regular
24,2022/03/29,Tue,India,2 McSpicy Chicken + McNuggets 20 Pcs + Fries (L) + Coke,870.00,11.44,Deals,Regular
25,2022/03/29,Tue,India,4 McAloo Tikki + 2 Fries (M) + 2 Coke,450.00,5.92,Deals,Regular
26,2022/03/29,Tue,India,2 McVeggie + 2 American Cheese Supreme Veg + 2 Fries (L),683.00,8.98,Deals,Regular
