,Date,Day,Territory,Menu Item,Price (HKD),Price (USD),Category,Menu
1,2023/01/11,Wed,Hong Kong,Crispy Thighs Sharing Bucket Combo for 3,183.00,23.42,Hot Deal,Regular Menu
2,2023/01/11,Wed,Hong Kong,Burger Lovers Combo for 3,153.00,19.58,Hot Deal,Regular Menu
3,2023/01/11,Wed,Hong Kong,Happy Family Combo,135.00,17.28,Hot Deal,Regular Menu
4,2023/01/11,Wed,Hong Kong,Crispy Thighs Sharing Bucket Combo for 2,122.00,15.62,Hot Deal,Regular Menu
5,2023/01/11,Wed,Hong Kong,Burger Lovers Combo for 2,109.00,13.95,Hot Deal,Regular Menu
6,2023/01/11,Wed,Hong Kong,Burger Lover Combo for 1,53.00,6.78,Hot Deal,Regular Menu
7,2023/01/11,Wed,Hong Kong,Crispy Thighs Combo for 1,70.00,8.96,Hot Deal,Regular Menu
8,2023/01/11,Wed,Hong Kong,McNuggets®(9pcs)Combo for 1,60.00,7.68,Hot Deal,Regular Menu
9,2023/01/11,Wed,Hong Kong,McWings (4pcs) Combo for 1,60.00,7.68,Hot Deal,Regular Menu
10,2023/01/11,Wed,Hong Kong,Burger Lover Combo for 2 with Mochi Black Sesame Latte,129.00,16.51,McCafe Mochi Black Sesame Latte,Regular Menu
11,2023/01/11,Wed,Hong Kong,Burger Lover Combo for 1 with Mochi Black Sesame Latte,63.00,8.06,McCafe Mochi Black Sesame Latte,Regular Menu
12,2023/01/11,Wed,Hong Kong,Iced Mochi Black Sesame Latte,43.00,5.50,McCafe Mochi Black Sesame Latte,Regular Menu
13,2023/01/11,Wed,Hong Kong,Black Sesame Latte(L),38.00,4.86,McCafe Mochi Black Sesame Latte,Regular Menu
14,2023/01/11,Wed,Hong Kong,McCafe All-new Meal Combo for 1,61.00,7.81,McCafe Value Combo,Regular Menu
15,2023/01/11,Wed,Hong Kong,McCafe Burger Lovers Combo for 2,125.00,16.00,McCafe Value Combo,Regular Menu
16,2023/01/11,Wed,Hong Kong,McCafe Burger Lovers Cobmo for 3,177.00,22.66,McCafe Value Combo,Regular Menu
17,2023/01/11,Wed,Hong Kong,McCafe Happy Family Combo,151.00,19.33,McCafe Value Combo,Regular Menu
18,2023/01/11,Wed,Hong Kong,Garlic Herb Crispy Thighs (1pc),23.50,3.01,Regular A-la-carte,Regular Menu
19,2023/01/11,Wed,Hong Kong,Garlic Herb Crispy Thighs (2pcs),43.50,5.57,Regular A-la-carte,Regular Menu
20,2023/01/11,Wed,Hong Kong,Original & Honey & Garlic Crispy Thighs Sharing Bucket (6 pcs),119.50,15.30,Regular A-la-carte,Regular Menu
21,2023/01/11,Wed,Hong Kong,Garlic Herb & Original Crispy Thighs Sharing Bucket (6 pcs),119.50,15.30,Regular A-la-carte,Regular Menu
22,2023/01/11,Wed,Hong Kong,Garlic Herb & Honey BBQ Crispy Thighs Sharing Bucket (6 pcs),119.50,15.30,Regular A-la-carte,Regular Menu
23,2023/01/11,Wed,Hong Kong,Garlic Herb Crispy Thighs Bucket (6pcs),119.50,15.30,Regular A-la-carte,Regular Menu
24,2023/01/11,Wed,Hong Kong,Original & Honey BBQ Crispy Thighs Sharing Bucket (6pcs),119.50,15.30,Regular A-la-carte,Regular Menu
25,2023/01/11,Wed,Hong Kong,McWings®(4pcs),27.00,3.46,Regular A-la-carte,Regular Menu
26,2023/01/11,Wed,Hong Kong,McWings®(6pcs),38.00,4.86,Regular A-la-carte,Regular Menu
27,2023/01/11,Wed,Hong Kong,Tasty Jumbo Bucket (16pcs McWING),100.00,12.80,Regular A-la-carte,Regular Menu
28,2023/01/11,Wed,Hong Kong,Honey BBQ Crispy Thighs Sharing Bucket (6pcs),119.50,15.30,Regular A-la-carte,Regular Menu
29,2023/01/11,Wed,Hong Kong,Crispy Thighs (Original)Sharing Bucket (6pcs),113.50,14.53,Regular A-la-carte,Regular Menu
30,2023/01/11,Wed,Hong Kong,Chicken McNuggets® (6pcs),24.00,3.07,Regular A-la-carte,Regular Menu
31,2023/01/11,Wed,Hong Kong,McNuggets®(18pcs),52.00,6.66,Regular A-la-carte,Regular Menu
32,2023/01/11,Wed,Hong Kong,Tasty Sharing Box,44.00,5.63,Regular A-la-carte,Regular Menu
33,2023/01/11,Wed,Hong Kong,Crispy Thighs(2pcs),41.50,5.31,Regular A-la-carte,Regular Menu
34,2023/01/11,Wed,Hong Kong,Big Mac®,25.50,3.26,Regular A-la-carte,Regular Menu
35,2023/01/11,Wed,Hong Kong,Double Cheeseburger™,24.00,3.07,Regular A-la-carte,Regular Menu
36,2023/01/11,Wed,Hong Kong,McSpicy®Chicken Filet,27.00,3.46,Regular A-la-carte,Regular Menu
37,2023/01/11,Wed,Hong Kong,GCB®,26.50,3.39,Regular A-la-carte,Regular Menu
38,2023/01/11,Wed,Hong Kong,Filet-O-Fish™,23.00,2.94,Regular A-la-carte,Regular Menu
39,2023/01/11,Wed,Hong Kong,Sausage McMuffin® with Egg,22.50,2.88,Regular A-la-carte,Regular Menu
40,2023/01/11,Wed,Hong Kong,Happy Meal® Chicken McNuggets® (4 pcs),35.00,4.48,Happy Meal,Regular Menu
41,2023/01/11,Wed,Hong Kong,Happy Meal® Filet-O-Fish™,37.00,4.74,Happy Meal,Regular Menu
42,2023/01/11,Wed,Hong Kong,Other Happy Meal Set,28.50,3.65,Happy Meal,Regular Menu
43,2023/01/11,Wed,Hong Kong,Iced Mochi Black Sesame Latte,43.00,5.50,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
44,2023/01/11,Wed,Hong Kong,Black Sesame Latte(L),38.00,4.86,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
45,2023/01/11,Wed,Hong Kong,Iced Salted Caramel Oatly Latte,43.00,5.50,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
46,2023/01/11,Wed,Hong Kong,Salted Caramel Oatly Latte(L),38.00,4.86,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
47,2023/01/11,Wed,Hong Kong,Iced Latte,40.00,5.12,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
48,2023/01/11,Wed,Hong Kong,Iced Cappuccino,40.00,5.12,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
49,2023/01/11,Wed,Hong Kong,Iced Americano,40.00,5.12,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
50,2023/01/11,Wed,Hong Kong,Iced Crunchy Ovaltine®,40.00,5.12,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
