,Date,Day,Territory,Menu Item,Price (FJD),Price (USD),Category,Menu
1,2023/10/22,Sun,Fiji,10pk McNuggets (S/R),16.35,7.08,Chicken Mcvalue Meals,Regular
2,2023/10/22,Sun,Fiji,Big Mac (S/R) -Beef,14.55,6.30,Classic McValue Meals,Regular
3,2023/10/22,Sun,Fiji,Cheeseburger (S/R) - Beef,10.95,4.74,Classic McValue Meals,Regular
4,2023/10/22,Sun,Fiji,Filet-O-Fish (S/R),12.15,5.26,Classic McValue Meals,Regular
5,2023/10/22,Sun,Fiji,Double Cheeseburger (S/R) - Beef,13.95,6.04,Classic McValue Meals,Regular
6,2023/10/22,Sun,Fiji,Salad Burger (S/R),10.95,4.74,Classic McValue Meals,Regular
7,2023/10/22,Sun,Fiji,McChicken (S/R),14.35,6.21,Chicken Mcvalue Meals,Regular
8,2023/10/22,Sun,Fiji,2pc Hot And Spicy (S/R),14.15,6.12,Chicken Mcvalue Meals,Regular
9,2023/10/22,Sun,Fiji,3pc Hot And Spicy (S/R),19.10,8.27,Chicken Mcvalue Meals,Regular
10,2023/10/22,Sun,Fiji,5pc Hot And Spicy (S/R),27.70,11.99,Chicken Mcvalue Meals,Regular
11,2023/10/22,Sun,Fiji,6pk McNuggets (S/R),13.50,5.84,Chicken Mcvalue Meals,Regular
12,2023/10/22,Sun,Fiji,Cheeseburger Happy Meal (Beef),12.65,5.47,Happy Meals,Regular
13,2023/10/22,Sun,Fiji,Junior Burger Happy Meal (Beef),12.65,5.47,Happy Meals,Regular
14,2023/10/22,Sun,Fiji,4pk Chicken McNuggets Happy Meal,12.65,5.47,Happy Meals,Regular
15,2023/10/22,Sun,Fiji,Big Mac (Beef),10.15,4.39,Classic Favourites,Regular
16,2023/10/22,Sun,Fiji,Cheeseburger (Beef),6.55,2.83,Classic Favourites,Regular
17,2023/10/22,Sun,Fiji,Filet-O-Fish,7.65,3.31,Classic Favourites,Regular
18,2023/10/22,Sun,Fiji,Double Cheeseburger (Beef),10.25,4.44,Classic Favourites,Regular
19,2023/10/22,Sun,Fiji,Salad Burger,7.45,3.22,Classic Favourites,Regular
20,2023/10/22,Sun,Fiji,Vege McWrap,9.85,4.26,Classic Favourites,Regular
21,2023/10/22,Sun,Fiji,3pc Hot And Spicy Chicken,15.15,6.56,Chicken Favourites,Regular
22,2023/10/22,Sun,Fiji,5pc Hot And Spicy Chicken,24.25,10.49,Chicken Favourites,Regular
23,2023/10/22,Sun,Fiji,6pk McNuggets,7.95,3.44,Chicken Favourites,Regular
24,2023/10/22,Sun,Fiji,10pk McNuggets,11.95,5.17,Chicken Favourites,Regular
25,2023/10/22,Sun,Fiji,McChicken,9.75,4.22,Chicken Favourites,Regular
26,2023/10/22,Sun,Fiji,Ketchup Packet,0.25,0.11,Sides And Condiments,Regular
27,2023/10/22,Sun,Fiji,Mayonnaise Packet,0.50,0.22,Sides And Condiments,Regular
28,2023/10/22,Sun,Fiji,Fries (S/R),4.15,1.80,Sides And Condiments,Regular
29,2023/10/22,Sun,Fiji,McCafe Iced Lemon Tea,7.75,3.35,McCafe Drinks,Regular
30,2023/10/22,Sun,Fiji,McCafe Iced Mango Tea,7.75,3.35,McCafe Drinks,Regular
31,2023/10/22,Sun,Fiji,McCafe Iced Peach Tea,7.75,3.35,McCafe Drinks,Regular
