,Date,Day,Territory,Menu Item,Price (FJD),Price (USD),Category,Menu
1,2022/10/15,Sat,Fiji,Big Mac (S/R) -Beef,14.00,6.05,Classic McValue Meals,Regular
2,2022/10/15,Sat,Fiji,Cheeseburger (S/R) - Beef,10.20,4.41,Classic McValue Meals,Regular
3,2022/10/15,Sat,Fiji,Double Cheeseburger (S/R) - Beef,12.65,5.47,Classic McValue Meals,Regular
4,2022/10/15,Sat,Fiji,Filet McWrap (S/R),13.45,5.81,Classic McValue Meals,Regular
5,2022/10/15,Sat,Fiji,2pc Hot And Spicy (S/R),13.55,5.85,Chicken Mcvalue Meals,Regular
6,2022/10/15,Sat,Fiji,3pc Hot And Spicy (S/R),18.60,8.04,Chicken Mcvalue Meals,Regular
7,2022/10/15,Sat,Fiji,5pc Hot And Spicy (S/R),26.30,11.36,Chicken Mcvalue Meals,Regular
8,2022/10/15,Sat,Fiji,6pk McNuggets (S/R),13.00,5.62,Chicken Mcvalue Meals,Regular
9,2022/10/15,Sat,Fiji,10pk McNuggets (S/R),15.80,6.83,Chicken Mcvalue Meals,Regular
10,2022/10/15,Sat,Fiji,Chicken Aioli McWrap (S/R),13.55,5.85,Chicken Mcvalue Meals,Regular
11,2022/10/15,Sat,Fiji,Cheeseburger Happy Meal (Beef),11.45,4.95,Happy Meals,Regular
12,2022/10/15,Sat,Fiji,Junior Burger Happy Meal (Beef),11.45,4.95,Happy Meals,Regular
13,2022/10/15,Sat,Fiji,4pk Chicken McNuggets Happy Meal,11.45,4.95,Happy Meals,Regular
14,2022/10/15,Sat,Fiji,Big Mac (Beef),9.45,4.08,Classic Favourites,Regular
15,2022/10/15,Sat,Fiji,Cheeseburger (Beef),5.45,2.35,Classic Favourites,Regular
16,2022/10/15,Sat,Fiji,Quarter Pounder (Beef),9.35,4.04,Classic Favourites,Regular
17,2022/10/15,Sat,Fiji,Filet-O-Fish,7.35,3.18,Classic Favourites,Regular
18,2022/10/15,Sat,Fiji,McFeast (Beef),12.25,5.29,Classic Favourites,Regular
19,2022/10/15,Sat,Fiji,Double Cheeseburger (Beef),8.95,3.87,Classic Favourites,Regular
20,2022/10/15,Sat,Fiji,Salad Burger,6.95,3.00,Classic Favourites,Regular
21,2022/10/15,Sat,Fiji,Vege McWrap,9.35,4.04,Classic Favourites,Regular
22,2022/10/15,Sat,Fiji,Filet McWrap,9.95,4.30,Classic Favourites,Regular
23,2022/10/15,Sat,Fiji,McChicken,9.45,4.08,Chicken Favourites,Regular
24,2022/10/15,Sat,Fiji,3pc Hot And Spicy Chicken,14.65,6.33,Chicken Favourites,Regular
25,2022/10/15,Sat,Fiji,5pc Hot And Spicy Chicken,22.75,9.83,Chicken Favourites,Regular
26,2022/10/15,Sat,Fiji,6pk McNuggets,7.55,3.26,Chicken Favourites,Regular
27,2022/10/15,Sat,Fiji,10pk McNuggets,11.55,4.99,Chicken Favourites,Regular
28,2022/10/15,Sat,Fiji,Chicken Aioli McWrap,10.75,4.64,Chicken Favourites,Regular
29,2022/10/15,Sat,Fiji,Apple Pie,5.95,2.57,Sides And Condiments,Regular
30,2022/10/15,Sat,Fiji,Fries (S/R),3.90,1.69,Sides And Condiments,Regular
31,2022/10/15,Sat,Fiji,Sweet And Sour Sauce,0.50,0.22,Sides And Condiments,Regular
32,2022/10/15,Sat,Fiji,Ketchup Packet,0.25,0.11,Sides And Condiments,Regular
33,2022/10/15,Sat,Fiji,BBQ Sauce,0.50,0.22,Sides And Condiments,Regular
34,2022/10/15,Sat,Fiji,Mayonnaise Packet,0.50,0.22,Sides And Condiments,Regular
35,2022/10/15,Sat,Fiji,6pcs Chicken Nibbles,10.25,4.43,Promotions,Regular
36,2022/10/15,Sat,Fiji,10pcs Chicken Nibbles,17.55,7.58,Promotions,Regular
