,Date,Day,Territory,Menu Item,Price (AUD),Price (USD),Category,Menu
1,2023/09/04,Mon,Australia,Mighty McMuffin,8.45,5.45,Most Popular,Breakfast Menu
2,2023/09/04,Mon,Australia,Bacon & Egg McMuffin,6.15,3.97,Most Popular,Breakfast Menu
3,2023/09/04,Mon,Australia,Sausage & Egg McMuffin,6.45,4.16,Most Popular,Breakfast Menu
4,2023/09/04,Mon,Australia,Brekkie Bundle,29.95,19.32,Most Popular,Breakfast Menu
5,2023/09/04,Mon,Australia,Hotcakes with Butter & Syrup,7.40,4.77,Most Popular,Breakfast Menu
6,2023/09/04,Mon,Australia,Hash Brown,3.40,2.19,Most Popular,Breakfast Menu
7,2023/09/04,Mon,Australia,Big Mac,8.00,5.16,All Day Menu,Breakfast Menu
8,2023/09/04,Mon,Australia,Cheeseburger,4.80,3.10,All Day Menu,Breakfast Menu
9,2023/09/04,Mon,Australia,Double Cheeseburger,6.35,4.10,All Day Menu,Breakfast Menu
10,2023/09/04,Mon,Australia,Small Fries,3.40,2.19,All Day Menu,Breakfast Menu
11,2023/09/04,Mon,Australia,Chicken McNuggets - 3pc,5.40,3.48,All Day Menu,Breakfast Menu
12,2023/09/04,Mon,Australia,Chicken McNuggets - 6pc,8.35,5.39,All Day Menu,Breakfast Menu
13,2023/09/04,Mon,Australia,Chicken McNuggets - 20pc,15.45,9.97,All Day Menu,Breakfast Menu
14,2023/09/04,Mon,Australia,Chicken McNuggets - 40pc,29.45,19.00,All Day Menu,Breakfast Menu
15,2023/09/04,Mon,Australia,Mighty McMuffin,8.45,5.45,McMuffins,Breakfast Menu
16,2023/09/04,Mon,Australia,Double Bacon & Egg McMuffin,7.20,4.64,McMuffins,Breakfast Menu
17,2023/09/04,Mon,Australia,Double Sausage & Egg McMuffin,7.50,4.84,McMuffins,Breakfast Menu
18,2023/09/04,Mon,Australia,Bacon & Egg McMuffin,6.15,3.97,McMuffins,Breakfast Menu
19,2023/09/04,Mon,Australia,Sausage & Egg McMuffin,6.45,4.16,McMuffins,Breakfast Menu
20,2023/09/04,Mon,Australia,Double Sausage McMuffin,7.40,4.77,McMuffins,Breakfast Menu
21,2023/09/04,Mon,Australia,Sausage McMuffin,6.00,3.87,McMuffins,Breakfast Menu
22,2023/09/04,Mon,Australia,Big Brekkie Burger,9.35,6.03,McMuffins,Breakfast Menu
23,2023/09/04,Mon,Australia,Brekkie Bundle,29.95,19.32,McMuffins,Breakfast Menu
24,2023/09/04,Mon,Australia,Small Chocolate Shake,5.65,3.64,Shakes & Frappes,Breakfast Menu
25,2023/09/04,Mon,Australia,Small Strawberry Shake,5.65,3.64,Shakes & Frappes,Breakfast Menu
26,2023/09/04,Mon,Australia,Small Vanilla Shake,5.65,3.64,Shakes & Frappes,Breakfast Menu
27,2023/09/04,Mon,Australia,Medium Chocolate Frappé,6.10,3.93,Shakes & Frappes,Breakfast Menu
28,2023/09/04,Mon,Australia,Medium Coffee Frappé,6.10,3.93,Shakes & Frappes,Breakfast Menu
29,2023/09/04,Mon,Australia,Medium Salted Caramel Frappé,6.10,3.93,Shakes & Frappes,Breakfast Menu
30,2023/09/04,Mon,Australia,Small Coke®,4.30,2.77,Soft Drinks,Breakfast Menu
31,2023/09/04,Mon,Australia,Small Sprite® Zero Sugar,4.30,2.77,Soft Drinks,Breakfast Menu
32,2023/09/04,Mon,Australia,Small Fanta®,4.30,2.77,Soft Drinks,Breakfast Menu
33,2023/09/04,Mon,Australia,Small Coke® No Sugar,4.30,2.77,Soft Drinks,Breakfast Menu
34,2023/09/04,Mon,Australia,Small Vanilla Coke®,4.30,2.77,Soft Drinks,Breakfast Menu
35,2023/09/04,Mon,Australia,Small Sparkling Water,4.30,2.77,Soft Drinks,Breakfast Menu
36,2023/09/04,Mon,Australia,Small Frozen Coke®,4.30,2.77,Soft Drinks,Breakfast Menu
37,2023/09/04,Mon,Australia,Small Frozen Fanta® Flavours,4.30,2.77,Soft Drinks,Breakfast Menu
38,2023/09/04,Mon,Australia,Apple Crumble Muffin,5.00,3.23,Desserts,Breakfast Menu
39,2023/09/04,Mon,Australia,Double Choc Muffin,5.00,3.23,Desserts,Breakfast Menu
40,2023/09/04,Mon,Australia,Hot Apple Pie,3.65,2.35,Desserts,Breakfast Menu
41,2023/09/04,Mon,Australia,Apple Slices,3.70,2.39,Desserts,Breakfast Menu
42,2023/09/04,Mon,Australia,McDonaldland Cookies,1.90,1.23,Desserts,Breakfast Menu
43,2023/09/04,Mon,Australia,Hot Fudge Sundae,5.20,3.35,Desserts,Breakfast Menu
