,Date,Day,Territory,Menu Item,Price (MYR),Price (USD),Category,Menu
1,2022/06/15,Wed,Malaysia,Spicy Beef Deluxe Burger with Cheese,12.26,2.77,Extra Puas,Regular
2,2022/06/15,Wed,Malaysia,Spicy Beef Deluxe Burger with Cheese and Egg,13.68,3.09,Extra Puas,Regular
3,2022/06/15,Wed,Malaysia,Double Spicy Beef Deluxe Burger with Cheese,17.92,4.05,Extra Puas,Regular
4,2022/06/15,Wed,Malaysia,Double Spicy Beef Deluxe Burger with Cheese and Egg,19.34,4.37,Extra Puas,Regular
5,2022/06/15,Wed,Malaysia,Spicy Double Beef Burger,11.60,2.62,Extra Puas,Regular
6,2022/06/15,Wed,Malaysia,Spicy Double Beef Burger with Egg,13.02,2.94,Extra Puas,Regular
7,2022/06/15,Wed,Malaysia,Spicy Triple Beef Burger,15.71,3.55,Extra Puas,Regular
8,2022/06/15,Wed,Malaysia,Spicy Triple Beef Burger with Egg,17.12,3.87,Extra Puas,Regular
9,2022/06/15,Wed,Malaysia,Ice Blended Latte,12.74,2.88,Extra Puas,Regular
10,2022/06/15,Wed,Malaysia,Dinosaur McFlurry™,6.51,1.47,Extra Puas,Regular
11,2022/06/15,Wed,Malaysia,3pcs Macarons,11.79,2.67,Extra Puas,Regular
12,2022/06/15,Wed,Malaysia,Banana Pie,4.25,0.96,Extra Puas,Regular
13,2022/06/15,Wed,Malaysia,Bubur Ayam McD™ (Medium),8.21,1.86,Malaysian Morning,Breakfast
14,2022/06/15,Wed,Malaysia,Bubur Ayam McD™ (Small),6.98,1.58,Malaysian Morning,Breakfast
15,2022/06/15,Wed,Malaysia,Ice Blended Latte,12.74,2.88,Malaysian Morning,Breakfast
16,2022/06/15,Wed,Malaysia,Dinosaur McFlurry™,6.51,1.47,Malaysian Morning,Breakfast
17,2022/06/15,Wed,Malaysia,3pcs Macarons,11.79,2.67,Malaysian Morning,Breakfast
18,2022/06/15,Wed,Malaysia,Spicy Beef Deluxe Burger with Cheese,14.53,3.29,Set Duo,Regular
19,2022/06/15,Wed,Malaysia,Spicy Beef Deluxe Burger with Cheese and Egg,15.94,3.60,Set Duo,Regular
20,2022/06/15,Wed,Malaysia,Double Spicy Beef Deluxe Burger with Cheese,20.19,4.57,Set Duo,Regular
21,2022/06/15,Wed,Malaysia,Double Spicy Beef Deluxe Burger with Cheese and Egg,21.60,4.88,Set Duo,Regular
22,2022/06/15,Wed,Malaysia,Spicy Double Beef Burger,13.87,3.14,Set Duo,Regular
23,2022/06/15,Wed,Malaysia,Spicy Double Beef Burger with Egg,15.28,3.46,Set Duo,Regular
24,2022/06/15,Wed,Malaysia,Spicy Triple Beef Burger,17.97,4.06,Set Duo,Regular
25,2022/06/15,Wed,Malaysia,Spicy Triple Beef Burger with Egg,19.39,4.38,Set Duo,Regular
26,2022/06/15,Wed,Malaysia,Spicy Double Beef with Cheese,14.34,3.24,Set Duo,Regular
27,2022/06/15,Wed,Malaysia,Spicy Double Beef with Cheese & Egg,15.38,3.48,Set Duo,Regular
28,2022/06/15,Wed,Malaysia,Spicy Triple Beef with Cheese,18.92,4.28,Set Duo,Regular
29,2022/06/15,Wed,Malaysia,Spicy Triple Beef with Cheese & Egg,20.33,4.60,Set Duo,Regular
30,2022/06/15,Wed,Malaysia,Double Cheeseburger,14.34,3.24,Set Duo,Regular
31,2022/06/15,Wed,Malaysia,Triple Cheeseburger,18.92,4.28,Set Duo,Regular
32,2022/06/15,Wed,Malaysia,Quarter Pounder™ with Cheese,15.47,3.50,Set Duo,Regular
33,2022/06/15,Wed,Malaysia,Double Quarter Pounder™ with Cheese,21.60,4.88,Set Duo,Regular
34,2022/06/15,Wed,Malaysia,Big Mac™,15.47,3.50,Set Duo,Regular
35,2022/06/15,Wed,Malaysia,Mega Mac,20.19,4.57,Set Duo,Regular
36,2022/06/15,Wed,Malaysia,Spicy McCrispy Chicken,14.43,3.26,Set Duo,Regular
37,2022/06/15,Wed,Malaysia,Spicy McCrispy Chicken with Egg,15.85,3.58,Set Duo,Regular
38,2022/06/15,Wed,Malaysia,Double Spicy McCrispy Chicken,18.21,4.12,Set Duo,Regular
39,2022/06/15,Wed,Malaysia,Double Spicy McCrispy Chicken with Egg,19.62,4.44,Set Duo,Regular
40,2022/06/15,Wed,Malaysia,McChicken®,12.17,2.75,Set Duo,Regular
41,2022/06/15,Wed,Malaysia,McChicken® with Egg,13.58,3.07,Set Duo,Regular
42,2022/06/15,Wed,Malaysia,Double McChicken®,15.00,3.39,Set Duo,Regular
43,2022/06/15,Wed,Malaysia,Double McChicken® with Egg,16.42,3.71,Set Duo,Regular
44,2022/06/15,Wed,Malaysia,Spicy Chicken McDeluxe™,15.94,3.60,Set Duo,Regular
45,2022/06/15,Wed,Malaysia,Spicy Chicken McDeluxe™ with Egg,17.36,3.93,Set Duo,Regular
46,2022/06/15,Wed,Malaysia,Double Spicy Chicken McDeluxe™,21.89,4.95,Set Duo,Regular
47,2022/06/15,Wed,Malaysia,Double Spicy Chicken McDeluxe™ with Egg,23.30,5.27,Set Duo,Regular
48,2022/06/15,Wed,Malaysia,GCB™,15.94,3.60,Set Duo,Regular
49,2022/06/15,Wed,Malaysia,GCB™ with Egg,17.36,3.93,Set Duo,Regular
50,2022/06/15,Wed,Malaysia,Double GCB™,21.89,4.95,Set Duo,Regular
51,2022/06/15,Wed,Malaysia,Double GCB™ with Egg,23.30,5.27,Set Duo,Regular
52,2022/06/15,Wed,Malaysia,Filet-O-Fish,12.17,2.75,Set Duo,Regular
53,2022/06/15,Wed,Malaysia,Double Filet-O-Fish,16.42,3.71,Set Duo,Regular
54,2022/06/15,Wed,Malaysia,Ayam Goreng McD™ Spicy (2pcs),16.51,3.73,Set Duo,Regular
55,2022/06/15,Wed,Malaysia,Ayam Goreng McD™ Regular (2pcs),16.51,3.73,Set Duo,Regular
56,2022/06/15,Wed,Malaysia,Ayam Goreng McD™ Spicy (3pcs),20.47,4.63,Set Duo,Regular
57,2022/06/15,Wed,Malaysia,Ayam Goreng McD™ Regular (3pcs),20.47,4.63,Set Duo,Regular
58,2022/06/15,Wed,Malaysia,6pcs Chicken McNuggets®,12.36,2.80,Set Duo,Regular
59,2022/06/15,Wed,Malaysia,9pcs Chicken McNuggets®,15.57,3.52,Set Duo,Regular
60,2022/06/15,Wed,Malaysia,Bubur (M) + 1pc AG Spicy + Iced Milo (M),12.26,2.77,Crazy Hour,Regular
61,2022/06/15,Wed,Malaysia,Bubur (M) + 1pc AG Regular + Iced Milo (M),12.26,2.77,Crazy Hour,Regular
62,2022/06/15,Wed,Malaysia,2x Spicy Double Beef (M),18.87,4.27,Crazy Hour,Regular
63,2022/06/15,Wed,Malaysia,2x Nasi Lemak + AG Regular (M),25.10,5.68,Crazy Hour,Regular
64,2022/06/15,Wed,Malaysia,2x Nasi Lemak + AG Spicy (M),25.10,5.68,Crazy Hour,Regular
65,2022/06/15,Wed,Malaysia,2x McChicken (M),16.98,3.84,Crazy Hour,Regular
66,2022/06/15,Wed,Malaysia,2x Spicy Chicken McDeluxe (M),24.53,5.55,Crazy Hour,Regular
67,2022/06/15,Wed,Malaysia,2x Big Mac (M),23.58,5.33,Crazy Hour,Regular
68,2022/06/15,Wed,Malaysia,2x Double Cheeseburger (M),16.98,3.84,Crazy Hour,Regular
69,2022/06/15,Wed,Malaysia,2x Filet-O-Fish (M),16.98,3.84,Crazy Hour,Regular
70,2022/06/15,Wed,Malaysia,5pc AG Spicy,18.86,4.26,Crazy Hour,Regular
71,2022/06/15,Wed,Malaysia,5pc AG Regular,18.86,4.26,Crazy Hour,Regular
72,2022/06/15,Wed,Malaysia,McChicken® Super Value Meal,16.51,3.73,Super Value Meals,Regular
73,2022/06/15,Wed,Malaysia,Filet-O-Fish™ Super Value Meal,16.51,3.73,Super Value Meals,Regular
74,2022/06/15,Wed,Malaysia,6pcs Chicken McNuggets® Super Value Meal,16.51,3.73,Super Value Meals,Regular
75,2022/06/15,Wed,Malaysia,9pcs Chicken McNuggets® Super Value Meal,19.81,4.48,Super Value Meals,Regular
76,2022/06/15,Wed,Malaysia,Spicy Chicken McDeluxe™ Super Value Meal,20.28,4.59,Super Value Meals,Regular
77,2022/06/15,Wed,Malaysia,GCB™ Super Value Meal,20.28,4.59,Super Value Meals,Regular
78,2022/06/15,Wed,Malaysia,Ayam Goreng McD™ Regular (2pcs) Super Value Meal,20.28,4.59,Super Value Meals,Regular
79,2022/06/15,Wed,Malaysia,Ayam Goreng McD™ Spicy (2pcs) Super Value Meal,20.28,4.59,Super Value Meals,Regular
80,2022/06/15,Wed,Malaysia,Ayam Goreng McD™ Spicy (3pcs) Super Value Meal,24.53,5.55,Super Value Meals,Regular
81,2022/06/15,Wed,Malaysia,Ayam Goreng McD™ Regular (3pcs) Super Value Meal,24.53,5.55,Super Value Meals,Regular
82,2022/06/15,Wed,Malaysia,Double Cheeseburger Super Value Meal,18.40,4.16,Super Value Meals,Regular
83,2022/06/15,Wed,Malaysia,Big Mac™ Super Value Meal,19.34,4.37,Super Value Meals,Regular
84,2022/06/15,Wed,Malaysia,Quarter Pounder™ with Cheese Super Value Meal,20.28,4.59,Super Value Meals,Regular
85,2022/06/15,Wed,Malaysia,Spicy Beef Deluxe Burger with Cheese,12.26,2.77,Burgers,Regular
86,2022/06/15,Wed,Malaysia,Spicy Beef Deluxe Burger with Cheese and Egg,13.68,3.09,Burgers,Regular
87,2022/06/15,Wed,Malaysia,Double Spicy Beef Deluxe Burger with Cheese,17.92,4.05,Burgers,Regular
88,2022/06/15,Wed,Malaysia,Double Spicy Beef Deluxe Burger with Cheese and Egg,19.34,4.37,Burgers,Regular
89,2022/06/15,Wed,Malaysia,Spicy Double Beef Burger,11.60,2.62,Burgers,Regular
90,2022/06/15,Wed,Malaysia,Spicy Double Beef Burger with Egg,13.02,2.94,Burgers,Regular
91,2022/06/15,Wed,Malaysia,Spicy Triple Beef Burger,15.71,3.55,Burgers,Regular
92,2022/06/15,Wed,Malaysia,Spicy Triple Beef Burger with Egg,17.12,3.87,Burgers,Regular
93,2022/06/15,Wed,Malaysia,Spicy Double Beef with Cheese,11.23,2.54,Burgers,Regular
94,2022/06/15,Wed,Malaysia,Spicy Double Beef with Cheese & Egg,12.64,2.86,Burgers,Regular
95,2022/06/15,Wed,Malaysia,Spicy Triple Beef with Cheese,16.89,3.82,Burgers,Regular
96,2022/06/15,Wed,Malaysia,Spicy Triple Beef with Cheese & Egg,18.30,4.14,Burgers,Regular
97,2022/06/15,Wed,Malaysia,Double Cheeseburger,11.23,2.54,Burgers,Regular
98,2022/06/15,Wed,Malaysia,Triple Cheeseburger ,16.89,3.82,Burgers,Regular
99,2022/06/15,Wed,Malaysia,Quarter Pounder™ with Cheese,13.02,2.94,Burgers,Regular
100,2022/06/15,Wed,Malaysia,Double Quarter Pounder™ with Cheese,18.77,4.24,Burgers,Regular
101,2022/06/15,Wed,Malaysia,Big Mac™,12.17,2.75,Burgers,Regular
102,2022/06/15,Wed,Malaysia,Mega Mac™,17.83,4.03,Burgers,Regular
103,2022/06/15,Wed,Malaysia,Spicy McCrispy Chicken,11.60,2.62,Burgers,Regular
104,2022/06/15,Wed,Malaysia,Spicy McCrispy Chicken with Egg,13.02,2.94,Burgers,Regular
105,2022/06/15,Wed,Malaysia,Double Spicy McCrispy Chicken,15.38,3.48,Burgers,Regular
106,2022/06/15,Wed,Malaysia,Double Spicy McCrispy Chicken with Egg,16.79,3.80,Burgers,Regular
107,2022/06/15,Wed,Malaysia,McChicken®,8.87,2.01,Burgers,Regular
108,2022/06/15,Wed,Malaysia,McChicken® with Egg,10.28,2.32,Burgers,Regular
109,2022/06/15,Wed,Malaysia,Double McChicken®,12.64,2.86,Burgers,Regular
110,2022/06/15,Wed,Malaysia,Double McChicken® with Egg,14.06,3.18,Burgers,Regular
111,2022/06/15,Wed,Malaysia,Spicy Chicken McDeluxe™,12.92,2.92,Burgers,Regular
112,2022/06/15,Wed,Malaysia,Spicy Chicken McDeluxe™ with Egg,14.34,3.24,Burgers,Regular
113,2022/06/15,Wed,Malaysia,Double Spicy Chicken McDeluxe™,20.00,4.52,Burgers,Regular
114,2022/06/15,Wed,Malaysia,Double Spicy Chicken McDeluxe™ with Egg,21.42,4.84,Burgers,Regular
115,2022/06/15,Wed,Malaysia,GCB™,12.92,2.92,Burgers,Regular
116,2022/06/15,Wed,Malaysia,GCB™ with Egg,14.34,3.24,Burgers,Regular
117,2022/06/15,Wed,Malaysia,Double GCB™,20.00,4.52,Burgers,Regular
118,2022/06/15,Wed,Malaysia,Double GCB™ with Egg,21.42,4.84,Burgers,Regular
119,2022/06/15,Wed,Malaysia,Filet-O-Fish™,9.34,2.11,Burgers,Regular
120,2022/06/15,Wed,Malaysia,Double Filet-O-Fish™,12.64,2.86,Burgers,Regular
121,2022/06/15,Wed,Malaysia,Ayam Goreng McD™ (5pcs),31.13,7.04,Ayam Goreng & Nuggets,Regular
122,2022/06/15,Wed,Malaysia,Ayam Goreng McD™ (9pcs),52.83,11.95,Ayam Goreng & Nuggets,Regular
123,2022/06/15,Wed,Malaysia,Ayam Goreng McD™ Regular (2pcs) ,12.59,2.85,Ayam Goreng & Nuggets,Regular
