,Date,Day,Territory,Menu Item,Price (PKR),Price (USD),Category,Menu
1,2022/09/18,Sun,Pakistan,McChicken & Regular Drink,302.00,1.27,Delivery Exclusive,Regular
2,2022/09/18,Sun,Pakistan,Chicken Wings 3pcs,237.00,1.00,Delivery Exclusive,Regular
3,2022/09/18,Sun,Pakistan,Budget Share Bag,888.00,3.75,Delivery Exclusive,Regular
4,2022/09/18,Sun,Pakistan,Family Share Bag,1664.00,7.02,Delivery Exclusive,Regular
5,2022/09/18,Sun,Pakistan,Hot n Crispy Burger,315.00,1.33,★What's New★,Regular
6,2022/09/18,Sun,Pakistan,Chicken Wings 3pcs,237.00,1.00,★What's New★,Regular
7,2022/09/18,Sun,Pakistan,Hot n Crispy Burger,315.00,1.33,Chicken & Fish,Regular
8,2022/09/18,Sun,Pakistan,Spicy McCrispy,504.00,2.13,Chicken & Fish,Regular
9,2022/09/18,Sun,Pakistan,Chicken Mac,616.00,2.60,Chicken & Fish,Regular
10,2022/09/18,Sun,Pakistan,McChicken ,461.00,1.95,Chicken & Fish,Regular
11,2022/09/18,Sun,Pakistan,Grand Chicken Spicy,797.00,3.36,Chicken & Fish,Regular
12,2022/09/18,Sun,Pakistan,McArabia,677.00,2.86,Chicken & Fish,Regular
13,2022/09/18,Sun,Pakistan,Chicken McNuggets 6 pcs,504.00,2.13,Chicken & Fish,Regular
14,2022/09/18,Sun,Pakistan,Chicken McNuggets 9 pcs,677.00,2.86,Chicken & Fish,Regular
15,2022/09/18,Sun,Pakistan,Chicken McNuggets 20 pcs,1065.00,4.50,Chicken & Fish,Regular
16,2022/09/18,Sun,Pakistan,Chicken Wings 3pcs,237.00,1.00,Chicken & Fish,Regular
17,2022/09/18,Sun,Pakistan,Chicken Burger with Cheese,341.00,1.44,Chicken & Fish,Regular
18,2022/09/18,Sun,Pakistan,Value McArabia Chicken,392.00,1.65,Chicken & Fish,Regular
19,2022/09/18,Sun,Pakistan,Mini McRoyale,392.00,1.65,Chicken & Fish,Regular
20,2022/09/18,Sun,Pakistan,Cheese Burger,358.00,1.51,Chicken & Fish,Regular
21,2022/09/18,Sun,Pakistan,Filet-O-Fish ,504.00,2.13,Chicken & Fish,Regular
22,2022/09/18,Sun,Pakistan,Garlic Mayo Wrap,349.00,1.47,Chicken & Fish,Regular
23,2022/09/18,Sun,Pakistan,Chipotle Wrap,349.00,1.47,Chicken & Fish,Regular
24,2022/09/18,Sun,Pakistan,BBQ Wrap,349.00,1.47,Chicken & Fish,Regular
25,2022/09/18,Sun,Pakistan,Big Mac,634.00,2.68,Beef,Regular
26,2022/09/18,Sun,Pakistan,Quarter Pounder,634.00,2.68,Beef,Regular
27,2022/09/18,Sun,Pakistan,McRoyale ,634.00,2.68,Beef,Regular
28,2022/09/18,Sun,Pakistan,Double Cheese Burger,591.00,2.49,Beef,Regular
29,2022/09/18,Sun,Pakistan,Spicy McCrispy Double,763.00,3.22,Double Patty Burgers,Regular
30,2022/09/18,Sun,Pakistan,Hot n Crispy Double,345.00,1.46,Double Patty Burgers,Regular
31,2022/09/18,Sun,Pakistan,McChicken Double,634.00,2.68,Double Patty Burgers,Regular
32,2022/09/18,Sun,Pakistan,Double Big Mac,884.00,3.73,Double Patty Burgers,Regular
33,2022/09/18,Sun,Pakistan,Quarter Pounder Double,884.00,3.73,Double Patty Burgers,Regular
34,2022/09/18,Sun,Pakistan,Filet-O-Fish Double,711.00,3.00,Double Patty Burgers,Regular
35,2022/09/18,Sun,Pakistan,2pcs Spicy Chicken With Regular Drink,427.00,1.80,Crispy Fried Chicken,Regular
36,2022/09/18,Sun,Pakistan,2pcs Crispy Chicken With Regular Drink,427.00,1.80,Crispy Fried Chicken,Regular
37,2022/09/18,Sun,Pakistan,2 Pieces Crispy Chicken,616.00,2.60,Crispy Fried Chicken,Regular
38,2022/09/18,Sun,Pakistan,3 Pieces Spicy Chicken with Regular Fries & Drink,789.00,3.33,Crispy Fried Chicken,Regular
39,2022/09/18,Sun,Pakistan,3 Pieces Crispy Chicken,789.00,3.33,Crispy Fried Chicken,Regular
40,2022/09/18,Sun,Pakistan,9pcs Spicy Chicken Bucket Meal,1970.00,8.32,Crispy Fried Chicken,Regular
41,2022/09/18,Sun,Pakistan,9pcs Crispy Chicken Bucket Meal,1970.00,8.32,Crispy Fried Chicken,Regular
42,2022/09/18,Sun,Pakistan,Budget Share Bag,888.00,3.75,Share Bag,Regular
43,2022/09/18,Sun,Pakistan,Family Share Bag,1664.00,7.02,Share Bag,Regular
44,2022/09/18,Sun,Pakistan,Chicken Value Sharebag,1815.00,7.66,Share Bag,Regular
45,2022/09/18,Sun,Pakistan,Chicken Plus - Share Bag,2073.00,8.75,Share Bag,Regular
46,2022/09/18,Sun,Pakistan,9pcs Spicy Chicken Bucket Meal,1970.00,8.32,Share Bag,Regular
47,2022/09/18,Sun,Pakistan,9pcs Crispy Chicken Bucket Meal,1970.00,8.32,Share Bag,Regular
48,2022/09/18,Sun,Pakistan,Happy Meal Beef Burger ,435.00,1.84,Happy Meals,Regular
49,2022/09/18,Sun,Pakistan,Happy Meal Cheese Burger,522.00,2.20,Happy Meals,Regular
50,2022/09/18,Sun,Pakistan,Happy Meal Chicken Burger ,522.00,2.20,Happy Meals,Regular
51,2022/09/18,Sun,Pakistan,Happy Meal 4pcs Chicken McNuggets,522.00,2.20,Happy Meals,Regular
52,2022/09/18,Sun,Pakistan,Double Chocolate Pie,332.00,1.40,Desserts,Regular
53,2022/09/18,Sun,Pakistan,Apple Pie,289.00,1.22,Desserts,Regular
54,2022/09/18,Sun,Pakistan,Sundae Brownie,418.00,1.76,Desserts,Regular
55,2022/09/18,Sun,Pakistan,McFlurry Oreo,418.00,1.76,Desserts,Regular
56,2022/09/18,Sun,Pakistan,Hot Fudge Sundae,366.00,1.54,Desserts,Regular
57,2022/09/18,Sun,Pakistan,Strawberry Sundae,366.00,1.54,Desserts,Regular
58,2022/09/18,Sun,Pakistan,Cardamom Tea,280.00,1.18,Beverages,Regular
59,2022/09/18,Sun,Pakistan,Regular Tea,246.00,1.04,Beverages,Regular
60,2022/09/18,Sun,Pakistan,Green Tea,203.00,0.86,Beverages,Regular
61,2022/09/18,Sun,Pakistan,Orange Juice,306.00,1.29,Beverages,Regular
62,2022/09/18,Sun,Pakistan,Vanila Shake,366.00,1.54,Beverages,Regular
63,2022/09/18,Sun,Pakistan,Chocolate Shake,366.00,1.54,Beverages,Regular
64,2022/09/18,Sun,Pakistan,Strawberry Shake,366.00,1.54,Beverages,Regular
65,2022/09/18,Sun,Pakistan,McFizz Strawberry,289.00,1.22,Beverages,Regular
66,2022/09/18,Sun,Pakistan,Coke,203.00,0.86,Beverages,Regular
67,2022/09/18,Sun,Pakistan,Sprite,203.00,0.86,Beverages,Regular
68,2022/09/18,Sun,Pakistan,Fanta,203.00,0.86,Beverages,Regular
69,2022/09/18,Sun,Pakistan,Coke Zero,203.00,0.86,Beverages,Regular
70,2022/09/18,Sun,Pakistan,Bottled Water,39.00,0.16,Beverages,Regular
71,2022/09/18,Sun,Pakistan,Chicken Wings 3pcs,237.00,1.00,Fries & Sides,Regular
72,2022/09/18,Sun,Pakistan,Regular Fries,289.00,1.22,Fries & Sides,Regular
73,2022/09/18,Sun,Pakistan,Chicken McNuggets 6 pcs,504.00,2.13,Fries & Sides,Regular
74,2022/09/18,Sun,Pakistan,Chicken McNuggets 9 pcs,677.00,2.86,Fries & Sides,Regular
75,2022/09/18,Sun,Pakistan,Chicken McNuggets 20 pcs,1065.00,4.50,Fries & Sides,Regular
76,2022/09/18,Sun,Pakistan,6pcs Donuts,1323.00,5.58,McCafé Bakery,Regular
77,2022/09/18,Sun,Pakistan,Boston Cream,263.00,1.11,McCafé Bakery,Regular
78,2022/09/18,Sun,Pakistan,Chocolate Fudge,263.00,1.11,McCafé Bakery,Regular
79,2022/09/18,Sun,Pakistan,Caramel Cream,263.00,1.11,McCafé Bakery,Regular
80,2022/09/18,Sun,Pakistan,Vanilla Sprinkle,263.00,1.11,McCafé Bakery,Regular
81,2022/09/18,Sun,Pakistan,Chocolate Sprinkle,263.00,1.11,McCafé Bakery,Regular
82,2022/09/18,Sun,Pakistan,Caramel Ring,263.00,1.11,McCafé Bakery,Regular
83,2022/09/18,Sun,Pakistan,Butter Croissant,375.00,1.58,McCafé Bakery,Regular
84,2022/09/18,Sun,Pakistan,Blueberry Muffin,375.00,1.58,McCafé Bakery,Regular
85,2022/09/18,Sun,Pakistan,Double Chocolate Muffin,375.00,1.58,McCafé Bakery,Regular
86,2022/09/18,Sun,Pakistan,Milk Chocolate Cookie,228.00,0.96,McCafé Bakery,Regular
87,2022/09/18,Sun,Pakistan,Double Chocolate Cookie,228.00,0.96,McCafé Bakery,Regular
88,2022/09/18,Sun,Pakistan,Tiramisu Cake,504.00,2.13,McCafé Bakery,Regular
89,2022/09/18,Sun,Pakistan,Babyccino,134.00,0.57,McCafé Drinks,Regular
90,2022/09/18,Sun,Pakistan,Espresso - Single Shot,177.00,0.75,McCafé Drinks,Regular
91,2022/09/18,Sun,Pakistan,Macchiato,177.00,0.75,McCafé Drinks,Regular
92,2022/09/18,Sun,Pakistan,Cappuccino,409.00,1.73,McCafé Drinks,Regular
93,2022/09/18,Sun,Pakistan,Latte,409.00,1.73,McCafé Drinks,Regular
94,2022/09/18,Sun,Pakistan,Mochaccino,444.00,1.87,McCafé Drinks,Regular
95,2022/09/18,Sun,Pakistan,Hazelnut Latte,444.00,1.87,McCafé Drinks,Regular
96,2022/09/18,Sun,Pakistan,Hot Chocolate,444.00,1.87,McCafé Drinks,Regular
97,2022/09/18,Sun,Pakistan,Caramel Latte,444.00,1.87,McCafé Drinks,Regular
98,2022/09/18,Sun,Pakistan,Americano,315.00,1.33,McCafé Drinks,Regular
99,2022/09/18,Sun,Pakistan,Vanilla Frappe,591.00,2.49,McCafé Drinks,Regular
100,2022/09/18,Sun,Pakistan,Chocolate Frappe,591.00,2.49,McCafé Drinks,Regular
101,2022/09/18,Sun,Pakistan,Chocolate Oreo Frappe,591.00,2.49,McCafé Drinks,Regular
102,2022/09/18,Sun,Pakistan,Mocha Frappe,608.00,2.57,McCafé Drinks,Regular
103,2022/09/18,Sun,Pakistan,Iced Latte,461.00,1.95,McCafé Drinks,Regular
104,2022/09/18,Sun,Pakistan,Caramel Iced Latte,461.00,1.95,McCafé Drinks,Regular
105,2022/09/18,Sun,Pakistan,Hazelnut Iced Latte,461.00,1.95,McCafé Drinks,Regular
106,2022/09/18,Sun,Pakistan,Ice Tea Rasberry,418.00,1.76,McCafé Drinks,Regular
107,2022/09/18,Sun,Pakistan,Ice Tea Peach,418.00,1.76,McCafé Drinks,Regular
108,2022/09/18,Sun,Pakistan,Ice Tea Lemon,418.00,1.76,McCafé Drinks,Regular
109,2022/09/18,Sun,Pakistan,Ice Tea Mango,461.00,1.95,McCafé Drinks,Regular
110,2022/09/18,Sun,Pakistan,Garlic Mayo Sauce,43.00,0.18,Condiments,Regular
111,2022/09/18,Sun,Pakistan,Cheesy Mayo Sauce,43.00,0.18,Condiments,Regular
112,2022/09/18,Sun,Pakistan,Chilli Mayo Sauce,43.00,0.18,Condiments,Regular
113,2022/09/18,Sun,Pakistan,BBQ Sauce,43.00,0.18,Condiments,Regular
