,Date,Day,Territory,Menu Item,Price (PKR),Price (USD),Category,Menu
68,2024/01/26,Fri,Pakistan,Chicken McNuggets 9 pcs,694.00,2.48,Fries & Sides,Regular
69,2024/01/26,Fri,Pakistan,Chicken McNuggets 20 pcs,1151.00,4.11,Fries & Sides,Regular
70,2024/01/26,Fri,Pakistan,Chocolate Lava Cake,315.00,1.13,McCafé Bakery,Regular
71,2024/01/26,Fri,Pakistan,Red Velvet Lave Cake,315.00,1.13,McCafé Bakery,Regular
72,2024/01/26,Fri,Pakistan,Caramel Cake,504.00,1.80,McCafé Bakery,Regular
73,2024/01/26,Fri,Pakistan,Red Velvet Cheese Cake,504.00,1.80,McCafé Bakery,Regular
74,2024/01/26,Fri,Pakistan,Chocolate Fudge Cake,504.00,1.80,McCafé Bakery,Regular
75,2024/01/26,Fri,Pakistan,6pcs Donuts,1323.00,4.73,McCafé Bakery,Regular
76,2024/01/26,Fri,Pakistan,Boston Cream,263.00,0.94,McCafé Bakery,Regular
77,2024/01/26,Fri,Pakistan,Chocolate Fudge,263.00,0.94,McCafé Bakery,Regular
78,2024/01/26,Fri,Pakistan,Caramel Cream,263.00,0.94,McCafé Bakery,Regular
79,2024/01/26,Fri,Pakistan,Vanilla Sprinkle,263.00,0.94,McCafé Bakery,Regular
80,2024/01/26,Fri,Pakistan,Chocolate Sprinkle,263.00,0.94,McCafé Bakery,Regular
81,2024/01/26,Fri,Pakistan,Caramel Ring,263.00,0.94,McCafé Bakery,Regular
82,2024/01/26,Fri,Pakistan,Butter Croissant,375.00,1.34,McCafé Bakery,Regular
83,2024/01/26,Fri,Pakistan,Double Chocolate Muffin,375.00,1.34,McCafé Bakery,Regular
84,2024/01/26,Fri,Pakistan,Milk Chocolate Cookie,246.00,0.88,McCafé Bakery,Regular
85,2024/01/26,Fri,Pakistan,Double Chocolate Cookie,246.00,0.88,McCafé Bakery,Regular
86,2024/01/26,Fri,Pakistan,Babyccino,151.00,0.54,McCafé Drinks,Regular
87,2024/01/26,Fri,Pakistan,Espresso - Single Shot,194.00,0.69,McCafé Drinks,Regular
88,2024/01/26,Fri,Pakistan,Macchiato,194.00,0.69,McCafé Drinks,Regular
89,2024/01/26,Fri,Pakistan,Cappuccino,427.00,1.53,McCafé Drinks,Regular
90,2024/01/26,Fri,Pakistan,Latte,427.00,1.53,McCafé Drinks,Regular
91,2024/01/26,Fri,Pakistan,Mochaccino,461.00,1.65,McCafé Drinks,Regular
92,2024/01/26,Fri,Pakistan,Hazelnut Latte,444.00,1.59,McCafé Drinks,Regular
93,2024/01/26,Fri,Pakistan,Hot Chocolate,461.00,1.65,McCafé Drinks,Regular
94,2024/01/26,Fri,Pakistan,Caramel Latte,444.00,1.59,McCafé Drinks,Regular
95,2024/01/26,Fri,Pakistan,Americano,332.00,1.19,McCafé Drinks,Regular
96,2024/01/26,Fri,Pakistan,Vanilla Frappe,608.00,2.17,McCafé Drinks,Regular
97,2024/01/26,Fri,Pakistan,Chocolate Frappe,608.00,2.17,McCafé Drinks,Regular
98,2024/01/26,Fri,Pakistan,Chocolate Oreo Frappe,608.00,2.17,McCafé Drinks,Regular
99,2024/01/26,Fri,Pakistan,Mocha Frappe,625.00,2.23,McCafé Drinks,Regular
100,2024/01/26,Fri,Pakistan,Iced Latte,478.00,1.71,McCafé Drinks,Regular
101,2024/01/26,Fri,Pakistan,Caramel Iced Latte,478.00,1.71,McCafé Drinks,Regular
102,2024/01/26,Fri,Pakistan,Hazelnut Iced Latte,478.00,1.71,McCafé Drinks,Regular
103,2024/01/26,Fri,Pakistan,Ice Tea Rasberry,435.00,1.55,McCafé Drinks,Regular
104,2024/01/26,Fri,Pakistan,Ice Tea Peach,435.00,1.55,McCafé Drinks,Regular
105,2024/01/26,Fri,Pakistan,Ice Tea Lemon,435.00,1.55,McCafé Drinks,Regular
106,2024/01/26,Fri,Pakistan,Ice Tea Mango,435.00,1.55,McCafé Drinks,Regular
107,2024/01/26,Fri,Pakistan,Garlic Mayo Sauce,43.00,0.15,Condiments,Regular
108,2024/01/26,Fri,Pakistan,Chilli Mayo Sauce,43.00,0.15,Condiments,Regular
109,2024/01/26,Fri,Pakistan,BBQ Sauce,43.00,0.15,Condiments,Regular
110,2024/01/26,Fri,Pakistan,Toasted Pita Bread,30.00,0.11,Condiments,Regular
111,2024/01/26,Fri,Pakistan,Hash Brown with Coffee,504.00,1.80,★What's New★,Breakfast
112,2024/01/26,Fri,Pakistan,McFlurry - Fudge Brownie,483.00,1.73,★What's New★,Breakfast
113,2024/01/26,Fri,Pakistan,Hazelnut Latte,444.00,1.59,★What's New★,Breakfast
114,2024/01/26,Fri,Pakistan,Caramel Latte,444.00,1.59,★What's New★,Breakfast
115,2024/01/26,Fri,Pakistan,Chicken Sausage Muffin,461.00,1.65,Breakfast Meals,Breakfast
116,2024/01/26,Fri,Pakistan,Chicken Sausage Muffin with Egg,504.00,1.80,Breakfast Meals,Breakfast
117,2024/01/26,Fri,Pakistan,Egg Muffin,418.00,1.49,Breakfast Meals,Breakfast
118,2024/01/26,Fri,Pakistan,Egg & Cheese Muffin,332.00,1.19,Breakfast Meals,Breakfast
119,2024/01/26,Fri,Pakistan,Chicken Muffin,349.00,1.25,Breakfast Meals,Breakfast
120,2024/01/26,Fri,Pakistan,Omelette Muffin,375.00,1.34,Breakfast Meals,Breakfast
121,2024/01/26,Fri,Pakistan,Hot Cakes 3pc,504.00,1.80,Breakfast Meals,Breakfast
122,2024/01/26,Fri,Pakistan,Hot Cakes,246.00,0.88,Breakfast Meals,Breakfast
123,2024/01/26,Fri,Pakistan,Omelette N’ Tomato Wrap,332.00,1.19,Breakfast Wraps,Breakfast
124,2024/01/26,Fri,Pakistan,Happy Meal Breakfast,569.00,2.03,Happy Meals,Breakfast
125,2024/01/26,Fri,Pakistan,McFlurry - Fudge Brownie,483.00,1.73,Desserts,Breakfast
