,Date,Day,Territory,Menu Item,Price (AUD),Price (USD),Category,Menu
1,2022/06/22,Wed,Australia,Mighty McMuffin,7.70,5.37,Most Popular,Breakfast Menu
2,2022/06/22,Wed,Australia,Brekkie Bundle,29.95,20.90,Most Popular,Breakfast Menu
3,2022/06/22,Wed,Australia,Bacon & Egg McMuffin,5.50,3.84,Most Popular,Breakfast Menu
4,2022/06/22,Wed,Australia,Sausage & Egg McMuffin,5.70,3.98,Most Popular,Breakfast Menu
5,2022/06/22,Wed,Australia,Hotcakes with Butter & Syrup,6.70,4.67,Most Popular,Breakfast Menu
6,2022/06/22,Wed,Australia,Hash Brown,2.95,2.06,Most Popular,Breakfast Menu
7,2022/06/22,Wed,Australia,Mighty McMuffin,7.70,5.37,McMuffins,Breakfast Menu
8,2022/06/22,Wed,Australia,Brekkie Bundle,29.95,20.90,McMuffins,Breakfast Menu
9,2022/06/22,Wed,Australia,Bacon & Egg McMuffin,5.50,3.84,McMuffins,Breakfast Menu
10,2022/06/22,Wed,Australia,Double Bacon & Egg McMuffin,6.40,4.47,McMuffins,Breakfast Menu
11,2022/06/22,Wed,Australia,Sausage & Egg McMuffin,5.70,3.98,McMuffins,Breakfast Menu
12,2022/06/22,Wed,Australia,Double Sausage & Egg McMuffin,6.80,4.74,McMuffins,Breakfast Menu
13,2022/06/22,Wed,Australia,Sausage McMuffin,5.20,3.63,McMuffins,Breakfast Menu
14,2022/06/22,Wed,Australia,Double Sausage McMuffin,6.30,4.40,McMuffins,Breakfast Menu
15,2022/06/22,Wed,Australia,Big Brekkie Burger,8.75,6.11,McMuffins,Breakfast Menu
16,2022/06/22,Wed,Australia,Hotcakes with Butter & Syrup,6.70,4.67,More Brekkie Favourites,Breakfast Menu
17,2022/06/22,Wed,Australia,Hash Brown,2.95,2.06,More Brekkie Favourites,Breakfast Menu
18,2022/06/22,Wed,Australia,Big Brekkie Burger,8.75,6.11,More Brekkie Favourites,Breakfast Menu
19,2022/06/22,Wed,Australia,Small Fries,2.95,2.06,All Day Menu,Breakfast Menu
20,2022/06/22,Wed,Australia,Chicken McNuggets - 3pc,5.40,3.77,All Day Menu,Breakfast Menu
21,2022/06/22,Wed,Australia,Chicken McNuggets - 6pc,7.65,5.34,All Day Menu,Breakfast Menu
22,2022/06/22,Wed,Australia,Chicken McNuggets - 20pc,14.85,10.36,All Day Menu,Breakfast Menu
23,2022/06/22,Wed,Australia,Cheeseburger,4.25,2.97,All Day Menu,Breakfast Menu
24,2022/06/22,Wed,Australia,Double Cheeseburger,6.00,4.19,All Day Menu,Breakfast Menu
25,2022/06/22,Wed,Australia,Big Mac,7.25,5.06,All Day Menu,Breakfast Menu
26,2022/06/22,Wed,Australia,Chicken McNuggets - 40pc,29.45,20.55,All Day Menu,Breakfast Menu
27,2022/06/22,Wed,Australia,Small Australiano Chai Coffee  McCafé,5.35,3.73,McCafe Drinks,Breakfast Menu
28,2022/06/22,Wed,Australia,Small Cappuccino McCafe,4.75,3.31,McCafe Drinks,Breakfast Menu
29,2022/06/22,Wed,Australia,Small Flat White McCafe,4.75,3.31,McCafe Drinks,Breakfast Menu
30,2022/06/22,Wed,Australia,Small Long Black McCafe,4.75,3.31,McCafe Drinks,Breakfast Menu
31,2022/06/22,Wed,Australia,Small Hot Chocolate McCafé,4.90,3.42,McCafe Drinks,Breakfast Menu
32,2022/06/22,Wed,Australia,Small Latté McCafe,4.75,3.31,McCafe Drinks,Breakfast Menu
33,2022/06/22,Wed,Australia,Small Mocha McCafe,4.90,3.42,McCafe Drinks,Breakfast Menu
34,2022/06/22,Wed,Australia,Espresso McCafé,3.60,2.51,McCafe Drinks,Breakfast Menu
