,Date,Day,Territory,Menu Item,Price (AUD),Price (USD),Category,Menu
1,2024/05/07,Tue,Australia,Chicken McMuffin,6.85,4.53,Most Popular,Breakfast Menu
2,2024/05/07,Tue,Australia,Chicken & Bacon McMuffin,7.85,5.19,Most Popular,Breakfast Menu
3,2024/05/07,Tue,Australia,Mighty McMuffin,8.65,5.71,Most Popular,Breakfast Menu
4,2024/05/07,Tue,Australia,Bacon & Egg McMuffin,6.55,4.33,Most Popular,Breakfast Menu
5,2024/05/07,Tue,Australia,Sausage & Egg McMuffin,7.10,4.69,Most Popular,Breakfast Menu
6,2024/05/07,Tue,Australia,Hash Brown,3.65,2.41,Most Popular,Breakfast Menu
7,2024/05/07,Tue,Australia,Hotcakes with Butter & Syrup,7.55,4.99,Most Popular,Breakfast Menu
8,2024/05/07,Tue,Australia,Small Fries,3.95,2.61,All Day Menu,Breakfast Menu
9,2024/05/07,Tue,Australia,Big Mac,8.50,5.62,All Day Menu,Breakfast Menu
10,2024/05/07,Tue,Australia,Cheeseburger,5.20,3.44,All Day Menu,Breakfast Menu
11,2024/05/07,Tue,Australia,Double Cheeseburger,6.55,4.33,All Day Menu,Breakfast Menu
12,2024/05/07,Tue,Australia,McChicken,8.20,5.42,All Day Menu,Breakfast Menu
13,2024/05/07,Tue,Australia,Chicken McNuggets - 3pc,5.40,3.57,All Day Menu,Breakfast Menu
14,2024/05/07,Tue,Australia,Chicken McNuggets - 6pc,8.40,5.55,All Day Menu,Breakfast Menu
15,2024/05/07,Tue,Australia,Chicken McNuggets - 20pc,15.90,10.50,All Day Menu,Breakfast Menu
16,2024/05/07,Tue,Australia,Chicken McNuggets - 40pc,29.45,19.46,All Day Menu,Breakfast Menu
17,2024/05/07,Tue,Australia,10pc Chicken McNuggets,10.55,6.97,All Day Menu,Breakfast Menu
18,2024/05/07,Tue,Australia,AFL Captain Cards,2.00,1.32,All Day Menu,Breakfast Menu
19,2024/05/07,Tue,Australia,Chicken McMuffin,6.85,4.53,McMuffins,Breakfast Menu
20,2024/05/07,Tue,Australia,Chicken & Bacon McMuffin,7.85,5.19,McMuffins,Breakfast Menu
