,Date,Day,Territory,Menu Item,Price (LKR),Price (USD),Category,Menu
1,2022/07/18,Mon,Sri Lanka,Crispy Chicken 02 PC,870.00,2.41,Ala Carte & Value Meals,Regular
2,2022/07/18,Mon,Sri Lanka,Crispy Chicken 05 PC,2200.00,6.11,Ala Carte & Value Meals,Regular
3,2022/07/18,Mon,Sri Lanka,Spicy chicken footlong,730.00,2.03,Ala Carte & Value Meals,Regular
4,2022/07/18,Mon,Sri Lanka,Crispy Chicken Wrap,600.00,1.67,Ala Carte & Value Meals,Regular
5,2022/07/18,Mon,Sri Lanka,Tandoori Chicken Wrap,380.00,1.05,Ala Carte & Value Meals,Regular
6,2022/07/18,Mon,Sri Lanka,McSpicy Chicken Wrap,1210.00,3.36,Ala Carte & Value Meals,Regular
7,2022/07/18,Mon,Sri Lanka,Crispy Chicken Burger,420.00,1.17,Ala Carte & Value Meals,Regular
8,2022/07/18,Mon,Sri Lanka,Chicken Junior,560.00,1.55,Ala Carte & Value Meals,Regular
9,2022/07/18,Mon,Sri Lanka,Beefburger,740.00,2.05,Ala Carte & Value Meals,Regular
10,2022/07/18,Mon,Sri Lanka,Cheeseburger,850.00,2.36,Ala Carte & Value Meals,Regular
11,2022/07/18,Mon,Sri Lanka,Double Cheeseburger,1340.00,3.72,Ala Carte & Value Meals,Regular
12,2022/07/18,Mon,Sri Lanka,Big Mac,1340.00,3.72,Ala Carte & Value Meals,Regular
13,2022/07/18,Mon,Sri Lanka,McChicken Burger,1210.00,3.36,Ala Carte & Value Meals,Regular
14,2022/07/18,Mon,Sri Lanka,McSpicy Chicken Burger,890.00,2.47,Ala Carte & Value Meals,Regular
15,2022/07/18,Mon,Sri Lanka,Chicken Big Mac,1210.00,3.36,Ala Carte & Value Meals,Regular
16,2022/07/18,Mon,Sri Lanka,Chicken McNuggets 6 PC,1060.00,2.94,Ala Carte & Value Meals,Regular
17,2022/07/18,Mon,Sri Lanka,Chicken McNuggets 9 PC,1500.00,4.16,Ala Carte & Value Meals,Regular
18,2022/07/18,Mon,Sri Lanka,McSpicy Chicken Fillet,880.00,2.44,Ala Carte & Value Meals,Regular
19,2022/07/18,Mon,Sri Lanka,McSpicy Wings 3 PC,410.00,1.14,Ala Carte & Value Meals,Regular
20,2022/07/18,Mon,Sri Lanka,McSpicy Wings 6 PC,760.00,2.11,Ala Carte & Value Meals,Regular
21,2022/07/18,Mon,Sri Lanka,Filet-O-Fish,990.00,2.75,Ala Carte & Value Meals,Regular
22,2022/07/18,Mon,Sri Lanka,Veggie Burger,790.00,2.19,Ala Carte & Value Meals,Regular
23,2022/07/18,Mon,Sri Lanka,Sausage & Egg Burger,420.00,1.17,Breakfast & Value Meals,Breakfast
24,2022/07/18,Mon,Sri Lanka,Egg Burger,310.00,0.86,Breakfast & Value Meals,Breakfast
25,2022/07/18,Mon,Sri Lanka,Omelette Burger,330.00,0.92,Breakfast & Value Meals,Breakfast
26,2022/07/18,Mon,Sri Lanka,Hash Brown,240.00,0.67,Breakfast & Value Meals,Breakfast
27,2022/07/18,Mon,Sri Lanka,Crispy Chicken Wrap,600.00,1.67,Breakfast & Value Meals,Breakfast
28,2022/07/18,Mon,Sri Lanka,Crispy Chicken Burger,420.00,1.17,Breakfast & Value Meals,Breakfast
29,2022/07/18,Mon,Sri Lanka,Chicken Junior,560.00,1.55,Breakfast & Value Meals,Breakfast
30,2022/07/18,Mon,Sri Lanka,McSpicy Chicken Burger,890.00,2.47,Breakfast & Value Meals,Breakfast
31,2022/07/18,Mon,Sri Lanka,Double Chicken Rice meal,830.00,2.30,Rice,Regular
32,2022/07/18,Mon,Sri Lanka,Curry N Rice,400.00,1.11,Rice,Regular
33,2022/07/18,Mon,Sri Lanka,McRice,760.00,2.11,Rice,Regular
34,2022/07/18,Mon,Sri Lanka,McRice - Fish,760.00,2.11,Rice,Regular
35,2022/07/18,Mon,Sri Lanka,McRice - Vegetable,760.00,2.11,Rice,Regular
36,2022/07/18,Mon,Sri Lanka,Mini-Salad,400.00,1.11,Salads/Sides,Regular
37,2022/07/18,Mon,Sri Lanka,Fries,400.00,1.11,Salads/Sides,Regular
38,2022/07/18,Mon,Sri Lanka,Choco Chip McFlurry,570.00,1.58,Desserts,Regular
39,2022/07/18,Mon,Sri Lanka,OREO McFLURRY,660.00,1.83,Desserts,Regular
40,2022/07/18,Mon,Sri Lanka,Chocolate Sundae,450.00,1.25,Desserts,Regular
41,2022/07/18,Mon,Sri Lanka,Strawberry Sundae,470.00,1.30,Desserts,Regular
42,2022/07/18,Mon,Sri Lanka,Plain Sundae,410.00,1.14,Desserts,Regular
43,2022/07/18,Mon,Sri Lanka,Chocolate flavoured milk,150.00,0.42,Beverages,Regular
44,2022/07/18,Mon,Sri Lanka,Coke zero,210.00,0.58,Beverages,Regular
45,2022/07/18,Mon,Sri Lanka,Coke,260.00,0.72,Beverages,Regular
46,2022/07/18,Mon,Sri Lanka,Fanta,260.00,0.72,Beverages,Regular
47,2022/07/18,Mon,Sri Lanka,Sprite,260.00,0.72,Beverages,Regular
48,2022/07/18,Mon,Sri Lanka,Water,70.00,0.19,Beverages,Regular
49,2022/07/18,Mon,Sri Lanka,Happy Crispy Burger Meal,970.00,2.69,Happy Meals,Regular
50,2022/07/18,Mon,Sri Lanka,Happy Meal Rice - Chicken,880.00,2.44,Happy Meals,Regular
51,2022/07/18,Mon,Sri Lanka,Happy Meal Beef,970.00,2.69,Happy Meals,Regular
52,2022/07/18,Mon,Sri Lanka,Happy Meal Chicken Junior,970.00,2.69,Happy Meals,Regular
53,2022/07/18,Mon,Sri Lanka,Happy Meal Cheeseburger,1050.00,2.91,Happy Meals,Regular
54,2022/07/18,Mon,Sri Lanka,Happy Meal 4 Nugget,970.00,2.69,Happy Meals,Regular
55,2022/07/18,Mon,Sri Lanka,Share box Rice Bundles,5530.00,15.35,Promotion & Bundle Meals,Regular
56,2022/07/18,Mon,Sri Lanka,Share box Chicken Bundles,5520.00,15.32,Promotion & Bundle Meals,Regular
57,2022/07/18,Mon,Sri Lanka,Share box Beef Bundles,6490.00,18.01,Promotion & Bundle Meals,Regular
58,2022/07/18,Mon,Sri Lanka,Lunch Time Bundle,1200.00,3.33,Promotion & Bundle Meals,Regular
59,2022/07/18,Mon,Sri Lanka,Spicy Treat,1000.00,2.78,Promotion & Bundle Meals,Regular
60,2022/07/18,Mon,Sri Lanka,Fries,400.00,1.11,Salads/Sides,Breakfast
61,2022/07/18,Mon,Sri Lanka,Choco Chip McFlurry,570.00,1.58,Desserts,Breakfast
62,2022/07/18,Mon,Sri Lanka,OREO McFLURRY,660.00,1.83,Desserts,Breakfast
63,2022/07/18,Mon,Sri Lanka,Chocolate Sundae,450.00,1.25,Desserts,Breakfast
64,2022/07/18,Mon,Sri Lanka,Strawberry Sundae,470.00,1.30,Desserts,Breakfast
65,2022/07/18,Mon,Sri Lanka,Plain Sundae,410.00,1.14,Desserts,Breakfast
66,2022/07/18,Mon,Sri Lanka,Chocolate flavoured milk,150.00,0.42,Beverages,Breakfast
67,2022/07/18,Mon,Sri Lanka,Coke zero,210.00,0.58,Beverages,Breakfast
68,2022/07/18,Mon,Sri Lanka,Coke,260.00,0.72,Beverages,Breakfast
69,2022/07/18,Mon,Sri Lanka,Fanta,260.00,0.72,Beverages,Breakfast
70,2022/07/18,Mon,Sri Lanka,Sprite,260.00,0.72,Beverages,Breakfast
71,2022/07/18,Mon,Sri Lanka,Water,70.00,0.19,Beverages,Breakfast
72,2022/07/18,Mon,Sri Lanka,Happy Crispy Burger Meal,970.00,2.69,Happy Meals,Breakfast
73,2022/07/18,Mon,Sri Lanka,Happy Meal Chicken Junior,970.00,2.69,Happy Meals,Breakfast
