,Date,Day,Territory,Menu Item,Price (TWD),Price (USD),Category,Menu
1,2024/11/14,Thu,Taiwan,MDS ES Double Meal  (Drumsticks & thighs are distributed randomly),409.00,12.59,Promotion,Regular
2,2024/11/14,Thu,Taiwan,MDS ES Chicken Meal (Drumsticks & thighs are distributed randomly),384.00,11.82,Promotion,Regular
3,2024/11/14,Thu,Taiwan,MDS ES Champion Meal,394.00,12.13,Promotion,Regular
4,2024/11/14,Thu,Taiwan,MDS ES Angus Beef Meal,390.00,12.01,Promotion,Regular
5,2024/11/14,Thu,Taiwan,MDS ES Spicy Wings Meal,383.00,11.79,Promotion,Regular
6,2024/11/14,Thu,Taiwan,Spicy McNuggets mala flavormala flavor (10pcs) Meal,190.00,5.85,Promotion,Regular
7,2024/11/14,Thu,Taiwan,Spicy McNuggets mala flavormala flavor (6pcs) Meal,150.00,4.62,Promotion,Regular
8,2024/11/14,Thu,Taiwan,30pcs Mala McNuggets Happy Sharing Meal,359.00,11.05,Promotion,Regular
9,2024/11/14,Thu,Taiwan,Spicy McNuggets mala flavormala flavor & Chicken McCrispy Happy Sharing Meal (Original / Spicy) (Drumsticks & thighs are distributed randomly),580.00,17.86,Promotion,Regular
10,2024/11/14,Thu,Taiwan,20pcs Mala McNuggets Happy Sharing Meal,269.00,8.28,Promotion,Regular
11,2024/11/14,Thu,Taiwan,Colombia Single Origin (Hot),75.00,2.31,Promotion,Regular
12,2024/11/14,Thu,Taiwan,Colombia Single Origin Latte (Hot),95.00,2.93,Promotion,Regular
13,2024/11/14,Thu,Taiwan,Colombia Single Origin (Iced),75.00,2.31,Promotion,Regular
14,2024/11/14,Thu,Taiwan,Colombia Single Origin Latte (Iced),95.00,2.93,Promotion,Regular
15,2024/11/14,Thu,Taiwan,Sausage McGriddles Meal,113.00,3.48,Promotion,Breakfast
16,2024/11/14,Thu,Taiwan,Sausage McGriddles with Egg Meal,123.00,3.79,Promotion,Breakfast
17,2024/11/14,Thu,Taiwan,Egg McGriddles Meal,115.00,3.54,Promotion,Breakfast
18,2024/11/14,Thu,Taiwan,Breakfast  2 Burger Combo Meal,209.00,6.44,Promotion,Breakfast
19,2024/11/14,Thu,Taiwan,Colombia Single Origin (Hot),75.00,2.31,Promotion,Breakfast
20,2024/11/14,Thu,Taiwan,Colombia Single Origin Latte (Hot),95.00,2.93,Promotion,Breakfast
21,2024/11/14,Thu,Taiwan,Colombia Single Origin (Iced),75.00,2.31,Promotion,Breakfast
22,2024/11/14,Thu,Taiwan,Colombia Single Origin Latte (Iced),95.00,2.93,Promotion,Breakfast
23,2024/11/14,Thu,Taiwan,Spicy McNuggets mala flavormala flavor (6pcs) Meal,111.00,3.42,Promotion,Breakfast
24,2024/11/14,Thu,Taiwan,Spicy McNuggets mala flavormala flavor (10pcs) Meal,151.00,4.65,Promotion,Breakfast
25,2024/11/14,Thu,Taiwan,Spicy mala Grand Breakfast Meal,157.00,4.83,Promotion,Breakfast
26,2024/11/14,Thu,Taiwan,Spicy McNuggets mala flavormala flavor & Chicken McCrispy Happy Sharing Meal (Original / Spicy) (Drumsticks & thighs are distributed randomly),580.00,17.86,Happy Sharing Meal,Regular
27,2024/11/14,Thu,Taiwan,30pcs Mala McNuggets Happy Sharing Meal,359.00,11.05,Happy Sharing Meal,Regular
28,2024/11/14,Thu,Taiwan,20pcs Mala McNuggets Happy Sharing Meal,269.00,8.28,Happy Sharing Meal,Regular
29,2024/11/14,Thu,Taiwan,Chicken McNuggets & Chicken McCrispy Happy Sharing Meal (Original / Spicy) (Drumsticks & thighs are distributed randomly),580.00,17.86,Happy Sharing Meal,Regular
30,2024/11/14,Thu,Taiwan,Original Chicken McCrispy Happy Sharing Meal (Drumsticks & thighs are distributed randomly),490.00,15.09,Happy Sharing Meal,Regular
31,2024/11/14,Thu,Taiwan,30pcs Chicken McNuggets Happy Sharing Meal,359.00,11.05,Happy Sharing Meal,Regular
32,2024/11/14,Thu,Taiwan,Spicy Chicken Wings Happy Sharing Meal,319.00,9.82,Happy Sharing Meal,Regular
33,2024/11/14,Thu,Taiwan,20pcs Chicken McNuggets Happy Sharing Meal,269.00,8.28,Happy Sharing Meal,Regular
34,2024/11/14,Thu,Taiwan,2 Burger Combo Meal,319.00,9.82,Happy Sharing Meal,Regular
35,2024/11/14,Thu,Taiwan,Mushroom Crispy Chicken Burger,130.00,4.00,Signature,Regular
36,2024/11/14,Thu,Taiwan,Parmesan Angus Beef Burger,125.00,3.85,Signature,Regular
37,2024/11/14,Thu,Taiwan,Parmesan Crispy Chicken Burger,125.00,3.85,Signature,Regular
38,2024/11/14,Thu,Taiwan,BLT Angus Beef Burger,120.00,3.69,Signature,Regular
39,2024/11/14,Thu,Taiwan,BLT Grilled Chicken Burger,120.00,3.69,Signature,Regular
40,2024/11/14,Thu,Taiwan,Mushroom Angus Beef Burger,130.00,4.00,Signature,Regular
41,2024/11/14,Thu,Taiwan,Caesar Salad w/Spicy Chicken Filet,110.00,3.39,Signature,Regular
42,2024/11/14,Thu,Taiwan,Italian Grilled Chicken Salad,110.00,3.39,Signature,Regular
43,2024/11/14,Thu,Taiwan,Late Night Meal - Spicy McNuggets mala flavormala flavor (6pcs)+Chicken McCrispy (1pc) (Original / Spicy) (Drumsticks & thighs are distributed randomly),188.00,5.79,late night item (22:00-03:00),Regular
44,2024/11/14,Thu,Taiwan,Late Night Meal - Chicken McNuggets (10pcs) + Chicken McCrispy (2pcs) (Original / Spicy)(Drumsticks & thighs are distributed randomly),288.00,8.87,late night item (22:00-03:00),Regular
