,Date,Day,Territory,Menu Item,Price (TWD),Price (USD),Category,Menu
1,2024/08/21,Wed,Taiwan,McFlurry-Bubble Milk Tea,69.00,2.16,Promotion,Regular
2,2024/08/21,Wed,Taiwan,Breakfast  2 Burger Combo Meal,209.00,6.55,Promotion,Breakfast
3,2024/08/21,Wed,Taiwan,Chicken McNuggets & Chicken McCrispy Happy Sharing Meal (Original / Spicy) (Drumsticks & thighs are distributed randomly),580.00,18.18,Happy Sharing Meal,Regular
4,2024/08/21,Wed,Taiwan,Original Chicken McCrispy Happy Sharing Meal (Drumsticks & thighs are distributed randomly),490.00,15.35,Happy Sharing Meal,Regular
5,2024/08/21,Wed,Taiwan,30pcs Chicken McNuggets Happy Sharing Meal,359.00,11.25,Happy Sharing Meal,Regular
6,2024/08/21,Wed,Taiwan,Spicy Chicken Wings Happy Sharing Meal,319.00,10.00,Happy Sharing Meal,Regular
7,2024/08/21,Wed,Taiwan,20pcs Chicken McNuggets Happy Sharing Meal,269.00,8.43,Happy Sharing Meal,Regular
8,2024/08/21,Wed,Taiwan,2 Burger Combo Meal,319.00,10.00,Happy Sharing Meal,Regular
9,2024/08/21,Wed,Taiwan,Mushroom Crispy Chicken Burger,130.00,4.07,Signature,Regular
10,2024/08/21,Wed,Taiwan,Parmesan Angus Beef Burger,125.00,3.92,Signature,Regular
11,2024/08/21,Wed,Taiwan,Parmesan Crispy Chicken Burger,125.00,3.92,Signature,Regular
12,2024/08/21,Wed,Taiwan,BLT Angus Beef Burger,120.00,3.76,Signature,Regular
13,2024/08/21,Wed,Taiwan,BLT Grilled Chicken Burger,120.00,3.76,Signature,Regular
14,2024/08/21,Wed,Taiwan,Mushroom Angus Beef Burger,130.00,4.07,Signature,Regular
15,2024/08/21,Wed,Taiwan,Caesar Salad w/Spicy Chicken Filet,110.00,3.45,Signature,Regular
16,2024/08/21,Wed,Taiwan,Italian Grilled Chicken Salad,110.00,3.45,Signature,Regular
17,2024/08/21,Wed,Taiwan,Late Night Meal - Chicken McNuggets (10pcs) + Chicken McCrispy (2pcs) (Original / Spicy)(Drumsticks & thighs are distributed randomly),288.00,9.02,late night item (22:00-03:00),Regular
18,2024/08/21,Wed,Taiwan,Late Night Meal - Chicken McNuggets (6pcs)+Chicken McCrispy (1pc) (Original / Spicy) (Drumsticks & thighs are distributed randomly),188.00,5.89,late night item (22:00-03:00),Regular
19,2024/08/21,Wed,Taiwan,Late Night Meal –Chicken McNuggets (12pcs),188.00,5.89,late night item (22:00-03:00),Regular
20,2024/08/21,Wed,Taiwan,Filet-O-Fish,60.00,1.88,Ala Carte & Value Meals,Regular
21,2024/08/21,Wed,Taiwan,Double Classic Angus Beef Burger,135.00,4.23,Ala Carte & Value Meals,Regular
22,2024/08/21,Wed,Taiwan,Classic Angus Beef Burger,90.00,2.82,Ala Carte & Value Meals,Regular
23,2024/08/21,Wed,Taiwan,Big Mac,80.00,2.51,Ala Carte & Value Meals,Regular
24,2024/08/21,Wed,Taiwan,Double Cheeseburger,75.00,2.35,Ala Carte & Value Meals,Regular
25,2024/08/21,Wed,Taiwan,Grilled BBQ Chicken Burger,80.00,2.51,Ala Carte & Value Meals,Regular
26,2024/08/21,Wed,Taiwan,Original / Spicy Chicken McCrispy (2pcs) (Drumsticks &thighs are distributed randomly),125.00,3.92,Ala Carte & Value Meals,Regular
27,2024/08/21,Wed,Taiwan,Chicken McNuggets (10pcs),109.00,3.42,Ala Carte & Value Meals,Regular
