,Date,Day,Territory,Menu Item,Price (FJD),Price (USD),Category,Menu
1,2024/01/25,Thu,Fiji,10pk McNuggets (S/R),16.35,7.22,Chicken Mcvalue Meals,Regular
2,2024/01/25,Thu,Fiji,Big Mac (S/R) -Beef,14.55,6.42,Classic McValue Meals,Regular
3,2024/01/25,Thu,Fiji,Cheeseburger (S/R) - Beef,10.95,4.83,Classic McValue Meals,Regular
4,2024/01/25,Thu,Fiji,Filet-O-Fish (S/R),12.15,5.36,Classic McValue Meals,Regular
5,2024/01/25,Thu,Fiji,Double Cheeseburger (S/R) - Beef,13.95,6.16,Classic McValue Meals,Regular
6,2024/01/25,Thu,Fiji,Salad Burger (S/R),10.95,4.83,Classic McValue Meals,Regular
7,2024/01/25,Thu,Fiji,McChicken (S/R),14.35,6.33,Chicken Mcvalue Meals,Regular
8,2024/01/25,Thu,Fiji,2pc Hot And Spicy (S/R),14.15,6.24,Chicken Mcvalue Meals,Regular
9,2024/01/25,Thu,Fiji,3pc Hot And Spicy (S/R),19.10,8.43,Chicken Mcvalue Meals,Regular
10,2024/01/25,Thu,Fiji,5pc Hot And Spicy (S/R),27.70,12.22,Chicken Mcvalue Meals,Regular
11,2024/01/25,Thu,Fiji,6pk McNuggets (S/R),13.50,5.96,Chicken Mcvalue Meals,Regular
12,2024/01/25,Thu,Fiji,Chicken Aioli McWrap (S/R),13.95,6.16,Chicken Mcvalue Meals,Regular
13,2024/01/25,Thu,Fiji,Cheeseburger Happy Meal (Beef),12.65,5.58,Happy Meals,Regular
14,2024/01/25,Thu,Fiji,Junior Burger Happy Meal (Beef),12.65,5.58,Happy Meals,Regular
15,2024/01/25,Thu,Fiji,4pk Chicken McNuggets Happy Meal,12.65,5.58,Happy Meals,Regular
16,2024/01/25,Thu,Fiji,Big Mac (Beef),10.15,4.48,Classic Favourites,Regular
17,2024/01/25,Thu,Fiji,Cheeseburger (Beef),6.55,2.89,Classic Favourites,Regular
18,2024/01/25,Thu,Fiji,Filet-O-Fish,7.65,3.38,Classic Favourites,Regular
19,2024/01/25,Thu,Fiji,Double Cheeseburger (Beef),10.25,4.52,Classic Favourites,Regular
20,2024/01/25,Thu,Fiji,Salad Burger,7.45,3.29,Classic Favourites,Regular
21,2024/01/25,Thu,Fiji,Vege McWrap,9.85,4.35,Classic Favourites,Regular
22,2024/01/25,Thu,Fiji,3pc Hot And Spicy Chicken,15.15,6.69,Chicken Favourites,Regular
23,2024/01/25,Thu,Fiji,5pc Hot And Spicy Chicken,24.25,10.70,Chicken Favourites,Regular
24,2024/01/25,Thu,Fiji,6pk McNuggets,7.95,3.51,Chicken Favourites,Regular
25,2024/01/25,Thu,Fiji,10pk McNuggets,11.95,5.27,Chicken Favourites,Regular
26,2024/01/25,Thu,Fiji,Chicken Aioli McWrap,10.95,4.83,Chicken Favourites,Regular
27,2024/01/25,Thu,Fiji,McChicken,9.75,4.30,Chicken Favourites,Regular
28,2024/01/25,Thu,Fiji,Sweet And Sour Sauce,0.50,0.22,Sides And Condiments,Regular
29,2024/01/25,Thu,Fiji,Ketchup Packet,0.25,0.11,Sides And Condiments,Regular
30,2024/01/25,Thu,Fiji,Mayonnaise Packet,0.50,0.22,Sides And Condiments,Regular
31,2024/01/25,Thu,Fiji,Fries (S/R),4.15,1.83,Sides And Condiments,Regular
32,2024/01/25,Thu,Fiji,McCafe Iced Lemon Tea,7.75,3.42,McCafe Drinks,Regular
33,2024/01/25,Thu,Fiji,McCafe Iced Mango Tea,7.75,3.42,McCafe Drinks,Regular
34,2024/01/25,Thu,Fiji,McCafe Iced Peach Tea,7.75,3.42,McCafe Drinks,Regular
35,2024/01/25,Thu,Fiji,Sweet Thai Chili Sauce,1.00,0.44,Promotions,Regular
36,2024/01/25,Thu,Fiji,Garlic Aioli Sauce,1.00,0.44,Promotions,Regular
37,2024/01/25,Thu,Fiji,Sweet Potato Fries w/ garlic aioli sauce,6.95,3.07,Promotions,Regular
38,2024/01/25,Thu,Fiji,Potato Pancakes x 2,2.65,1.17,Promotions,Regular
39,2024/01/25,Thu,Fiji,10pk No Chicken Nuggets,14.95,6.60,Promotions,Regular
40,2024/01/25,Thu,Fiji,10pk No Chicken Nuggets Meal,17.95,7.92,Promotions,Regular
41,2024/01/25,Thu,Fiji,6pk No Chicken Nuggets,9.95,4.39,Promotions,Regular
42,2024/01/25,Thu,Fiji,6pk No Chicken Nuggets Meal,13.95,6.16,Promotions,Regular
