,Date,Day,Territory,Menu Item,Price (MYR),Price (USD),Category,Menu
83,2024/07/14,Sun,Malaysia,Iced Mocha,10.85,2.32,McCafe Drinks,Regular
84,2024/07/14,Sun,Malaysia,Ice Blended Mocha,13.68,2.93,McCafe Drinks,Regular
85,2024/07/14,Sun,Malaysia,Ice Blended Mango Peach,10.28,2.20,McCafe Drinks,Regular
86,2024/07/14,Sun,Malaysia,Belgium Chocolate + McCafé Drink,15.08,3.23,McCafe Drinks,Regular
87,2024/07/14,Sun,Malaysia,Red Velvet Cake + McCafé Drink,15.08,3.23,McCafe Drinks,Regular
88,2024/07/14,Sun,Malaysia,Classic Cheesecake + McCafé Drink,16.03,3.43,McCafe Drinks,Regular
89,2024/07/14,Sun,Malaysia,Belgium Chocolate Cake,13.11,2.81,McCafe Cakes,Regular
90,2024/07/14,Sun,Malaysia,Red Velvet Cake,13.11,2.81,McCafe Cakes,Regular
91,2024/07/14,Sun,Malaysia,Classic Cheesecake,13.11,2.81,McCafe Cakes,Regular
92,2024/07/14,Sun,Malaysia,Belgium Chocolate + McCafé Drink,15.08,3.23,McCafe Cakes,Regular
93,2024/07/14,Sun,Malaysia,Red Velvet Cake + McCafé Drink,15.08,3.23,McCafe Cakes,Regular
94,2024/07/14,Sun,Malaysia,Classic Cheesecake + McCafé Drink,16.03,3.43,McCafe Cakes,Regular
95,2024/07/14,Sun,Malaysia,Chocolate Sundae & Chocolate,6.04,1.29,Desserts & Sides,Regular
96,2024/07/14,Sun,Malaysia,Chocolate Sundae & Strawberry,6.04,1.29,Desserts & Sides,Regular
97,2024/07/14,Sun,Malaysia,Banana Pie,5.57,1.19,Desserts & Sides,Regular
98,2024/07/14,Sun,Malaysia,Strawberry Chocolate Pie,6.04,1.29,Desserts & Sides,Regular
99,2024/07/14,Sun,Malaysia,Gula Melaka OREO® McFlurry™,8.40,1.80,Desserts & Sides,Regular
100,2024/07/14,Sun,Malaysia,Apple Pie,4.95,1.06,Desserts & Sides,Regular
101,2024/07/14,Sun,Malaysia,OREO® McFlurry™,7.78,1.67,Desserts & Sides,Regular
102,2024/07/14,Sun,Malaysia,Chocolate Sundae,5.90,1.26,Desserts & Sides,Regular
103,2024/07/14,Sun,Malaysia,Strawberry Sundae,5.90,1.26,Desserts & Sides,Regular
104,2024/07/14,Sun,Malaysia,French Fries,6.32,1.35,Desserts & Sides,Regular
105,2024/07/14,Sun,Malaysia,Corn,5.38,1.15,Desserts & Sides,Regular
106,2024/07/14,Sun,Malaysia,Orange McFizz™,6.70,1.44,Drinks,Regular
107,2024/07/14,Sun,Malaysia,Hot MILO®,5.66,1.21,Drinks,Regular
108,2024/07/14,Sun,Malaysia,Hot Tea,5.47,1.17,Drinks,Regular
109,2024/07/14,Sun,Malaysia,MILO®,7.83,1.68,Drinks,Regular
110,2024/07/14,Sun,Malaysia,Hot Teh Tarik,5.47,1.17,Drinks,Regular
111,2024/07/14,Sun,Malaysia,Coca-Cola®,5.47,1.17,Drinks,Regular
112,2024/07/14,Sun,Malaysia,100 Plus,5.47,1.17,Drinks,Regular
113,2024/07/14,Sun,Malaysia,Sprite®,5.47,1.17,Drinks,Regular
114,2024/07/14,Sun,Malaysia,Iced Lemon Tea,6.89,1.48,Drinks,Regular
115,2024/07/14,Sun,Malaysia,Minute Maid® Orange Juice,7.83,1.68,Drinks,Regular
116,2024/07/14,Sun,Malaysia,Drinking water,4.72,1.01,Drinks,Regular
117,2024/07/14,Sun,Malaysia,Barbecue Sauce,0.94,0.20,Condiments,Regular
118,2024/07/14,Sun,Malaysia,Sweet&Sour Sauce,0.94,0.20,Condiments,Regular
119,2024/07/14,Sun,Malaysia,McChicken® Sauce,0.94,0.20,Condiments,Regular
120,2024/07/14,Sun,Malaysia,Sambal,0.94,0.20,Condiments,Regular
121,2024/07/14,Sun,Malaysia,Omelette Wrap with Hash Browns & Chicken Sausage,10.33,2.21,Omelette Wrap with Hash Browns,Breakfast
122,2024/07/14,Sun,Malaysia,Omelette Wrap with Hash Browns & Crispy Chicken,10.33,2.21,Omelette Wrap with Hash Browns,Breakfast
123,2024/07/14,Sun,Malaysia,Big Breakfast™,12.64,2.71,McMuffins & Scrambled Egg,Breakfast
124,2024/07/14,Sun,Malaysia,2 pcs Hotcakes™,11.27,2.41,McMuffins & Scrambled Egg,Breakfast
125,2024/07/14,Sun,Malaysia,Omelette Cheese Muffin,7.41,1.59,McMuffins & Scrambled Egg,Breakfast
126,2024/07/14,Sun,Malaysia,Sausage & Omelette Cheese Muffin,8.35,1.79,McMuffins & Scrambled Egg,Breakfast
127,2024/07/14,Sun,Malaysia,Crispy Chicken Muffin,8.44,1.81,McMuffins & Scrambled Egg,Breakfast
128,2024/07/14,Sun,Malaysia,Crispy Chicken Muffin with Egg,9.39,2.01,McMuffins & Scrambled Egg,Breakfast
129,2024/07/14,Sun,Malaysia,Sausage McMuffin™,7.50,1.61,McMuffins & Scrambled Egg,Breakfast
130,2024/07/14,Sun,Malaysia,Sausage McMuffin™ with Egg,8.44,1.81,McMuffins & Scrambled Egg,Breakfast
131,2024/07/14,Sun,Malaysia,Sausage & Scrambled Egg Sandwich,8.63,1.85,McMuffins & Scrambled Egg,Breakfast
132,2024/07/14,Sun,Malaysia,Crispy Chicken & Scrambled Egg Sandwich,8.63,1.85,McMuffins & Scrambled Egg,Breakfast
133,2024/07/14,Sun,Malaysia,Scrambled Egg Sandwich,7.69,1.65,McMuffins & Scrambled Egg,Breakfast
134,2024/07/14,Sun,Malaysia,Nasi Lemak McD™,8.02,1.72,Nasi Lemak & Bubur,Breakfast
135,2024/07/14,Sun,Malaysia,Nasi Lemak McD™ + Ayam Goreng Spicy (1pc),13.77,2.95,Nasi Lemak & Bubur,Breakfast
136,2024/07/14,Sun,Malaysia,Bubur Ayam McD™ (Medium),8.68,1.86,Nasi Lemak & Bubur,Breakfast
137,2024/07/14,Sun,Malaysia,Bubur Ayam McD™ (Small),7.26,1.56,Nasi Lemak & Bubur,Breakfast
138,2024/07/14,Sun,Malaysia,Mekdi Lunch Box,25.00,5.35,Parties@Home 10am-11am,Breakfast
139,2024/07/14,Sun,Malaysia,Sausage McMuffin™,11.13,2.38,Happy Meals,Breakfast
140,2024/07/14,Sun,Malaysia,2 pcs Hotcakes™,11.13,2.38,Happy Meals,Breakfast
141,2024/07/14,Sun,Malaysia,Bubur Ayam McD™,11.13,2.38,Happy Meals,Breakfast
142,2024/07/14,Sun,Malaysia,Ice Blended Lychee Berry,10.28,2.20,McCafe Drinks,Breakfast
