,Date,Day,Territory,Menu Item,Price (BND),Price (USD),Category
1,2022/08/31,Wed,Brunei,Big Mac (Value Meal) — Medium,6.50,4.66,Regular Value Meal
2,2022/08/31,Wed,Brunei,Big Mac (Value Meal) — Large,7.10,5.09,Regular Value Meal
3,2022/08/31,Wed,Brunei,Double Cheeseburger (Value Meal) — Medium,6.20,4.45,Regular Value Meal
4,2022/08/31,Wed,Brunei,Double Cheeseburger (Value Meal) — Large,6.80,4.88,Regular Value Meal
5,2022/08/31,Wed,Brunei,Spicy Chicken McDeluxe (Value Meal) — Medium,6.80,4.88,Regular Value Meal
6,2022/08/31,Wed,Brunei,Spicy Chicken McDeluxe (Value Meal) — Large,7.40,5.31,Regular Value Meal
7,2022/08/31,Wed,Brunei,2 Pcs Ayam Goreng Regular (Value Meal) — Medium,6.30,4.52,Regular Value Meal
8,2022/08/31,Wed,Brunei,2 Pcs Ayam Goreng Regular (Value Meal) — Large,6.90,4.95,Regular Value Meal
9,2022/08/31,Wed,Brunei,2 Pcs Ayam Goreng Spicy (Value Meal) — Medium,6.30,4.52,Regular Value Meal
10,2022/08/31,Wed,Brunei,2 Pcs Ayam Goreng Spicy (Value Meal) — Large,6.90,4.95,Regular Value Meal
11,2022/08/31,Wed,Brunei,Filet-O-Fish (Value Meal) — Medium,5.60,4.02,Regular Value Meal
12,2022/08/31,Wed,Brunei,Filet-O-Fish (Value Meal) — Large,6.20,4.45,Regular Value Meal
13,2022/08/31,Wed,Brunei,1 Pc Fish and Fries (Value Meal) — Large,5.80,4.16,Regular Value Meal
14,2022/08/31,Wed,Brunei,2 Pcs Fish and Fries (Value Meal) — Large,7.40,5.31,Regular Value Meal
15,2022/08/31,Wed,Brunei,6 Pcs Fish Nuggets (Value Meal) — Medium,5.80,4.16,Regular Value Meal
16,2022/08/31,Wed,Brunei,6 Pcs Fish Nuggets (Value Meal) — Large,6.40,4.59,Regular Value Meal
17,2022/08/31,Wed,Brunei,Nasi Lemak Set A (2 Pcs Chicken),6.70,4.80,Regular Value Meal
18,2022/08/31,Wed,Brunei,Nasi Lemak Set B (1 Pc Chicken),5.20,3.73,Regular Value Meal
19,2022/08/31,Wed,Brunei,Nasi Lemak Set C,3.50,2.51,Regular Value Meal
20,2022/08/31,Wed,Brunei,Big Mac (A La Carte),5.50,3.94,Regular Value Meal
21,2022/08/31,Wed,Brunei,Double Cheeseburger (A La Carte),5.10,3.66,Regular Value Meal
22,2022/08/31,Wed,Brunei,Spicy Chicken McDeluxe (A La Carte),5.60,4.02,Regular Value Meal
23,2022/08/31,Wed,Brunei,2 Pcs Ayam Goreng Regular (A La Carte),5.30,3.80,Regular Value Meal
24,2022/08/31,Wed,Brunei,2 Pcs Ayam Goreng Spicy (A La Carte),5.30,3.80,Regular Value Meal
25,2022/08/31,Wed,Brunei,Filet-O-Fish (A La Carte),3.80,2.73,Regular Value Meal
26,2022/08/31,Wed,Brunei,1 Pc Fish and Fries (A La Carte),3.80,2.73,Regular Value Meal
27,2022/08/31,Wed,Brunei,2 Pcs Fish and Fries (A La Carte),5.50,3.94,Regular Value Meal
28,2022/08/31,Wed,Brunei,6 Pcs Fish Nuggets (A La Carte),4.30,3.08,Regular Value Meal
29,2022/08/31,Wed,Brunei,Chicken Sandwich (A La Carte),3.60,2.58,Regular Value Meal
30,2022/08/31,Wed,Brunei,Chicken Sandwich (Value Meal) — Medium,5.50,3.94,Regular Value Meal
31,2022/08/31,Wed,Brunei,Chicken Sandwich (Value Meal) — Large,6.10,4.37,Regular Value Meal
32,2022/08/31,Wed,Brunei,Chicken McNuggets — 6 Pieces - A la carte,4.60,3.30,Regular Value Meal
33,2022/08/31,Wed,Brunei,Chicken McNuggets — 6 Pieces - Medium Value Meal,6.10,4.37,Regular Value Meal
34,2022/08/31,Wed,Brunei,Happy Meal Cheeseburger,5.20,3.73,Happy Meal
35,2022/08/31,Wed,Brunei,Happy Meal Beefburger,4.90,3.51,Happy Meal
36,2022/08/31,Wed,Brunei,Happy Meal Fish Nuggets (4pcs),5.20,3.73,Happy Meal
37,2022/08/31,Wed,Brunei,Happy Meal Bubur McD (S),5.20,3.73,Happy Meal
38,2022/08/31,Wed,Brunei,Happy Meal Ayam Goreng McD (1pc),5.20,3.73,Happy Meal
39,2022/08/31,Wed,Brunei,6 Pcs Fish Nuggets,4.30,3.08,Sides
40,2022/08/31,Wed,Brunei,9 Pcs Fish Nuggets,6.00,4.30,Sides
41,2022/08/31,Wed,Brunei,20 Pcs Fish Nuggets,11.90,8.53,Sides
42,2022/08/31,Wed,Brunei,2pcs Ayam Goreng McD,5.30,3.80,Sides
43,2022/08/31,Wed,Brunei,5pcs Ayam Goreng McD,12.00,8.61,Sides
44,2022/08/31,Wed,Brunei,9pcs Ayam Goreng McD,21.80,15.63,Sides
45,2022/08/31,Wed,Brunei,Rice,0.80,0.57,Sides
46,2022/08/31,Wed,Brunei,BBQ Dipping Sauce,0.50,0.36,Sides
47,2022/08/31,Wed,Brunei,Cakoi — 1 Pc,1.50,1.08,Sides
48,2022/08/31,Wed,Brunei,Cakoi — 2 Pc,2.80,2.01,Sides
49,2022/08/31,Wed,Brunei,Sundae Chocolate,2.50,1.79,Dessert
50,2022/08/31,Wed,Brunei,Sundae Strawberry,2.50,1.79,Dessert
51,2022/08/31,Wed,Brunei,Oreo Berry McFlurry,4.00,2.87,Dessert
52,2022/08/31,Wed,Brunei,Oreo Mudpie McFlurry,4.00,2.87,Dessert
53,2022/08/31,Wed,Brunei,Oreo McFlurry,3.50,2.51,Dessert
54,2022/08/31,Wed,Brunei,Greentea Oreo McFlurry,4.00,2.87,Dessert
55,2022/08/31,Wed,Brunei,Apple Pie — 1 Pc,1.80,1.29,Dessert
56,2022/08/31,Wed,Brunei,Apple Pie — 2 Pc,3.30,2.37,Dessert
57,2022/08/31,Wed,Brunei,Dinosaur McFlurry — Regular,3.50,2.51,Dinosaur McFlurry
58,2022/08/31,Wed,Brunei,Kam Heong Fish — Ala Carte,6.20,4.45,Promotion : Spicy Kam Heong
59,2022/08/31,Wed,Brunei,Kam Heong Fish — Medium,7.20,5.16,Promotion : Spicy Kam Heong
60,2022/08/31,Wed,Brunei,Kam Heong Fish — Large,7.80,5.59,Promotion : Spicy Kam Heong
61,2022/08/31,Wed,Brunei,Double Kam Heong Fish — Ala Carte,7.30,5.23,Promotion : Spicy Kam Heong
62,2022/08/31,Wed,Brunei,Double Kam Heong Fish — Medium,8.30,5.95,Promotion : Spicy Kam Heong
63,2022/08/31,Wed,Brunei,Double Kam Heong Fish — Large,8.90,6.38,Promotion : Spicy Kam Heong
64,2022/08/31,Wed,Brunei,2 Large Value Meal Kam Heong Fish,12.50,8.96,Delivery Special Deal!
