,Date,Day,Territory,Menu Item,Price (PHP),Price (USD),Category,Menu
1,2023/11/14,Tue,Philippines,McSpaghetti Platter,199.00,3.55,McDelivery Exclusives,Regular
2,2023/11/14,Tue,Philippines,20-pc. Chicken McNuggets Bundle,495.00,8.83,McDelivery Exclusives,Regular
3,2023/11/14,Tue,Philippines,6-pc. Chicken McShare Box,399.00,7.12,McDelivery Exclusives,All Day
4,2023/11/14,Tue,Philippines,8-pc Chicken McShare Box,519.00,9.26,McDelivery Exclusives,All Day
5,2023/11/14,Tue,Philippines,Big Mac Meal,271.00,4.84,McDelivery Exclusives,Regular
6,2023/11/14,Tue,Philippines,Double Big Mac Meal,331.00,5.91,McDelivery Exclusives,Regular
7,2023/11/14,Tue,Philippines,Triple Cheeseburger Meal,273.00,4.87,McDelivery Exclusives,Regular
8,2023/11/14,Tue,Philippines,Double McChicken Meal,248.00,4.43,McDelivery Exclusives,Regular
9,2023/11/14,Tue,Philippines,Mega Meal - Chicken McDo w/ Fries & Burger McDo,221.00,3.94,McDelivery Exclusives,Breakfast
10,2023/11/14,Tue,Philippines,Mega Meal - Chicken McDo w/ Fries & McFlurry,223.00,3.98,McDelivery Exclusives,All Day
11,2023/11/14,Tue,Philippines,The BCB Meal,264.00,4.71,McDelivery Exclusives,Regular
12,2023/11/14,Tue,Philippines,Twister Fries Regular,98.00,1.75,Featured,All Day
13,2023/11/14,Tue,Philippines,Twister Fries Sharing,221.00,3.94,Featured,All Day
14,2023/11/14,Tue,Philippines,1-pc. Chicken McDo w/ Rice & Coke McFloat Meal,156.00,2.78,Featured,All Day
15,2023/11/14,Tue,Philippines,Snack Burger McShare,380.00,6.78,Featured,Regular
16,2023/11/14,Tue,Philippines,BFF Fries N' McFloat Combo,282.00,5.03,Featured,Regular
17,2023/11/14,Tue,Philippines,McShare Bundle for 3,612.00,10.92,Featured,All Day
18,2023/11/14,Tue,Philippines,McShare Bundle for 4,842.00,15.03,Featured,All Day
19,2023/11/14,Tue,Philippines,Big Breakfast Meal,182.00,3.25,Featured,Breakfast
20,2023/11/14,Tue,Philippines,Sausage McMuffin w/ Egg Meal,170.00,3.03,Featured,Breakfast
21,2023/11/14,Tue,Philippines,Egg McMuffin Meal,160.00,2.86,Featured,Breakfast
22,2023/11/14,Tue,Philippines,2-pc. Hotcakes & Sausage Meal,174.00,3.11,Featured,Breakfast
23,2023/11/14,Tue,Philippines,Longganisa w/ Egg Meal,190.00,3.39,Featured,Breakfast
24,2023/11/14,Tue,Philippines,Big Mac and Twister Fries Meal,291.00,5.19,Featured,Regular
25,2023/11/14,Tue,Philippines,1-pc. Chicken McDo w/ Double Rice Small Meal,155.00,2.77,Featured,All Day
26,2023/11/14,Tue,Philippines,McSpaghetti Platter,199.00,3.55,Group Meals,Regular
27,2023/11/14,Tue,Philippines,20-pc. Chicken McNuggets,350.00,6.25,Group Meals,Regular
28,2023/11/14,Tue,Philippines,Snack Burger McShare,380.00,6.78,Group Meals,Regular
29,2023/11/14,Tue,Philippines,20-pc. Chicken McNuggets Bundle,495.00,8.83,Group Meals,Regular
30,2023/11/14,Tue,Philippines,BFF Fries N' McFloat Combo,282.00,5.03,Group Meals,Regular
31,2023/11/14,Tue,Philippines,BFF Shake Shake Fries BBQ N' McFloat Combo,284.00,5.07,Group Meals,All Day
32,2023/11/14,Tue,Philippines,BFF Shake Shake Fries Cheese N' McFloat Combo,284.00,5.07,Group Meals,All Day
33,2023/11/14,Tue,Philippines,McShare Bundle for 3,612.00,10.92,Group Meals,All Day
34,2023/11/14,Tue,Philippines,McShare Bundle for 4,842.00,15.03,Group Meals,All Day
35,2023/11/14,Tue,Philippines,10-pc. Chicken McNuggets,175.00,3.12,Group Meals,Regular
36,2023/11/14,Tue,Philippines,6-pc. Chicken McShare Box,399.00,7.12,Group Meals,All Day
37,2023/11/14,Tue,Philippines,8-pc Chicken McShare Box,519.00,9.26,Group Meals,All Day
38,2023/11/14,Tue,Philippines,1-pc. Chicken McDo w/ Rice & Coke McFloat Meal,156.00,2.78,Chicken,All Day
39,2023/11/14,Tue,Philippines,20-pc. Chicken McNuggets,350.00,6.25,Chicken,Regular
40,2023/11/14,Tue,Philippines,20-pc. Chicken McNuggets Bundle,495.00,8.83,Chicken,Regular
41,2023/11/14,Tue,Philippines,10-pc. Chicken McNuggets,175.00,3.12,Chicken,Regular
42,2023/11/14,Tue,Philippines,6-pc. Chicken McNuggets,99.00,1.77,Chicken,Regular
43,2023/11/14,Tue,Philippines,Mega Meal - Spicy Chicken McDo w/ Rice & McSpaghetti,219.00,3.91,Chicken,Regular
44,2023/11/14,Tue,Philippines,6-pc. Chicken McNuggets w/ Rice Meal,182.00,3.25,Chicken,Regular
45,2023/11/14,Tue,Philippines,1-pc. Chicken McDo & Fries Meal,176.00,3.14,Chicken,All Day
46,2023/11/14,Tue,Philippines,1-pc. Spicy Chicken McDo & Fries Meal,182.00,3.25,Chicken,All Day
47,2023/11/14,Tue,Philippines,McCrispy Chicken Fillet w/ Fries Meal,156.00,2.78,Chicken,All Day
48,2023/11/14,Tue,Philippines,McCrispy Chicken Fillet Ala King w/ Fries Meal,163.00,2.91,Chicken,All Day
49,2023/11/14,Tue,Philippines,6-pc. Chicken McNuggets w/ Fries Meal,203.00,3.62,Chicken,Regular
50,2023/11/14,Tue,Philippines,Mega Meal - Chicken McDo w/ Fries & Burger McDo,221.00,3.94,Chicken,Breakfast
51,2023/11/14,Tue,Philippines,Mega Meal - Chicken McDo w/ Fries & McFlurry,223.00,3.98,Chicken,All Day
52,2023/11/14,Tue,Philippines,Mega Meal - Spicy Chicken McDo w/ Fries & McFlurry,227.00,4.05,Chicken,Regular
53,2023/11/14,Tue,Philippines,Mega Meal - Spicy Chicken McDo w/ Fries & Burger McDo,225.00,4.02,Chicken,All Day
54,2023/11/14,Tue,Philippines,2-pc. Chicken McDo & Fries Meal,281.00,5.02,Chicken,All Day
55,2023/11/14,Tue,Philippines,2-pc. Spicy Chicken McDo & Fries Meal,293.00,5.23,Chicken,All Day
56,2023/11/14,Tue,Philippines,1-pc. Chicken McDo w/ McSpaghetti & Fries Meal,251.00,4.48,Chicken,Regular
57,2023/11/14,Tue,Philippines,1-pc. Spicy Chicken McDo w/ McSpaghetti & Fries Meal,257.00,4.59,Chicken,Regular
58,2023/11/14,Tue,Philippines,1-pc. Chicken McDo w/ Double Rice Small Meal,155.00,2.77,Chicken,All Day
59,2023/11/14,Tue,Philippines,Big Mac Meal,271.00,4.84,Burgers,Regular
60,2023/11/14,Tue,Philippines,Burger McDo Meal,143.00,2.55,Burgers,All Day
61,2023/11/14,Tue,Philippines,Cheeseburger Meal,173.00,3.09,Burgers,Regular
62,2023/11/14,Tue,Philippines,Double Cheeseburger Meal,227.00,4.05,Burgers,Regular
63,2023/11/14,Tue,Philippines,McChicken Meal,215.00,3.84,Burgers,Regular
64,2023/11/14,Tue,Philippines,Quarter Pounder w/ Cheese Meal,271.00,4.84,Burgers,Regular
65,2023/11/14,Tue,Philippines,Double Big Mac Meal,331.00,5.91,Burgers,Regular
66,2023/11/14,Tue,Philippines,Double Quarter Pounder w/ Cheese Meal,327.00,5.84,Burgers,Regular
67,2023/11/14,Tue,Philippines,Triple Cheeseburger Meal,273.00,4.87,Burgers,Regular
68,2023/11/14,Tue,Philippines,Double McChicken Meal,248.00,4.43,Burgers,Regular
69,2023/11/14,Tue,Philippines,McCrispy Chicken Sandwich Meal,160.00,2.86,Burgers,All Day
70,2023/11/14,Tue,Philippines,The BCB Meal,264.00,4.71,Burgers,Regular
71,2023/11/14,Tue,Philippines,Burger McDo w/ Lettuce & Tomatoes Meal,178.00,3.18,Burgers,Regular
72,2023/11/14,Tue,Philippines,McCrispy Chicken Sandwich w/ Lettuce & Tomatoes Meal,195.00,3.48,Burgers,Regular
73,2023/11/14,Tue,Philippines,Double Cheeseburger w/ Lettuce & Tomatoes Meal,262.00,4.68,Burgers,Regular
74,2023/11/14,Tue,Philippines,"Quarter Pounder w/ Cheese, Lettuce, & Tomatoes Meal",306.00,5.46,Burgers,Regular
75,2023/11/14,Tue,Philippines,Big Mac and Twister Fries Meal,291.00,5.19,Burgers,Regular
76,2023/11/14,Tue,Philippines,McSpaghetti w/ Burger McDo Meal,142.00,2.53,McSpaghetti,Regular
77,2023/11/14,Tue,Philippines,McSpaghetti Meal,99.00,1.77,McSpaghetti,Regular
78,2023/11/14,Tue,Philippines,Mega Meal - Spicy Chicken McDo w/ Rice & McSpaghetti,219.00,3.91,McSpaghetti,Regular
79,2023/11/14,Tue,Philippines,McSpaghetti w/ Fries Meal,163.00,2.91,McSpaghetti,Regular
80,2023/11/14,Tue,Philippines,2-pc. Mushroom Pepper Steak w/ Egg Meal,212.00,3.78,Rice Bowls,Breakfast
81,2023/11/14,Tue,Philippines,1-pc. Mushroom Pepper Steak w/ Egg Meal,182.00,3.25,Rice Bowls,Breakfast
82,2023/11/14,Tue,Philippines,2-pc. Mushroom Pepper Steak & Fries Meal,201.00,3.59,Rice Bowls,Regular
83,2023/11/14,Tue,Philippines,1-pc. Mushroom Pepper Steak & Fries Meal,147.00,2.62,Rice Bowls,Regular
84,2023/11/14,Tue,Philippines,McFlurry® with Oreo®,62.00,1.11,Desserts & Drinks,All Day
85,2023/11/14,Tue,Philippines,Apple Pie,43.00,0.77,Desserts & Drinks,All Day
86,2023/11/14,Tue,Philippines,Hot Fudge Sundae,55.00,0.98,Desserts & Drinks,All Day
87,2023/11/14,Tue,Philippines,Hot Caramel Sundae,55.00,0.98,Desserts & Drinks,All Day
88,2023/11/14,Tue,Philippines,Coke McFloat,57.00,1.02,Desserts & Drinks,All Day
89,2023/11/14,Tue,Philippines,Coke,75.00,1.34,Desserts & Drinks,All Day
90,2023/11/14,Tue,Philippines,Coke Zero,75.00,1.34,Desserts & Drinks,All Day
