,Date,Day,Territory,Menu Item,Price (JPY),Price (USD),Category,Menu
1,2022/08/29,Mon,Japan,Cheese Locomoco,510.00,3.71,Recommendations,Regular Menu
2,2022/08/29,Mon,Japan,Garlic Shrimp,510.00,3.71,Recommendations,Regular Menu
3,2022/08/29,Mon,Japan,Zakugiri-Potato & Beef Jalapeno Mayo,510.00,3.71,Recommendations,Regular Menu
4,2022/08/29,Mon,Japan,Hawaiian Burgers Delivery Set for 3,2550.00,18.54,Recommendations,Regular Menu
5,2022/08/29,Mon,Japan,Hawaiian Burgers Delivery Set for 2,1700.00,12.36,Recommendations,Regular Menu
6,2022/08/29,Mon,Japan,Hawaiian Burgers Delivery Set for 1,1450.00,10.54,Recommendations,Regular Menu
7,2022/08/29,Mon,Japan,Hawaiian Burgers Delivery Set with McFlury®,2200.00,16.00,Recommendations,Regular Menu
8,2022/08/29,Mon,Japan,Roasted Soy Sauce Double Thick Beef,570.00,4.14,Recommendations,Regular Menu
9,2022/08/29,Mon,Japan,Roasted Soy Sauce Bacon Tomato Thick Beef,570.00,4.14,Recommendations,Regular Menu
10,2022/08/29,Mon,Japan,Roasted Soy Sauce Triple Thick Beef,740.00,5.38,Recommendations,Regular Menu
11,2022/08/29,Mon,Japan,McShake® Doraemon Ramune,150.00,1.09,Recommendations,Regular Menu
12,2022/08/29,Mon,Japan,Doraemon Choco Banana Pie,180.00,1.31,Recommendations,Regular Menu
13,2022/08/29,Mon,Japan,McFlurry® Mixed Berries Pancake Taste,370.00,2.69,Recommendations,Regular Menu
14,2022/08/29,Mon,Japan,Mango Pulp In McFizz® Tropical Fruits,340.00,2.47,Recommendations,Regular Menu
15,2022/08/29,Mon,Japan,Delivery Set for 3,2500.00,18.18,Recommendations,Regular Menu
16,2022/08/29,Mon,Japan,Delivery Set for 2,1800.00,13.09,Recommendations,Regular Menu
17,2022/08/29,Mon,Japan,McDelivery® Set,1500.00,10.91,Recommendations,Regular Menu
18,2022/08/29,Mon,Japan,Potenage XL ＋2 choices,1360.00,9.89,Recommendations,Regular Menu
