,Date,Day,Territory,Menu Item,Price (KRW),Price (USD),Category,Menu
1,2023/03/02,Thu,South Korea,Double Quarter Pounder® with Cheese,10100.00,7.76,Specials,Regular Menu
2,2023/03/02,Thu,South Korea,Quarter Pounder® with Cheese,8500.00,6.53,Specials,Regular Menu
3,2023/03/02,Thu,South Korea,McCrispy™ Deluxe Burger,9200.00,7.07,Specials,Regular Menu
4,2023/03/02,Thu,South Korea,McCrispy™ Classic Burger,8700.00,6.68,Specials,Regular Menu
5,2023/03/02,Thu,South Korea,Shrimp Snack Wrap,3100.00,2.38,Specials,Regular Menu
6,2023/03/02,Thu,South Korea,Vanilla Latte,4500.00,3.46,Specials,Regular Menu
7,2023/03/02,Thu,South Korea,Vanilla Sundae,2800.00,2.15,Specials,Regular Menu
8,2023/03/02,Thu,South Korea,Strawberry Chiller,3700.00,2.84,Specials,Regular Menu
9,2023/03/02,Thu,South Korea,Jeju Hallabong Chiller,3700.00,2.84,Specials,Regular Menu
10,2023/03/02,Thu,South Korea,Shrimp Snack Wrap,3100.00,2.38,Specials,Breakfast Menu
11,2023/03/02,Thu,South Korea,BLT Egg Muffin,6300.00,4.84,Specials,Breakfast Menu
12,2023/03/02,Thu,South Korea,Bacon & Egg McMuffin,5900.00,4.53,Specials,Breakfast Menu
13,2023/03/02,Thu,South Korea,Sausage & Egg McMuffin,6100.00,4.69,Specials,Breakfast Menu
14,2023/03/02,Thu,South Korea,Vanilla Latte,4500.00,3.46,Specials,Breakfast Menu
15,2023/03/02,Thu,South Korea,Iced Americano (No Syrup),3300.00,2.54,Specials,Breakfast Menu
16,2023/03/02,Thu,South Korea,Strawberry Chiller,3700.00,2.84,Specials,Breakfast Menu
17,2023/03/02,Thu,South Korea,Jeju Hallabong Chiller,3700.00,2.84,Specials,Breakfast Menu
18,2023/03/02,Thu,South Korea,Double Quarter Pounder® with Cheese,8200.00,6.30,Ala Carte & Value Meals,Regular Menu
19,2023/03/02,Thu,South Korea,Quarter Pounder® with Cheese,6300.00,4.84,Ala Carte & Value Meals,Regular Menu
20,2023/03/02,Thu,South Korea,McCrispy™ Deluxe Burger,7600.00,5.84,Ala Carte & Value Meals,Regular Menu
21,2023/03/02,Thu,South Korea,McCrispy™ Classic Burger,6700.00,5.15,Ala Carte & Value Meals,Regular Menu
22,2023/03/02,Thu,South Korea,Triple Cheeseburger,6600.00,5.07,Ala Carte & Value Meals,Regular Menu
23,2023/03/02,Thu,South Korea,Double Bulgogi Burger,5300.00,4.07,Ala Carte & Value Meals,Regular Menu
24,2023/03/02,Thu,South Korea,Big Mac®,6000.00,4.61,Ala Carte & Value Meals,Regular Menu
25,2023/03/02,Thu,South Korea,McSpicy® Shanghai Burger,6000.00,4.61,Ala Carte & Value Meals,Regular Menu
26,2023/03/02,Thu,South Korea,1955® Burger,7200.00,5.53,Ala Carte & Value Meals,Regular Menu
27,2023/03/02,Thu,South Korea,McChicken® Mozzarella,5800.00,4.46,Ala Carte & Value Meals,Regular Menu
28,2023/03/02,Thu,South Korea,McChicken®,4300.00,3.30,Ala Carte & Value Meals,Regular Menu
29,2023/03/02,Thu,South Korea,Egg Bulgogi Burger,4300.00,3.30,Ala Carte & Value Meals,Regular Menu
30,2023/03/02,Thu,South Korea,Bulgogi Burger,3600.00,2.77,Ala Carte & Value Meals,Regular Menu
31,2023/03/02,Thu,South Korea,Supreme Shrimp Burger,5500.00,4.23,Ala Carte & Value Meals,Regular Menu
32,2023/03/02,Thu,South Korea,Shrimp Beef Burger,6600.00,5.07,Ala Carte & Value Meals,Regular Menu
33,2023/03/02,Thu,South Korea,Bacon Tomato Deluxe,6600.00,5.07,Ala Carte & Value Meals,Regular Menu
34,2023/03/02,Thu,South Korea,Cheeseburger,3500.00,2.69,Ala Carte & Value Meals,Regular Menu
35,2023/03/02,Thu,South Korea,Double Cheeseburger,5500.00,4.23,Ala Carte & Value Meals,Regular Menu
36,2023/03/02,Thu,South Korea,Hamburger,3300.00,2.54,Ala Carte & Value Meals,Regular Menu
37,2023/03/02,Thu,South Korea,Shrimp Snack Wrap,3100.00,2.38,Snacks & Sides,Regular Menu
38,2023/03/02,Thu,South Korea,Shanghai chicken snack wrap,3500.00,2.69,Snacks & Sides,Regular Menu
39,2023/03/02,Thu,South Korea,Coleslaw,2700.00,2.07,Snacks & Sides,Regular Menu
