,Date,Day,Territory,Menu Item,Price (KRW),Price (USD),Category,Menu
1,2023/05/12,Fri,South Korea,Double Big Mac,10900.00,8.20,Specials,Regular Menu
2,2023/05/12,Fri,South Korea,Big Mac® BLT,9700.00,7.30,Specials,Regular Menu
3,2023/05/12,Fri,South Korea,Double Quarter Pounder® with Cheese,10400.00,7.83,Specials,Regular Menu
4,2023/05/12,Fri,South Korea,Quarter Pounder® with Cheese,8900.00,6.70,Specials,Regular Menu
5,2023/05/12,Fri,South Korea,McCrispy™ Deluxe Burger,9200.00,6.92,Specials,Regular Menu
6,2023/05/12,Fri,South Korea,McCrispy™ Classic Burger,8700.00,6.55,Specials,Regular Menu
7,2023/05/12,Fri,South Korea,Shrimp Snack Wrap,3100.00,2.33,Specials,Regular Menu
8,2023/05/12,Fri,South Korea,Apple Pie,2000.00,1.50,Specials,Regular Menu
9,2023/05/12,Fri,South Korea,Plum Peach Chiller,3700.00,2.78,Specials,Regular Menu
10,2023/05/12,Fri,South Korea,Vanilla Latte,4500.00,3.39,Specials,Regular Menu
11,2023/05/12,Fri,South Korea,Vanilla Sundae,2800.00,2.11,Specials,Regular Menu
12,2023/05/12,Fri,South Korea,Jeju Hallabong Chiller,3700.00,2.78,Specials,Regular Menu
13,2023/05/12,Fri,South Korea,Bacon Egg McGriddles,6700.00,5.04,Specials,Breakfast Menu
14,2023/05/12,Fri,South Korea,Sausage Egg McGriddles,7000.00,5.27,Specials,Breakfast Menu
15,2023/05/12,Fri,South Korea,Shrimp Snack Wrap,3100.00,2.33,Specials,Breakfast Menu
16,2023/05/12,Fri,South Korea,Apple Pie,2000.00,1.50,Specials,Breakfast Menu
17,2023/05/12,Fri,South Korea,Plum Peach Chiller,3700.00,2.78,Specials,Breakfast Menu
18,2023/05/12,Fri,South Korea,BLT Egg Muffin,6300.00,4.74,Specials,Breakfast Menu
19,2023/05/12,Fri,South Korea,Bacon & Egg McMuffin,5900.00,4.44,Specials,Breakfast Menu
20,2023/05/12,Fri,South Korea,Sausage & Egg McMuffin,6100.00,4.59,Specials,Breakfast Menu
21,2023/05/12,Fri,South Korea,Vanilla Latte,4500.00,3.39,Specials,Breakfast Menu
22,2023/05/12,Fri,South Korea,Iced Americano (No Syrup),3300.00,2.48,Specials,Breakfast Menu
23,2023/05/12,Fri,South Korea,Jeju Hallabong Chiller,3700.00,2.78,Specials,Breakfast Menu
24,2023/05/12,Fri,South Korea,Double Big Mac,9000.00,6.77,Ala Carte & Value Meals,Regular Menu
25,2023/05/12,Fri,South Korea,Big Mac® BLT,7800.00,5.87,Ala Carte & Value Meals,Regular Menu
26,2023/05/12,Fri,South Korea,Double Quarter Pounder® with Cheese,8200.00,6.17,Ala Carte & Value Meals,Regular Menu
27,2023/05/12,Fri,South Korea,Quarter Pounder® with Cheese,6300.00,4.74,Ala Carte & Value Meals,Regular Menu
28,2023/05/12,Fri,South Korea,McCrispy™ Deluxe Burger,7600.00,5.72,Ala Carte & Value Meals,Regular Menu
29,2023/05/12,Fri,South Korea,McCrispy™ Classic Burger,6700.00,5.04,Ala Carte & Value Meals,Regular Menu
