,Date,Day,Territory,Menu Item,Price (PHP),Price (USD),Category,Menu
1,2023/12/12,Tue,Philippines,Double Big Mac Meal,303.00,5.46,McDelivery Exclusives,Regular
2,2023/12/12,Tue,Philippines,Double McChicken Meal,220.00,3.96,McDelivery Exclusives,Regular
3,2023/12/12,Tue,Philippines,Mega Meal - Chicken McDo w/ Fries & Burger McDo,193.00,3.48,McDelivery Exclusives,Breakfast
4,2023/12/12,Tue,Philippines,Mega Meal - Chicken McDo w/ Fries & McFlurry,195.00,3.51,McDelivery Exclusives,All Day
5,2023/12/12,Tue,Philippines,The BCB Meal,236.00,4.25,McDelivery Exclusives,Regular
6,2023/12/12,Tue,Philippines,1-pc. Chicken McDo w/ Rice & Coke McFloat Meal,156.00,2.81,Featured,All Day
7,2023/12/12,Tue,Philippines,Matcha OREO® McFlurry®,85.00,1.53,Featured,All Day
8,2023/12/12,Tue,Philippines,Strawberry OREO® McFlurry®,85.00,1.53,Featured,All Day
9,2023/12/12,Tue,Philippines,McSpaghetti Platter W/ Free Coke 1.5L,259.00,4.66,Featured,Regular
10,2023/12/12,Tue,Philippines,Snack Burger McShare,380.00,6.84,Featured,Regular
11,2023/12/12,Tue,Philippines,BFF Fries N' McFloat Combo,282.00,5.08,Featured,Regular
12,2023/12/12,Tue,Philippines,McShare Bundle for 3,612.00,11.02,Featured,All Day
13,2023/12/12,Tue,Philippines,McShare Bundle for 4,842.00,15.16,Featured,All Day
14,2023/12/12,Tue,Philippines,8pc Chicken McShare + Free Coke 1.5L,651.00,11.72,Featured,All Day
15,2023/12/12,Tue,Philippines,6pc Chicken McShare + Free Coke 1.5L,495.00,8.91,Featured,All Day
16,2023/12/12,Tue,Philippines,20-Pc. Chicken McNuggets W/ FREE Coke 1.5L,350.00,6.30,Featured,Regular
17,2023/12/12,Tue,Philippines,Big Breakfast Meal,182.00,3.28,Featured,Breakfast
18,2023/12/12,Tue,Philippines,Sausage McMuffin w/ Egg Meal,170.00,3.06,Featured,Breakfast
19,2023/12/12,Tue,Philippines,Egg McMuffin Meal,160.00,2.88,Featured,Breakfast
20,2023/12/12,Tue,Philippines,2-pc. Hotcakes & Sausage Meal,174.00,3.13,Featured,Breakfast
21,2023/12/12,Tue,Philippines,Longganisa w/ Egg Meal,190.00,3.42,Featured,Breakfast
22,2023/12/12,Tue,Philippines,1-pc. Chicken McDo w/ Double Rice Small Meal,155.00,2.79,Featured,All Day
23,2023/12/12,Tue,Philippines,McSpaghetti Platter W/ Free Coke 1.5L,259.00,4.66,Group Meals,Regular
24,2023/12/12,Tue,Philippines,Snack Burger McShare,380.00,6.84,Group Meals,Regular
25,2023/12/12,Tue,Philippines,BFF Fries N' McFloat Combo,282.00,5.08,Group Meals,Regular
26,2023/12/12,Tue,Philippines,BFF Shake Shake Fries BBQ N' McFloat Combo,284.00,5.11,Group Meals,All Day
27,2023/12/12,Tue,Philippines,BFF Shake Shake Fries Cheese N' McFloat Combo,284.00,5.11,Group Meals,All Day
28,2023/12/12,Tue,Philippines,McShare Bundle for 3,612.00,11.02,Group Meals,All Day
29,2023/12/12,Tue,Philippines,McShare Bundle for 4,842.00,15.16,Group Meals,All Day
30,2023/12/12,Tue,Philippines,10-pc. Chicken McNuggets,175.00,3.15,Group Meals,Regular
31,2023/12/12,Tue,Philippines,8pc Chicken McShare + Free Coke 1.5L,651.00,11.72,Group Meals,All Day
