,Date,Day,Territory,Menu Item,Price (KRW),Price (USD),Category,Menu
165,2022/08/20,Sat,South Korea,Decaffeine Americano,3200.00,2.39,Beverages,Breakfast Menu
166,2022/08/20,Sat,South Korea,Decaffeine Espresso,2300.00,1.72,Beverages,Breakfast Menu
167,2022/08/20,Sat,South Korea,Decaffeine Iced Vanilla Latte,4100.00,3.06,Beverages,Breakfast Menu
168,2022/08/20,Sat,South Korea,Decaffeine Iced Café Latte (No Syrup),3600.00,2.69,Beverages,Breakfast Menu
169,2022/08/20,Sat,South Korea,Decaffeine Iced Americano (No Syrup),3200.00,2.39,Beverages,Breakfast Menu
170,2022/08/20,Sat,South Korea,Vanilla Shake,3200.00,2.39,Beverages,Breakfast Menu
171,2022/08/20,Sat,South Korea,Strawberry Shake,3200.00,2.39,Beverages,Breakfast Menu
172,2022/08/20,Sat,South Korea,Chocolate Shake,3200.00,2.39,Beverages,Breakfast Menu
173,2022/08/20,Sat,South Korea,Milk,2200.00,1.64,Beverages,Breakfast Menu
174,2022/08/20,Sat,South Korea,Mineral Water,1900.00,1.42,Beverages,Breakfast Menu
175,2022/08/20,Sat,South Korea,Jeju Hallabong Chiller,3600.00,2.69,Desserts,Breakfast Menu
176,2022/08/20,Sat,South Korea,Apple Mango Chiller,3600.00,2.69,Desserts,Breakfast Menu
177,2022/08/20,Sat,South Korea,Plum Chiller,3600.00,2.69,Desserts,Breakfast Menu
178,2022/08/20,Sat,South Korea,Oreo McFlurry,3200.00,2.39,Desserts,Breakfast Menu
179,2022/08/20,Sat,South Korea,Very Strawberry McFlurry,3200.00,2.39,Desserts,Breakfast Menu
180,2022/08/20,Sat,South Korea,Chocolate Sundae,2400.00,1.79,Desserts,Breakfast Menu
181,2022/08/20,Sat,South Korea,Strawberry Sundae,2400.00,1.79,Desserts,Breakfast Menu
182,2022/08/20,Sat,South Korea,Vanilla Sundae,2400.00,1.79,Desserts,Breakfast Menu
183,2022/08/20,Sat,South Korea,Vanilla Shake,3200.00,2.39,Desserts,Breakfast Menu
184,2022/08/20,Sat,South Korea,Strawberry Shake,3200.00,2.39,Desserts,Breakfast Menu
185,2022/08/20,Sat,South Korea,Chocolate Shake,3200.00,2.39,Desserts,Breakfast Menu
186,2022/08/20,Sat,South Korea,Egg McMuffin,5100.00,3.81,Happy Meal®,Breakfast Menu
187,2022/08/20,Sat,South Korea,Bacon & Egg McMuffin,5100.00,3.81,Happy Meal®,Breakfast Menu
188,2022/08/20,Sat,South Korea,Sausage & Egg McMuffin,5100.00,3.81,Happy Meal®,Breakfast Menu
189,2022/08/20,Sat,South Korea,Hot Cakes 2pc,5100.00,3.81,Happy Meal®,Breakfast Menu
