,Date,Day,Territory,Menu Item,Price (IDR),Price (USD),Category,Menu
1,2024/09/12,Thu,Indonesia,Bundling 2 Pcs Choco Caramel Pie,28000.00,1.82,Promotion,Regular
2,2024/09/12,Thu,Indonesia,Banana McFlurry®  With Sprinkle Crumbs,18000.00,1.17,Promotion,Regular
3,2024/09/12,Thu,Indonesia,Banana McFlurry®  With Oreo,18000.00,1.17,Promotion,Regular
4,2024/09/12,Thu,Indonesia,Original Hello Kitty Plush Bag Tag,37500.00,2.43,Promotion,Regular
5,2024/09/12,Thu,Indonesia,Bundling 2 Pcs Choco Caramel Pie,28000.00,1.82,Promotion,Breakfast
6,2024/09/12,Thu,Indonesia,Banana McFlurry®  With Sprinkle Crumbs,18000.00,1.17,Promotion,Breakfast
7,2024/09/12,Thu,Indonesia,Banana McFlurry®  With Oreo,18000.00,1.17,Promotion,Breakfast
8,2024/09/12,Thu,Indonesia,Original Hello Kitty Plush Bag Tag,37500.00,2.43,Promotion,Breakfast
9,2024/09/12,Thu,Indonesia,McFlurry Oreo + French Fries (S),20000.00,1.30,Exclusive Delivery,Regular
10,2024/09/12,Thu,Indonesia,Cheeseburger + French Fries (S),30000.00,1.95,Exclusive Delivery,Regular
11,2024/09/12,Thu,Indonesia,2 Ayam Krispy McD + French Fries (M),40000.00,2.59,Exclusive Delivery,Regular
12,2024/09/12,Thu,Indonesia,2 Ayam Krispy McD + 2 Rice (M) + Fruit Tea Lemon (S),50000.00,3.24,Exclusive Delivery,Regular
13,2024/09/12,Thu,Indonesia,Paket Ayam McD Opor Spesial + McFlurry feat. OREO,54500.00,3.53,Exclusive Delivery,Regular
14,2024/09/12,Thu,Indonesia,Paket Kenyang,150000.00,9.73,Exclusive Delivery,Regular
15,2024/09/12,Thu,Indonesia,Paket Ngemil,110000.00,7.13,Exclusive Delivery,Regular
16,2024/09/12,Thu,Indonesia,Paket Manis,71500.00,4.64,Exclusive Delivery,Regular
17,2024/09/12,Thu,Indonesia,Big Mac®,44500.00,2.89,Burger & McNuggets,Regular
18,2024/09/12,Thu,Indonesia,Triple Cheeseburger,63500.00,4.12,Burger & McNuggets,Regular
19,2024/09/12,Thu,Indonesia,Double Cheeseburger,42000.00,2.72,Burger & McNuggets,Regular
20,2024/09/12,Thu,Indonesia,Cheeseburger Deluxe,35000.00,2.27,Burger & McNuggets,Regular
21,2024/09/12,Thu,Indonesia,Cheeseburger,33000.00,2.14,Burger & McNuggets,Regular
22,2024/09/12,Thu,Indonesia,Beef Burger Deluxe,27500.00,1.78,Burger & McNuggets,Regular
23,2024/09/12,Thu,Indonesia,McSpicy Chicken Burger,42500.00,2.76,Burger & McNuggets,Regular
24,2024/09/12,Thu,Indonesia,McChicken Burger,33000.00,2.14,Burger & McNuggets,Regular
25,2024/09/12,Thu,Indonesia,Chicken Burger Deluxe,27500.00,1.78,Burger & McNuggets,Regular
26,2024/09/12,Thu,Indonesia,Fish Burger,33500.00,2.17,Burger & McNuggets,Regular
27,2024/09/12,Thu,Indonesia,McNuggets®  9pcs,55000.00,3.57,Burger & McNuggets,Regular
28,2024/09/12,Thu,Indonesia,McNuggets® 6pcs,52500.00,3.40,Burger & McNuggets,Regular
29,2024/09/12,Thu,Indonesia,McNuggets®  4pcs,27000.00,1.75,Burger & McNuggets,Regular
30,2024/09/12,Thu,Indonesia,PaNas 2 with Fries,53500.00,3.47,Ayam McD,Regular
31,2024/09/12,Thu,Indonesia,PaNas 2 with Rice,51500.00,3.34,Ayam McD,Regular
32,2024/09/12,Thu,Indonesia,PaNas Spesial,47000.00,3.05,Ayam McD,Regular
33,2024/09/12,Thu,Indonesia,PaNas 1,39000.00,2.53,Ayam McD,Regular
34,2024/09/12,Thu,Indonesia,PaNas Korean Soy Garlic Wings,45000.00,2.92,Ayam McD,Regular
35,2024/09/12,Thu,Indonesia,PaMer 7,185000.00,12.00,Ayam McD,Regular
36,2024/09/12,Thu,Indonesia,PaMer 5,132500.00,8.59,Ayam McD,Regular
37,2024/09/12,Thu,Indonesia,Paket Berlima,135000.00,8.76,Ayam McD,Regular
38,2024/09/12,Thu,Indonesia,Paket Ber 4,90000.00,5.84,Ayam McD,Regular
39,2024/09/12,Thu,Indonesia,Paket Big Order,587500.00,38.10,Ayam McD,Regular
