,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category
1,2025/02/11,Tue,Thailand,Tasty Value Set,109.00,3.21,New Promotions
2,2025/02/11,Tue,Thailand,Stackable Lunch Box,399.00,11.76,New Promotions
3,2025/02/11,Tue,Thailand,Prosperity Pork Burger A-la-carte,129.00,3.80,New Promotions
4,2025/02/11,Tue,Thailand,Prosperity Pork Burger Set,195.00,5.75,New Promotions
5,2025/02/11,Tue,Thailand,Prosperity Chicken Burger A-la-carte,129.00,3.80,New Promotions
6,2025/02/11,Tue,Thailand,Prosperity Chicken Burger Set,195.00,5.75,New Promotions
7,2025/02/11,Tue,Thailand,Prosperity Burger Combo Set,319.00,9.40,New Promotions
8,2025/02/11,Tue,Thailand,Blueberry Crumble McFlurry,59.00,1.74,New Promotions
9,2025/02/11,Tue,Thailand,Truffle Cheesy Ham Pie,45.00,1.33,New Promotions
10,2025/02/11,Tue,Thailand,My Melody Tote Bag - Pink,499.00,14.71,New Promotions
11,2025/02/11,Tue,Thailand,My Melody Tote Bag - Brown,499.00,14.71,New Promotions
12,2025/02/11,Tue,Thailand,McFried Chicken Super Max Set,319.00,9.40,New Promotions
13,2025/02/11,Tue,Thailand,Pepper Chicken Burger Set & McNugget,99.00,2.92,New Promotions
14,2025/02/11,Tue,Thailand,Pepper Chicken Burger Set & Corn Pie,99.00,2.92,New Promotions
15,2025/02/11,Tue,Thailand,Curly Fries,99.00,2.92,New Promotions
16,2025/02/11,Tue,Thailand,Curly Fries Party Size,179.00,5.28,New Promotions
17,2025/02/11,Tue,Thailand,99 Hamburger Set,99.00,2.92,New Promotions
18,2025/02/11,Tue,Thailand,99 Pork Burger Set,99.00,2.92,New Promotions
19,2025/02/11,Tue,Thailand,McFied Chicken Lover,199.00,5.87,New Promotions
20,2025/02/11,Tue,Thailand,Chicken Cheeseburger,59.00,1.74,New Promotions
21,2025/02/11,Tue,Thailand,99 Chicken Cheeseburger,99.00,2.92,New Promotions
22,2025/02/11,Tue,Thailand,"Catering Set 1 : 5 Samurai Burger, 5 Filet O Fish, 20 McNuggets",999.00,29.45,New Promotions
23,2025/02/11,Tue,Thailand,"Catering Set 2 : 15 Pepper Chicken Burger, 15 Pork Burger, 60 McNuggets",1999.00,58.92,New Promotions
24,2025/02/11,Tue,Thailand,Strawberry Dip 1 Cup,12.00,0.35,Breakfast
25,2025/02/11,Tue,Thailand,Patongko,15.00,0.44,Breakfast
26,2025/02/11,Tue,Thailand,3 pcs. McPatongko with Condensed Milk Dip,49.00,1.44,Breakfast
27,2025/02/11,Tue,Thailand,Chocolate Dip 1 Cup,12.00,0.35,Breakfast
28,2025/02/11,Tue,Thailand,5 pcs. McPatongko Set,89.00,2.62,Breakfast
29,2025/02/11,Tue,Thailand,Condensed Milk Dip,12.00,0.35,Breakfast
30,2025/02/11,Tue,Thailand,Hot Americano 8 oz.,65.00,1.92,Breakfast
31,2025/02/11,Tue,Thailand,Hot Latte 8 oz.,85.00,2.51,Breakfast
32,2025/02/11,Tue,Thailand,Big Mac. (Beef),149.00,4.39,Burgers
33,2025/02/11,Tue,Thailand,Double Cheeseburger (Beef) A-la-carte,139.00,4.10,Burgers
34,2025/02/11,Tue,Thailand,Double Cheeseburger (Beef) Set,210.00,6.19,Burgers
35,2025/02/11,Tue,Thailand,Quarter Pounder with Cheese A-la-carte,159.00,4.69,Burgers
36,2025/02/11,Tue,Thailand,Quarter Pounder with Cheese Set,230.00,6.78,Burgers
37,2025/02/11,Tue,Thailand,Double Quarter Pounder with Cheese A-la-carte,219.00,6.45,Burgers
38,2025/02/11,Tue,Thailand,Double Quarter Pounder with Cheese Set,290.00,8.55,Burgers
39,2025/02/11,Tue,Thailand,Quarter Pounder with Cheese Bacon A-la-carte,179.00,5.28,Burgers
40,2025/02/11,Tue,Thailand,Quarter Pounder with Cheese Bacon Set,250.00,7.37,Burgers
41,2025/02/11,Tue,Thailand,Chicken Cheeseburger,59.00,1.74,Burgers
42,2025/02/11,Tue,Thailand,99 Chicken Cheeseburger,99.00,2.92,Burgers
43,2025/02/11,Tue,Thailand,Triple Beef Cheeseburger (Beef) A-la-carte,179.00,5.28,Burgers
44,2025/02/11,Tue,Thailand,Triple Beef Cheeseburger (Beef) Set,250.00,7.37,Burgers
