,Date,Day,Territory,Menu Item,Price (IDR),Price (USD),Category,Menu
1,2023/07/26,Wed,Indonesia,McSpicy Chicken Burger,61000.00,4.06,Promotion Menu,Regular
2,2023/07/26,Wed,Indonesia,6pcs McNuggets®,58500.00,3.89,Promotion Menu,Regular
3,2023/07/26,Wed,Indonesia,6pcs Spicy McNuggets,62000.00,4.12,Promotion Menu,Regular
4,2023/07/26,Wed,Indonesia,PaNas Spesial,52000.00,3.46,Promotion Menu,Regular
5,2023/07/26,Wed,Indonesia,PaNas Wings Large,48000.00,3.19,Promotion Menu,Regular
6,2023/07/26,Wed,Indonesia,2x Hershey's McFLurry with Choco Balls,30000.00,1.99,Promotion Menu,Regular
7,2023/07/26,Wed,Indonesia,2x Hershey's McFLurry with Choco Crumbs,30000.00,1.99,Promotion Menu,Regular
8,2023/07/26,Wed,Indonesia,Bundled Hershey's McFLurry,30000.00,1.99,Promotion Menu,Regular
9,2023/07/26,Wed,Indonesia,Beef Yakiniku Tamago Burger,40500.00,2.69,Promotion Menu,Regular
10,2023/07/26,Wed,Indonesia,McSpicy® Yakiniku Burger,48000.00,3.19,Promotion Menu,Regular
11,2023/07/26,Wed,Indonesia,Fish Fillet Yakiniku Burger,39500.00,2.63,Promotion Menu,Regular
12,2023/07/26,Wed,Indonesia,Sakura Fizz,14500.00,0.96,Promotion Menu,Regular
13,2023/07/26,Wed,Indonesia,Coca Cola X Strawberry McFloat,17000.00,1.13,Promotion Menu,Regular
14,2023/07/26,Wed,Indonesia,Sprite X Manggo McFloat,17000.00,1.13,Promotion Menu,Regular
15,2023/07/26,Wed,Indonesia,Sprite X Sakura McFloat,17000.00,1.13,Promotion Menu,Regular
16,2023/07/26,Wed,Indonesia,McNuggets® 20pcs,114000.00,7.58,Promotion Menu,Regular
17,2023/07/26,Wed,Indonesia,9pcs Spicy McNuggets ALC,60000.00,3.99,Promotion Menu,Regular
18,2023/07/26,Wed,Indonesia,6pcs Spicy McNuggets,40500.00,2.69,Promotion Menu,Regular
19,2023/07/26,Wed,Indonesia,Paket Hantaran McD,129000.00,8.58,Promotion Menu,Regular
20,2023/07/26,Wed,Indonesia,PaNas Spesial,52000.00,3.46,Promotion Menu,Breakfast
21,2023/07/26,Wed,Indonesia,2x Hershey's McFLurry with Choco Balls,30000.00,1.99,Promotion Menu,Breakfast
22,2023/07/26,Wed,Indonesia,2x Hershey's McFLurry with Choco Crumbs,30000.00,1.99,Promotion Menu,Breakfast
23,2023/07/26,Wed,Indonesia,Bundled Hershey's McFLurry,30000.00,1.99,Promotion Menu,Breakfast
