,Date,Day,Territory,Menu Item,Price (IDR),Price (USD),Category,Menu
1,2023/05/31,Wed,Indonesia,Double Choco Pie Ala Mode Chocolate,23500.00,1.57,Promotion Menu,Regular
2,2023/05/31,Wed,Indonesia,Double Choco Pie Ala Mode Strawberry,23500.00,1.57,Promotion Menu,Regular
3,2023/05/31,Wed,Indonesia,2x Hershey's McFLurry with Choco Balls,30000.00,2.00,Promotion Menu,Regular
4,2023/05/31,Wed,Indonesia,2x Hershey's McFLurry with Choco Crumbs,30000.00,2.00,Promotion Menu,Regular
5,2023/05/31,Wed,Indonesia,Bundled Hershey's McFLurry,30000.00,2.00,Promotion Menu,Regular
6,2023/05/31,Wed,Indonesia,Paket Hantaran McD,129000.00,8.61,Promotion Menu,Regular
7,2023/05/31,Wed,Indonesia,Double Choco Pie Ala Mode Chocolate,23500.00,1.57,Promotion Menu,Breakfast
8,2023/05/31,Wed,Indonesia,Double Choco Pie Ala Mode Strawberry,23500.00,1.57,Promotion Menu,Breakfast
9,2023/05/31,Wed,Indonesia,2x Hershey's McFLurry with Choco Balls,30000.00,2.00,Promotion Menu,Breakfast
10,2023/05/31,Wed,Indonesia,2x Hershey's McFLurry with Choco Crumbs,30000.00,2.00,Promotion Menu,Breakfast
11,2023/05/31,Wed,Indonesia,Bundled Hershey's McFLurry,30000.00,2.00,Promotion Menu,Breakfast
12,2023/05/31,Wed,Indonesia,Paket Hantaran McD,129000.00,8.61,Promotion Menu,Breakfast
13,2023/05/31,Wed,Indonesia,Paket Korean Soy Garlic Wings,31500.00,2.10,Ala Carte & Value Meals,Regular
14,2023/05/31,Wed,Indonesia,Korean Soy Garlic Wings,34500.00,2.30,Ala Carte & Value Meals,Regular
15,2023/05/31,Wed,Indonesia,Paket Big Order,562500.00,37.55,Ala Carte & Value Meals,Regular
16,2023/05/31,Wed,Indonesia,Big Mac®,41000.00,2.74,Ala Carte & Value Meals,Regular
17,2023/05/31,Wed,Indonesia,Triple Cheeseburger,60000.00,4.01,Ala Carte & Value Meals,Regular
18,2023/05/31,Wed,Indonesia,Double Cheeseburger,39500.00,2.64,Ala Carte & Value Meals,Regular
19,2023/05/31,Wed,Indonesia,Cheeseburger Deluxe,33000.00,2.20,Ala Carte & Value Meals,Regular
20,2023/05/31,Wed,Indonesia,Cheeseburger,32000.00,2.14,Ala Carte & Value Meals,Regular
21,2023/05/31,Wed,Indonesia,Beef Burger Deluxe,25000.00,1.67,Ala Carte & Value Meals,Regular
22,2023/05/31,Wed,Indonesia,McSpicy™,39500.00,2.64,Ala Carte & Value Meals,Regular
23,2023/05/31,Wed,Indonesia,McChicken®,32000.00,2.14,Ala Carte & Value Meals,Regular
24,2023/05/31,Wed,Indonesia,Chicken Burger Deluxe,25000.00,1.67,Ala Carte & Value Meals,Regular
