,Date,Day,Territory,Menu Item,Price (TWD),Price (USD),Category,Menu
0,2022/03/16,Wed,Taiwan,Mega Chicken,100.00,3.50,Pronotiom,Regular
1,2022/03/16,Wed,Taiwan,Double Big Mac,120.00,4.20,Pronotiom,Regular
2,2022/03/16,Wed,Taiwan,Big Mac,80.00,2.80,Pronotiom,Regular
3,2022/03/16,Wed,Taiwan,30 Pcs McNuggets Sharing Meal,349.00,12.21,Pronotiom,Regular
4,2022/03/16,Wed,Taiwan,McCrispy & McNuggets Sharing Meal,539.00,18.86,Pronotiom,Regular
5,2022/03/16,Wed,Taiwan,Grand Breakfast,115.00,4.02,Breakfast Platters,Breakfast
6,2022/03/16,Wed,Taiwan,Big Breakfast,75.00,2.62,Breakfast Platters,Breakfast
7,2022/03/16,Wed,Taiwan,Hotcakes w/Sausage,69.00,2.41,Breakfast Platters,Breakfast
8,2022/03/16,Wed,Taiwan,Hotcakes,55.00,1.92,Breakfast Platters,Breakfast
9,2022/03/16,Wed,Taiwan,Happy Sharing Meal - Chicken McCrispy,519.00,18.16,Happy Sharing Box,Regular
10,2022/03/16,Wed,Taiwan,Spicy Chicken Wing HSM,308.00,10.78,Happy Sharing Box,Regular
11,2022/03/16,Wed,Taiwan,Tender Chicken Wing HSM,308.00,10.78,Happy Sharing Box,Regular
12,2022/03/16,Wed,Taiwan,20 Pcs Chicken McNuggets Sharing Meal,259.00,9.06,Happy Sharing Box,Regular
13,2022/03/16,Wed,Taiwan,30 Pcs McNuggets Sharing Meal,349.00,12.21,Happy Sharing Box,Regular
14,2022/03/16,Wed,Taiwan,McCrispy Sharing Meal,459.00,16.06,Happy Sharing Box,Regular
15,2022/03/16,Wed,Taiwan,McCrispy & McNuggets Sharing Meal,539.00,18.86,Happy Sharing Box,Regular
16,2022/03/16,Wed,Taiwan,Tender Chicken Wing HSM,309.00,10.81,Happy Sharing Box,Regular
17,2022/03/16,Wed,Taiwan,Spicy Chicken Wing HSM,309.00,10.81,Happy Sharing Box,Regular
18,2022/03/16,Wed,Taiwan,2 Burger Combo Meal,309.00,10.81,Happy Sharing Box,Regular
19,2022/03/16,Wed,Taiwan,BLT Angus Beef Burger,114.00,3.99,Signature,Regular
20,2022/03/16,Wed,Taiwan,BLT Spicy Chicken Burger,114.00,3.99,Signature,Regular
21,2022/03/16,Wed,Taiwan,BLT Grilled Chicken Burger,114.00,3.99,Signature,Regular
22,2022/03/16,Wed,Taiwan,Mushroom Angus Beef Burger,124.00,4.34,Signature,Regular
23,2022/03/16,Wed,Taiwan,Caesar Salad w/Spicy Chicken Filet,104.00,3.64,Signature,Regular
24,2022/03/16,Wed,Taiwan,Italian Grilled Chicken Salad,104.00,3.64,Signature,Regular
