,Date,Day,Territory,Menu Item,Price (TWD),Price (USD),Category,Menu
1,2024/10/18,Fri,Taiwan,Korean Sweet and Spicy Chicken Burger Meal,210.00,6.54,Promotion,Regular
2,2024/10/18,Fri,Taiwan,Korean Sweet and Spicy Fried Chicken Meal (2pcs) (Drumsticks &thighs are distributed randomly),221.00,6.88,Promotion,Regular
3,2024/10/18,Fri,Taiwan,Korean Sweet and Spicy Chicken Burger Sharing Box,520.00,16.18,Promotion,Regular
4,2024/10/18,Fri,Taiwan,Chicken McNuggets & Korean Sweet and Spicy Fried Chicken Happy Sharing Meal(Drumsticks & thighs are distributed randomly),532.00,16.56,Promotion,Regular
5,2024/10/18,Fri,Taiwan,Ovaltine Crunchy McFlurry,69.00,2.15,Promotion,Regular
6,2024/10/18,Fri,Taiwan,Taro Pie,40.00,1.24,Promotion,Regular
7,2024/10/18,Fri,Taiwan,Colombia Single Origin (Hot),75.00,2.33,Promotion,Regular
8,2024/10/18,Fri,Taiwan,Colombia Single Origin Latte (Hot),95.00,2.96,Promotion,Regular
9,2024/10/18,Fri,Taiwan,Colombia Single Origin (Iced),75.00,2.33,Promotion,Regular
10,2024/10/18,Fri,Taiwan,Colombia Single Origin Latte (Iced),95.00,2.96,Promotion,Regular
11,2024/10/18,Fri,Taiwan,Breakfast  2 Burger Combo Meal,209.00,6.50,Promotion,Breakfast
12,2024/10/18,Fri,Taiwan,Colombia Single Origin (Hot),75.00,2.33,Promotion,Breakfast
13,2024/10/18,Fri,Taiwan,Colombia Single Origin Latte (Hot),95.00,2.96,Promotion,Breakfast
14,2024/10/18,Fri,Taiwan,Colombia Single Origin (Iced),75.00,2.33,Promotion,Breakfast
15,2024/10/18,Fri,Taiwan,Colombia Single Origin Latte (Iced),95.00,2.96,Promotion,Breakfast
16,2024/10/18,Fri,Taiwan,Korean Sweet and Spicy Chicken Burger Sharing Box,520.00,16.18,Happy Sharing Meal,Regular
17,2024/10/18,Fri,Taiwan,Chicken McNuggets & Korean Sweet and Spicy Fried Chicken Happy Sharing Meal(Drumsticks & thighs are distributed randomly),532.00,16.56,Happy Sharing Meal,Regular
18,2024/10/18,Fri,Taiwan,Chicken McNuggets & Chicken McCrispy Happy Sharing Meal (Original / Spicy) (Drumsticks & thighs are distributed randomly),580.00,18.05,Happy Sharing Meal,Regular
19,2024/10/18,Fri,Taiwan,Original Chicken McCrispy Happy Sharing Meal (Drumsticks & thighs are distributed randomly),490.00,15.25,Happy Sharing Meal,Regular
20,2024/10/18,Fri,Taiwan,30pcs Chicken McNuggets Happy Sharing Meal,359.00,11.17,Happy Sharing Meal,Regular
21,2024/10/18,Fri,Taiwan,Spicy Chicken Wings Happy Sharing Meal,319.00,9.93,Happy Sharing Meal,Regular
22,2024/10/18,Fri,Taiwan,20pcs Chicken McNuggets Happy Sharing Meal,269.00,8.37,Happy Sharing Meal,Regular
23,2024/10/18,Fri,Taiwan,2 Burger Combo Meal,319.00,9.93,Happy Sharing Meal,Regular
24,2024/10/18,Fri,Taiwan,Mushroom Crispy Chicken Burger,130.00,4.05,Signature,Regular
25,2024/10/18,Fri,Taiwan,Parmesan Angus Beef Burger,125.00,3.89,Signature,Regular
26,2024/10/18,Fri,Taiwan,Parmesan Crispy Chicken Burger,125.00,3.89,Signature,Regular
27,2024/10/18,Fri,Taiwan,BLT Angus Beef Burger,120.00,3.73,Signature,Regular
28,2024/10/18,Fri,Taiwan,BLT Grilled Chicken Burger,120.00,3.73,Signature,Regular
29,2024/10/18,Fri,Taiwan,Mushroom Angus Beef Burger,130.00,4.05,Signature,Regular
30,2024/10/18,Fri,Taiwan,Caesar Salad w/Spicy Chicken Filet,110.00,3.42,Signature,Regular
31,2024/10/18,Fri,Taiwan,Italian Grilled Chicken Salad,110.00,3.42,Signature,Regular
32,2024/10/18,Fri,Taiwan,Late Night Meal - Chicken McNuggets (10pcs) + Chicken McCrispy (2pcs) (Original / Spicy)(Drumsticks & thighs are distributed randomly),288.00,8.96,late night item (22:00-03:00),Regular
33,2024/10/18,Fri,Taiwan,Late Night Meal - Chicken McNuggets (6pcs)+Chicken McCrispy (1pc) (Original / Spicy) (Drumsticks & thighs are distributed randomly),188.00,5.85,late night item (22:00-03:00),Regular
34,2024/10/18,Fri,Taiwan,Late Night Meal –Chicken McNuggets (12pcs),188.00,5.85,late night item (22:00-03:00),Regular
35,2024/10/18,Fri,Taiwan,Korean Sweet and Spicy Fried Chicken (2pc) (Drumsticks &thighs are distributed randomly),140.00,4.36,Ala Carte & Value Meals,Regular
36,2024/10/18,Fri,Taiwan,Korean Sweet and Spicy Chicken Burger,129.00,4.01,Ala Carte & Value Meals,Regular
37,2024/10/18,Fri,Taiwan,Double Classic Angus Beef Burger,135.00,4.20,Ala Carte & Value Meals,Regular
38,2024/10/18,Fri,Taiwan,Classic Angus Beef Burger,90.00,2.80,Ala Carte & Value Meals,Regular
39,2024/10/18,Fri,Taiwan,Big Mac,80.00,2.49,Ala Carte & Value Meals,Regular
40,2024/10/18,Fri,Taiwan,Double Cheeseburger,75.00,2.33,Ala Carte & Value Meals,Regular
41,2024/10/18,Fri,Taiwan,Grilled BBQ Chicken Burger,80.00,2.49,Ala Carte & Value Meals,Regular
42,2024/10/18,Fri,Taiwan,Original / Spicy Chicken McCrispy (2pcs) (Drumsticks &thighs are distributed randomly),125.00,3.89,Ala Carte & Value Meals,Regular
43,2024/10/18,Fri,Taiwan,Chicken McNuggets (10pcs),109.00,3.39,Ala Carte & Value Meals,Regular
44,2024/10/18,Fri,Taiwan,Chicken McNuggets (6pcs),69.00,2.15,Ala Carte & Value Meals,Regular
45,2024/10/18,Fri,Taiwan,Spicy Chicken Filet,80.00,2.49,Ala Carte & Value Meals,Regular
46,2024/10/18,Fri,Taiwan,Double McChicken Burger,79.00,2.46,Ala Carte & Value Meals,Regular
47,2024/10/18,Fri,Taiwan,McChicken,49.00,1.52,Ala Carte & Value Meals,Regular
48,2024/10/18,Fri,Taiwan,Filet-O-Fish,60.00,1.87,Ala Carte & Value Meals,Regular
49,2024/10/18,Fri,Taiwan,Colombia Single Origin (Hot),75.00,2.33,McCafé,Regular
50,2024/10/18,Fri,Taiwan,Colombia Single Origin Latte (Hot),95.00,2.96,McCafé,Regular
51,2024/10/18,Fri,Taiwan,Colombia Single Origin (Iced),75.00,2.33,McCafé,Regular
52,2024/10/18,Fri,Taiwan,Colombia Single Origin Latte (Iced),95.00,2.96,McCafé,Regular
53,2024/10/18,Fri,Taiwan,Caramel Milk Tea (Iced),68.00,2.12,McCafé,Regular
54,2024/10/18,Fri,Taiwan,Honey Milk Tea (Iced),68.00,2.12,McCafé,Regular
55,2024/10/18,Fri,Taiwan,Honey Black Tea (Iced),58.00,1.80,McCafé,Regular
56,2024/10/18,Fri,Taiwan,Honey Milk Tea (Hot),68.00,2.12,McCafé,Regular
57,2024/10/18,Fri,Taiwan,Latte (Iced) (No sugar),75.00,2.33,McCafé,Regular
58,2024/10/18,Fri,Taiwan,Americano (Iced)(No sugar),65.00,2.02,McCafé,Regular
59,2024/10/18,Fri,Taiwan,Latte (Hot),75.00,2.33,McCafé,Regular
60,2024/10/18,Fri,Taiwan,Americano (Hot),65.00,2.02,McCafé,Regular
61,2024/10/18,Fri,Taiwan,Chocolate (Hot),70.00,2.18,McCafé,Regular
62,2024/10/18,Fri,Taiwan,Evian Water,48.00,1.49,McCafé,Regular
63,2024/10/18,Fri,Taiwan,Caramel Milk Tea (Iced),68.00,2.12,Beverage,Regular
64,2024/10/18,Fri,Taiwan,Sugar-free Black Tea (Iced),41.00,1.28,Beverage,Regular
65,2024/10/18,Fri,Taiwan,Sugar-free Green Tea (Iced),41.00,1.28,Beverage,Regular
66,2024/10/18,Fri,Taiwan,Coca-Cola(M),38.00,1.18,Beverage,Regular
67,2024/10/18,Fri,Taiwan,Lemon Flavored Black Tea (Iced),38.00,1.18,Beverage,Regular
68,2024/10/18,Fri,Taiwan,Sprite(M),38.00,1.18,Beverage,Regular
69,2024/10/18,Fri,Taiwan,Zero Coke(M),38.00,1.18,Beverage,Regular
70,2024/10/18,Fri,Taiwan,Taiwan Fresh Orange Juice,66.00,2.05,Beverage,Regular
71,2024/10/18,Fri,Taiwan,Milk Tea (Hot),48.00,1.49,Beverage,Regular
72,2024/10/18,Fri,Taiwan,Black Tea (Hot),38.00,1.18,Beverage,Regular
73,2024/10/18,Fri,Taiwan,Milk Tea (Iced),48.00,1.49,Beverage,Regular
74,2024/10/18,Fri,Taiwan,Milk,33.00,1.03,Beverage,Regular
75,2024/10/18,Fri,Taiwan,Korean Sweet and Spicy Fried Chicken (1pc) (Drumsticks &thighs are distributed randomly),75.00,2.33,Desserts,Regular
76,2024/10/18,Fri,Taiwan,Ovaltine Crunchy McFlurry,69.00,2.15,Desserts,Regular
77,2024/10/18,Fri,Taiwan,Taro Pie,40.00,1.24,Desserts,Regular
78,2024/10/18,Fri,Taiwan,Spicy Chicken Wings (6pcs),130.00,4.05,Desserts,Regular
79,2024/10/18,Fri,Taiwan,Original / Spicy Chicken McCrispy (2pcs) (Drumsticks & thighs are distributed randomly),125.00,3.89,Desserts,Regular
80,2024/10/18,Fri,Taiwan,Original / Spicy Chicken McCrispy (1pc) (Drumsticks & thighs are distributed randomly),66.00,2.05,Desserts,Regular
81,2024/10/18,Fri,Taiwan,Spicy Chicken Wings (2pcs),49.00,1.52,Desserts,Regular
82,2024/10/18,Fri,Taiwan,Chicken McNuggets (4pcs),49.00,1.52,Desserts,Regular
83,2024/10/18,Fri,Taiwan,McFlurry(OREO) x2,120.00,3.73,Desserts,Regular
84,2024/10/18,Fri,Taiwan,McFlurry (Double OREO),66.00,2.05,Desserts,Regular
85,2024/10/18,Fri,Taiwan,McFlurry(OREO),60.00,1.87,Desserts,Regular
86,2024/10/18,Fri,Taiwan,French Fries,50.00,1.56,Desserts,Regular
87,2024/10/18,Fri,Taiwan,French Fries(L),66.00,2.05,Desserts,Regular
88,2024/10/18,Fri,Taiwan,Apple Pie,39.00,1.21,Desserts,Regular
89,2024/10/18,Fri,Taiwan,Corn Soup,43.00,1.34,Desserts,Regular
90,2024/10/18,Fri,Taiwan,Fruit Bag (Apple),42.00,1.31,Desserts,Regular
91,2024/10/18,Fri,Taiwan,Salad,55.00,1.71,Desserts,Regular
92,2024/10/18,Fri,Taiwan,Happy Meal – Chicken McNuggets (4pcs),99.00,3.08,Happy Meal,Regular
93,2024/10/18,Fri,Taiwan,Happy Meal - Ham burger,99.00,3.08,Happy Meal,Regular
94,2024/10/18,Fri,Taiwan,Happy Meal - McFish,99.00,3.08,Happy Meal,Regular
95,2024/10/18,Fri,Taiwan,Grand Breakfast,115.00,3.58,Breakfast Platters,Breakfast
96,2024/10/18,Fri,Taiwan,Hotcakes w/Sausage,70.00,2.18,Breakfast Platters,Breakfast
97,2024/10/18,Fri,Taiwan,Hotcakes,55.00,1.71,Breakfast Platters,Breakfast
98,2024/10/18,Fri,Taiwan,Breakfast  2 Burger Combo Meal,209.00,6.50,Breakfast & Value Meals,Breakfast
99,2024/10/18,Fri,Taiwan,Mushroom Bagel Sandwich,90.00,2.80,Breakfast & Value Meals,Breakfast
100,2024/10/18,Fri,Taiwan,McNuggets(10),109.00,3.39,Breakfast & Value Meals,Breakfast
101,2024/10/18,Fri,Taiwan,6pcs Chicken McNuggets,69.00,2.15,Breakfast & Value Meals,Breakfast
102,2024/10/18,Fri,Taiwan,Tomato Bagel Sandwich,70.00,2.18,Breakfast & Value Meals,Breakfast
103,2024/10/18,Fri,Taiwan,Mega Sausage McMuffin,79.00,2.46,Breakfast & Value Meals,Breakfast
104,2024/10/18,Fri,Taiwan,Sausage McMuffin w/Egg,59.00,1.84,Breakfast & Value Meals,Breakfast
105,2024/10/18,Fri,Taiwan,Plain Bagel,55.00,1.71,Breakfast & Value Meals,Breakfast
